en	af
English	Afrikaans
lat	lat
0123456789!()\/_:&*%	0123456789!()\/_:&*%
place_your_(translator)_name_here	plaas_jou_(vertaler)_naam_hier
<!-- Basic names (objects and buttons) -->																																													
Buy	Koop
Back to menu	Terug na spyskaart
Settings	Instellings
Play	Speel
Shop	Winkel
Coins:	Munte:
Exit	Verlaat
Set the level	Stel die vlak
Sell All	Verkoop alles
Details:	Besonderhede:
Double coins!{#}(Watch Ad)	Dubbele munte!{#}(Kyk advertensie)
Restart	Begin oor
Advertisement watched	Advertensie gekyk
Received coins:	Ontvangde munte:
Sound volume	Klankvolume
next	volgende
Tower crane	Toring hyskraan
Workshop	Werkswinkel
Hydraulic fence	Hidrouliese heining
Sorting of details	Sortering van besonderhede
Waterproofing	Waterdigting
Preprocessing	Voorverwerking
Equipment calibration	Toerusting kalibrasie
Cooling system	Verkoelingsisteem
Magnets	Magnete
Increase field size: {#price}	Vergroot veldgrootte: {#price}
See story	Sien storie
Pause	Pouse
End round	Einde rondte
Continue	Aanhou
End saved game, and start a new one	Beëindig gestoorde speletjie en begin 'n nuwe een
Tutorials	Tutoriale
Basic	Basies
Fence	Heining
Crane	Hyskraan
Workshop	Werkswinkel
Before	Voorheen
Now	Nou
Next	Volgende
Max detail:	Maksimum detail:
Bolt	Bout
Gear	Toerusting
Gear box	Ratkas
Bearing	Bearing
Piston	Suier
Engine	Enjin
Moped	Brommer
Motorcycle	Motorfiets
Car	Voertuig
Pickup	Optel
Truck	Vragmotor
Biplane	Tweedekker
Helicopter	Helikopter
Plane	Vliegtuig
AN-225 Mriya	AN-225 Mriya
Rocket engine	Vuurpyl enjin
Soyuz	Sojoes
Rocket	Vuurpyl
<!-- Tutorials -->																																													
Hello and welcome to 'Recycling: 2048'! Are you ready for some challenge? In this tutorial you'll learn the base needed for recycling, but some features you only can find by yourself!	Hallo en welkom by 'Recycling: 2048'! Is jy gereed vir een of ander uitdaging? In hierdie tutoriaal leer jy die basis wat nodig is vir herwinning, maar sommige kenmerke kan jy net self vind!
There are 4 magnets around the field (orange objects). You can activate them by swiping (move your finger on the screen). They can move any magnetic materials - perfect for the details we work with! Give it a try by moving an object (like the bolt) three times.	Daar is 4 magnete om die veld (oranje voorwerpe). Jy kan hulle aktiveer deur te swiep (beweeg jou vinger op die skerm). Hulle kan enige magnetiese materiaal beweeg - perfek vir die besonderhede waarmee ons werk! Probeer dit deur 'n voorwerp (soos die bout) drie keer te beweeg.
A new detail has appeared: a bolt. While some might see it as garbage, we can recycle it into something more advanced, like a gear!	'n Nuwe detail het verskyn: 'n bout. Alhoewel sommige dit dalk as vullis beskou, kan ons dit herwin in iets meer gevorderd, soos 'n rat!
Recycle two bolts into a gear by moving them together.	Herwin twee boute in 'n rat deur hulle saam te skuif.
Fantastic! You've just recycled some garbage! Keep it up, and together we can reach our goal of creating a better life.	Fantasties! Jy het sopas 'n bietjie vullis herwin! Hou so aan, en saam kan ons ons doelwit bereik om 'n beter lewe te skep.
Oh, no, the magnet has broken! :({#} You see, the right magnet is red now.	O nee, die magneet het gebreek! :({#} Jy sien, die regte magneet is nou rooi.
Try activating the right magnet a few times and see that nothing happens. (Swipe to the right)	Probeer om die regte magneet 'n paar keer te aktiveer en sien dat niks gebeur nie. (Swiep na regs)
You see, nothing happened. Now try swiping in different directions (up and down). Let's wait until the magnet repairs itself.	Jy sien, niks het gebeur nie. Probeer nou om in verskillende rigtings te swiep (op en af). Kom ons wag totdat die magneet homself herstel.
Done! After several moves, all magnets will be repaired.	Klaar! Na verskeie bewegings sal alle magnete herstel word.
Now, let's talk about bio garbage (the apple leftover). Try moving it.	Nou, kom ons praat oor bio-vullis (die appel oorskiet). Probeer dit beweeg.
Because bio garbage lacks magnetic materials, magnets can't move it.	Omdat bio-vullis nie magnetiese materiale het nie, kan magnete dit nie beweeg nie.
Don't forget to sort your garbage! :)	Moenie vergeet om jou vullis te sorteer nie! :)
This is a rust garbage. It can't be recycled either. The number indicates how much time it needs to rust away and disappear.	Dit is 'n roesvullis. Dit kan ook nie herwin word nie. Die nommer dui aan hoeveel tyd dit nodig het om weg te roes en te verdwyn.
Amazing! You've improved your recycling skills!	Wonderlik! Jy het jou herwinningsvaardighede verbeter!
