en	am
English	Amharic
lat	am
0123456789!()\/_:&*%	0123456789!()\/_:&*%
place_your_(translator)_name_here	የእርስዎን_(ተርጓሚ)_ስም_እዚህ_አስቀምጥ
<!-- Basic names (objects and buttons) -->																																													
Buy	ይግዙ
Back to menu	ወደ ምናሌ ተመለስ
Settings	ቅንብሮች
Play	ይጫወቱ
Shop	ይግዙ
Coins:	ሳንቲሞች፡
Exit	ውጣ
Set the level	ደረጃውን ያዘጋጁ
Sell All	ሁሉንም ይሽጡ
Details:	ዝርዝሮች፡
Double coins!{#}(Watch Ad)	ድርብ ሳንቲሞች!{#}(ማስታወቂያ ይመልከቱ)
Restart	እንደገና ጀምር
Advertisement watched	ማስታወቂያ ታይቷል።
Received coins:	የተቀበሏቸው ሳንቲሞች፡-
Sound volume	የድምጽ መጠን
next	ቀጥሎ
Tower crane	ግንብ ክሬን
Workshop	ወርክሾፕ
Hydraulic fence	የሃይድሮሊክ አጥር
Sorting of details	ዝርዝሮችን መደርደር
Waterproofing	የውሃ መከላከያ
Preprocessing	ቅድመ ሂደት
Equipment calibration	የመሳሪያዎች መለኪያ
Cooling system	የማቀዝቀዣ ሥርዓት
Magnets	ማግኔቶች
Increase field size: {#price}	የመስክ መጠን ጨምር፡ {#price}
See story	ታሪክ ይመልከቱ
Pause	ለአፍታ አቁም
End round	ዙር መጨረሻ
Continue	ቀጥል
End saved game, and start a new one	የተቀመጠ ጨዋታ ይጨርሱ እና አዲስ ይጀምሩ
Tutorials	አጋዥ ስልጠናዎች
Basic	መሰረታዊ
Fence	አጥር
Crane	ክሬን
Workshop	ወርክሾፕ
Before	ከዚህ በፊት
Now	አሁን
Next	ቀጥሎ
Max detail:	ከፍተኛ ዝርዝር፡
Bolt	ቦልት
Gear	ማርሽ
Gear box	የማርሽ ሳጥን
Bearing	መሸከም
Piston	ፒስተን
Engine	ሞተር
Moped	ሞፔድ
Motorcycle	ሞተርሳይክል
Car	መኪና
<!-- Tutorials -->																																													
Hello and welcome to 'Recycling: 2048'! Are you ready for some challenge? In this tutorial you'll learn the base needed for recycling, but some features you only can find by yourself!	ጤና ይስጥልኝ እና ወደ 'ዳግም ጥቅም ላይ ማዋል፡ 2048' እንኳን በደህና መጡ! ለአንዳንድ ፈተና ዝግጁ ኖት? በዚህ ማጠናከሪያ ትምህርት ለድጋሚ ጥቅም ላይ የሚውልበትን መሰረት ይማራሉ፣ ነገር ግን አንዳንድ ባህሪያትን በራስዎ ብቻ ማግኘት ይችላሉ!
There are 4 magnets around the field (orange objects). You can activate them by swiping (move your finger on the screen). They can move any magnetic materials - perfect for the details we work with! Give it a try by moving an object (like the bolt) three times.	በመስክ ዙሪያ 4 ማግኔቶች (ብርቱካንማ እቃዎች) አሉ. በማንሸራተት (ጣትዎን በስክሪኑ ላይ ያንቀሳቅሱ) እነሱን ማግበር ይችላሉ። ማንኛውንም መግነጢሳዊ ቁሳቁሶችን ማንቀሳቀስ ይችላሉ - ለምንሰራቸው ዝርዝሮች ፍጹም! አንድን ነገር (እንደ ቦልቱ) ሶስት ጊዜ በማንቀሳቀስ ይሞክሩት።
A new detail has appeared: a bolt. While some might see it as garbage, we can recycle it into something more advanced, like a gear!	አዲስ ዝርዝር ታይቷል: ቦልት. አንዳንዶች እንደ ቆሻሻ ቢያዩትም፣ እንደ ማርሽ ያለ የላቀ ወደሆነ ነገር እንደገና መጠቀም እንችላለን!
Recycle two bolts into a gear by moving them together.	ሁለት ብሎኖች አንድ ላይ በማንቀሳቀስ ወደ ማርሽ እንደገና ጥቅም ላይ ይውላሉ።
Fantastic! You've just recycled some garbage! Keep it up, and together we can reach our goal of creating a better life.	ድንቅ! አሁን እንደገና ጥቅም ላይ የዋለ ቆሻሻ ነው! ይቀጥሉበት፣ እና አንድ ላይ ሆነን የተሻለ ህይወት የመፍጠር ግባችን ላይ መድረስ እንችላለን።
