en	bg
English	Bulgarian
lat	kir
0123456789!()\/_:&*%	0123456789!()\/_:&*%
place_your_(translator)_name_here	поставете_вашето_(преводач)_име_тук
<!-- Basic names (objects and buttons) -->																																													
Buy	Купува
Back to menu	Назад към менюто
Settings	Настройки
Play	Играйте
Shop	Магазин
Coins:	Монети:
Exit	Изход
Set the level	Задайте нивото
Sell All	Продай всичко
Details:	подробности:
Double coins!{#}(Watch Ad)	Двойни монети!{#}(Гледайте реклама)
Restart	Рестартирам
Advertisement watched	Гледана реклама
Received coins:	Получени монети:
Sound volume	Сила на звука
next	следващия
Tower crane	Кулокран
Workshop	Работилница
Hydraulic fence	Хидравлична ограда
Sorting of details	Сортиране на детайли
Waterproofing	Хидроизолация
Preprocessing	Предварителна обработка
Equipment calibration	Калибриране на оборудването
Cooling system	Охладителна система
Magnets	Магнити
Increase field size: {#price}	Увеличете размера на полето: {#price}
See story	Вижте историята
Pause	Пауза
End round	Краен кръг
Continue	продължи
End saved game, and start a new one	Прекратете запазената игра и започнете нова
Tutorials	Уроци
Basic	Основен
Fence	Ограда
Crane	Кран
Workshop	Работилница
Before	Преди
Now	Сега
Next	Следващия
Max detail:	Максимален детайл:
Bolt	Болт
Gear	Gear
Gear box	Скоростна кутия
Bearing	Лагер
Piston	бутало
Engine	Двигател
Moped	Мотопед
Motorcycle	Мотоциклет
Car	Кола
Pickup	Вдигни
Truck	Камион
Biplane	Биплан
Helicopter	Хеликоптер
Plane	Самолет
AN-225 Mriya	Ан-225 Мрия
Rocket engine	Ракетен двигател
Soyuz	съюз
Rocket	Ракета
<!-- Tutorials -->																																													
Hello and welcome to 'Recycling: 2048'! Are you ready for some challenge? In this tutorial you'll learn the base needed for recycling, but some features you only can find by yourself!	Здравейте и добре дошли в „Рециклиране: 2048“! Готови ли сте за предизвикателство? В този урок ще научите основата, необходима за рециклиране, но някои функции можете да намерите само сами!
There are 4 magnets around the field (orange objects). You can activate them by swiping (move your finger on the screen). They can move any magnetic materials - perfect for the details we work with! Give it a try by moving an object (like the bolt) three times.	Около полето има 4 магнита (оранжеви предмети). Можете да ги активирате чрез плъзгане (движете пръста си по екрана). Те могат да движат всякакви магнитни материали - идеални за детайлите, с които работим! Опитайте, като преместите предмет (като болта) три пъти.
A new detail has appeared: a bolt. While some might see it as garbage, we can recycle it into something more advanced, like a gear!	Появи се нов детайл: болт. Въпреки че някои може да го видят като боклук, ние можем да го рециклираме в нещо по-модерно, като зъбно колело!
Recycle two bolts into a gear by moving them together.	Рециклирайте два болта в зъбно колело, като ги преместите заедно.
Fantastic! You've just recycled some garbage! Keep it up, and together we can reach our goal of creating a better life.	Фантастично! Току-що сте рециклирали малко боклук! Продължавайте така и заедно можем да постигнем целта си да създадем по-добър живот.
