en	ca
English	Catalan
lat	lat
0123456789!()\/_:&*%	0123456789!()\/_:&*%
place_your_(translator)_name_here	col·loca_el teu_(traductor)_nom_aquí
<!-- Basic names (objects and buttons) -->																																													
Buy	Compra
Back to menu	Tornar al menú
Settings	Configuració
Play	Jugar
Shop	Botiga
Coins:	Monedes:
Exit	Sortida
Set the level	Estableix el nivell
Sell All	Ven-ho tot
Details:	Detalls:
Double coins!{#}(Watch Ad)	Monedes dobles!{#}(Mira l'anunci)
Restart	Reinicia
Advertisement watched	Anunci mirat
Received coins:	Monedes rebudes:
Sound volume	Volum del so
next	Pròxim
Tower crane	Grua torre
Workshop	Taller
Hydraulic fence	Tanca hidràulica
Sorting of details	Ordenació de detalls
Waterproofing	Impermeabilització
Preprocessing	Preprocessament
Equipment calibration	Calibració d'equips
Cooling system	Sistema de refrigeració
Magnets	Imants
Increase field size: {#price}	Augmenta la mida del camp: {#price}
See story	Veure història
Pause	Pausa
End round	Final de ronda
Continue	Continua
End saved game, and start a new one	Finalitza la partida desada i comença una de nova
Tutorials	Tutorials
Basic	Bàsic
Fence	Tanca
Crane	Grua
Workshop	Taller
Before	Abans
Now	Ara
Next	Pròxim
Max detail:	Detall màxim:
Bolt	Bolt
Gear	Engranatge
Gear box	Caixa de canvis
Bearing	Coixinet
Piston	Pistó
Engine	Motor
Moped	Ciclomotor
Motorcycle	Moto
Car	Cotxe
Pickup	Recollida
Truck	Camió
Biplane	Biplà
Helicopter	helicòpter
Plane	Avió
AN-225 Mriya	AN-225 Mriya
Rocket engine	Motor de coets
Soyuz	Soiuz
Rocket	Coet
<!-- Tutorials -->																																													
Hello and welcome to 'Recycling: 2048'! Are you ready for some challenge? In this tutorial you'll learn the base needed for recycling, but some features you only can find by yourself!	Hola i benvinguts a 'Reciclatge: 2048'! Estàs preparat per a algun repte? En aquest tutorial aprendràs la base necessària per al reciclatge, però algunes característiques que només pots trobar per tu mateix!
There are 4 magnets around the field (orange objects). You can activate them by swiping (move your finger on the screen). They can move any magnetic materials - perfect for the details we work with! Give it a try by moving an object (like the bolt) three times.	Hi ha 4 imants al voltant del camp (objectes taronges). Podeu activar-los fent lliscar el dit (moveu el dit per la pantalla). Poden moure qualsevol material magnètic, perfecte per als detalls amb què treballem! Prova-ho movent un objecte (com el cargol) tres vegades.
A new detail has appeared: a bolt. While some might see it as garbage, we can recycle it into something more advanced, like a gear!	Ha aparegut un nou detall: un parabolt. Tot i que alguns poden veure-ho com a escombraries, podem reciclar-lo en alguna cosa més avançada, com un engranatge!
Recycle two bolts into a gear by moving them together.	Reciclar dos cargols en un engranatge movent-los junts.
Fantastic! You've just recycled some garbage! Keep it up, and together we can reach our goal of creating a better life.	Fantàstic! Acabes de reciclar una mica d'escombraries! Seguiu així i junts podrem assolir el nostre objectiu de crear una vida millor.
Oh, no, the magnet has broken! :({#} You see, the right magnet is red now.	Oh, no, l'imant s'ha trencat! :({#} Ja veus, l'imant correcte és vermell ara.
Try activating the right magnet a few times and see that nothing happens. (Swipe to the right)	Intenteu activar l'imant correcte unes quantes vegades i comproveu que no passa res. (Fes lliscar cap a la dreta)
You see, nothing happened. Now try swiping in different directions (up and down). Let's wait until the magnet repairs itself.	Ja veus, no va passar res. Ara prova de lliscar en diferents direccions (amunt i avall). Esperem fins que l'imant es repari sol.
Done! After several moves, all magnets will be repaired.	Fet! Després de diversos moviments, tots els imants seran reparats.
Now, let's talk about bio garbage (the apple leftover). Try moving it.	Ara, parlem de les escombraries bio (les restes de poma). Prova de moure'l.
Because bio garbage lacks magnetic materials, magnets can't move it.	Com que les escombraries bio no tenen materials magnètics, els imants no les poden moure.
Don't forget to sort your garbage! :)	No us oblideu de classificar les escombraries! :)
This is a rust garbage. It can't be recycled either. The number indicates how much time it needs to rust away and disappear.	Això és una escombraria d'òxid. Tampoc es pot reciclar. El número indica quant de temps necessita per oxidar-se i desaparèixer.
Amazing! You've improved your recycling skills!	Increïble! Has millorat les teves habilitats de reciclatge!
