en	cs
English	Czech
lat	lat
0123456789!()\/_:&*%	0123456789!()\/_:&*%
place_your_(translator)_name_here	umístit_vaše_(překladatel)_jméno_zde
<!-- Basic names (objects and buttons) -->																																													
Buy	Koupit
Back to menu	Zpět do menu
Settings	Nastavení
Play	Hrát si
Shop	Prodejna
Coins:	Mince:
Exit	Výstup
Set the level	Nastavte úroveň
Sell All	Prodej vše
Details:	Podrobnosti:
Double coins!{#}(Watch Ad)	Dvojité mince!{#}(Přehrát reklamu)
Restart	Restartujte
Advertisement watched	Reklama zhlédnuta
Received coins:	Přijaté mince:
Sound volume	Hlasitost
next	další
Tower crane	Věžový jeřáb
Workshop	Dílna
Hydraulic fence	Hydraulický plot
Sorting of details	Třídění detailů
Waterproofing	Hydroizolace
Preprocessing	Předzpracování
Equipment calibration	Kalibrace zařízení
Cooling system	Chladící systém
Magnets	Magnety
Increase field size: {#price}	Zvětšit velikost pole: {#price}
See story	Viz příběh
Pause	Pauza
End round	Konec kola
Continue	Pokračovat
End saved game, and start a new one	Ukončete uloženou hru a začněte novou
Tutorials	Tutoriály
Basic	Základní
Fence	Plot
Crane	Jeřáb
Workshop	Dílna
Before	Před
Now	Nyní
Next	další
Max detail:	Max detail:
Bolt	Šroub
Gear	Ozubené kolo
Gear box	Převodovka
Bearing	Ložisko
Piston	Píst
Engine	Motor
Moped	Moped
Motorcycle	Motocykl
Car	Auto
<!-- Tutorials -->																																													
Hello and welcome to 'Recycling: 2048'! Are you ready for some challenge? In this tutorial you'll learn the base needed for recycling, but some features you only can find by yourself!	Dobrý den a vítejte v 'Recycling: 2048'! Jste připraveni na nějakou výzvu? V tomto tutoriálu se naučíte základ potřebný pro recyklaci, ale některé funkce můžete najít pouze sami!
There are 4 magnets around the field (orange objects). You can activate them by swiping (move your finger on the screen). They can move any magnetic materials - perfect for the details we work with! Give it a try by moving an object (like the bolt) three times.	Kolem pole jsou 4 magnety (oranžové předměty). Můžete je aktivovat přejetím (pohybem prstu po obrazovce). Mohou pohybovat jakýmkoli magnetickým materiálem - ideální pro detaily, se kterými pracujeme! Zkuste to tak, že třikrát pohnete objektem (jako je šroub).
A new detail has appeared: a bolt. While some might see it as garbage, we can recycle it into something more advanced, like a gear!	Objevil se nový detail: šroub. I když to někteří mohou považovat za odpad, můžeme to recyklovat na něco pokročilejšího, jako je zařízení!
Recycle two bolts into a gear by moving them together.	Recyklujte dva šrouby do ozubeného kola tak, že je posunete k sobě.
Fantastic! You've just recycled some garbage! Keep it up, and together we can reach our goal of creating a better life.	Fantastický! Právě jste recyklovali nějaký odpad! Pokračujte a společně dosáhneme našeho cíle vytvořit lepší život.
Oh, no, the magnet has broken! :({#} You see, the right magnet is red now.	Oh, ne, magnet se zlomil! :({#} Vidíte, pravý magnet je teď červený.
Try activating the right magnet a few times and see that nothing happens. (Swipe to the right)	Zkuste několikrát aktivovat správný magnet a uvidíte, že se nic nestane. (Přejetí prstem doprava)
You see, nothing happened. Now try swiping in different directions (up and down). Let's wait until the magnet repairs itself.	Vidíš, nic se nestalo. Nyní zkuste přejet v různých směrech (nahoru a dolů). Počkáme, až se magnet sám opraví.
Done! After several moves, all magnets will be repaired.	Hotovo! Po několika přesunech budou všechny magnety opraveny.
Now, let's talk about bio garbage (the apple leftover). Try moving it.	Nyní si promluvme o biologickém odpadu (zbytku jablka). Zkuste to přesunout.
Because bio garbage lacks magnetic materials, magnets can't move it.	Protože biologický odpad postrádá magnetické materiály, magnety s ním nemohou pohybovat.
Don't forget to sort your garbage! :)	Nezapomeňte třídit odpadky! :)
This is a rust garbage. It can't be recycled either. The number indicates how much time it needs to rust away and disappear.	Toto je rezavý odpad. Ani se to nedá recyklovat. Číslo udává, jak dlouho potřebuje, aby zrezivěl a zmizel.
Amazing! You've improved your recycling skills!	Úžasný! Zlepšili jste své recyklační dovednosti!
Congratulations on acquiring the workshop! Let's dive into a quick tutorial on how to make the most of it.	Gratulujeme k získání dílny! Pojďme se ponořit do rychlého návodu, jak z toho vytěžit maximum.
Combine simple details instantly from all fields using the workshop. Give it a try now!	Okamžitě zkombinujte jednoduché detaily ze všech oborů pomocí dílny. Vyzkoušejte to hned!
It's pretty cool, right? Just keep in mind the cooldown. It takes some time, so use it wisely!	Je to docela fajn, že? Jen mějte na paměti cooldown. Zabere to nějaký čas, tak to používejte moudře!
Be cautious when there's only one detail available for the workshop. It won't be able to combine it and will just return the item back.	Buďte opatrní, když je pro dílnu k dispozici pouze jeden detail. Nebude to možné zkombinovat a pouze vrátí položku zpět.
So, just use it carefully.	Takže ho používejte opatrně.
The workshop shines when you're surrounded by annoying simple details. It's the perfect tool to tidy up your space efficiently!	Dílna září, když jste obklopeni otravnými jednoduchými detaily. Je to perfektní nástroj pro efektivní úklid vašeho prostoru!
Congratulations on purchasing the crane! Here's a brief tutorial on how to work with it.	Gratulujeme ke koupi jeřábu! Zde je stručný návod, jak s ním pracovat.
To use the crane, simply tap on the icon. Now, you've entered CRANE mode.	Chcete-li použít jeřáb, jednoduše klepněte na ikonu. Nyní jste vstoupili do režimu CRANE.
In CRANE mode, choose an item on the field that you'd like to interact with.	V režimu CRANE vyberte položku na poli, se kterou chcete pracovat.
Next, select an empty field where you want to move the chosen item.	Dále vyberte prázdné pole, kam chcete vybranou položku přesunout.
Now, press on the crane once more to execute the action.	Nyní znovu stiskněte jeřáb, abyste provedli akci.
As you upgrade, you'll gain the ability to change not only to empty fields but also swap them with other items.	Jak upgradujete, získáte možnost změnit se nejen na prázdná pole, ale také je vyměnit za jiné položky.
Don't be afraid to experiment! If you encounter an error, the game will provide an indication. {#}Try to cause an error (e.g., click on 2 empty cells).	Nebojte se experimentovat! Pokud narazíte na chybu, hra vás o tom informuje. {#}Zkuste způsobit chybu (např. klikněte na 2 prázdné buňky).
This is the error indication.	Toto je indikace chyby.
And last, but not least, try deselecting. To do so, press on the previously selected item, or on the crane (if you haven't selected the second cell yet).	A v neposlední řadě zkuste zrušit výběr. Chcete-li to provést, stiskněte na dříve vybranou položku nebo na jeřáb (pokud jste ještě nevybrali druhou buňku).
Congratulations on upgrading your fence! Let's see what it is capable of now.	Gratulujeme k vylepšení vašeho plotu! Pojďme se nyní podívat, čeho je schopen.
To use the fence, click on one of the blue (cyan) objects around the field.	Chcete-li použít plot, klikněte na jeden z modrých (azurových) objektů kolem pole.
Swipe the chosen object(s) towards the fence you've initiated.	Přejeďte vybraným objektem (y) směrem k plotu, který jste zahájili.
Fences usually need some time before you can use them again, so plan your moves accordingly.	Ploty obvykle potřebují nějaký čas, než je budete moci znovu použít, takže podle toho naplánujte své pohyby.
The hydraulic fence is a game-changer—it can handle all sorts of garbage, even non-magnetic ones.	Hydraulický plot mění hru – dokáže si poradit se všemi druhy odpadu, dokonce i s nemagnetickými.
It's your go-to tool for bio-garbage removal. Give it a shot!	Je to váš oblíbený nástroj pro odstraňování biologického odpadu. Zkusit to!
You just bought one upgrade, that is ~10% of waht is needed for increasing field size!	Právě jste si zakoupili jeden upgrade, to znamená ~10 % wahtu, který je potřeba pro zvětšení velikosti pole!
Keep up! :D	Držte krok! :D
<!-- Some tips in shop -->																																													
You will recive organic waste with probabiliy of {#prob}%	Získáte organický odpad s pravděpodobností {#prob} %
You will recive rust debris with probabiliy of {#prob}%	Obdržíte zbytky rzi s pravděpodobností {#prob}%
The probability of obtaining an improved detail is {#prob}%	Pravděpodobnost získání vylepšeného detailu je {#prob} %
The probability of successfully merging two details is approximately {#prob}%	Pravděpodobnost úspěšného sloučení dvou detailů je přibližně {#prob}%
Magnets will break with a probability of {#prob}%	Magnety se rozbijí s pravděpodobností {#prob}%
