en	da
English	Danish
lat	lat
0123456789!()\/_:&*%	0123456789!()\/_:&*%
place_your_(translator)_name_here	placer_dit_(oversætter)_navn_her
<!-- Basic names (objects and buttons) -->																																													
Buy	Købe
Back to menu	Tilbage til menuen
Settings	Indstillinger
Play	Spil
Shop	Butik
Coins:	Mønter:
Exit	Afslut
Set the level	Indstil niveauet
Sell All	Sælg alle
Details:	Detaljer:
Double coins!{#}(Watch Ad)	Dobbeltmønter!{#}(Se annonce)
Restart	Genstart
Advertisement watched	Annoncen blev set
Received coins:	Modtagne mønter:
Sound volume	Lydstyrke
next	Næste
Tower crane	Tårnkran
Workshop	Værksted
Hydraulic fence	Hydraulisk hegn
Sorting of details	Sortering af detaljer
Waterproofing	Vandtætning
Preprocessing	Forbehandling
Equipment calibration	Udstyrskalibrering
Cooling system	Kølesystem
Magnets	Magneter
Increase field size: {#price}	Forøg feltstørrelse: {#price}
See story	Se historien
Pause	Pause
End round	Slut runde
Continue	Blive ved
End saved game, and start a new one	Afslut gemt spil, og start et nyt
Tutorials	Selvstudier
Basic	Grundlæggende
Fence	Hegn
Crane	Kran
Workshop	Værksted
Before	Før
Now	Nu
Next	Næste
Max detail:	Max detalje:
Bolt	Bolt
Gear	Gear
Gear box	Gearkasse
Bearing	Leje
Piston	Stempel
Engine	Motor
Moped	Knallert
Motorcycle	Motorcykel
Car	Bil
Pickup	Saml op
Truck	Lastbil
Biplane	Biplan
Helicopter	Helikopter
Plane	Fly
AN-225 Mriya	AN-225 Mriya
Rocket engine	Raketmotor
Soyuz	Soyuz
Rocket	Raket
<!-- Tutorials -->																																													
Hello and welcome to 'Recycling: 2048'! Are you ready for some challenge? In this tutorial you'll learn the base needed for recycling, but some features you only can find by yourself!	Hej og velkommen til 'Genbrug: 2048'! Er du klar til en udfordring? I denne tutorial lærer du den nødvendige basis for genbrug, men nogle funktioner kan du kun finde selv!
There are 4 magnets around the field (orange objects). You can activate them by swiping (move your finger on the screen). They can move any magnetic materials - perfect for the details we work with! Give it a try by moving an object (like the bolt) three times.	Der er 4 magneter rundt om feltet (orange genstande). Du kan aktivere dem ved at stryge (bevæg fingeren på skærmen). De kan flytte alle magnetiske materialer - perfekt til de detaljer, vi arbejder med! Prøv det ved at flytte en genstand (som bolten) tre gange.
