en	de
English	German
lat	lat
0123456789!()\/_:&*%	0123456789!()\/_:&*%
place_your_(translator)_name_here	place_your_(translator)_name_here
<!-- Basic names (objects and buttons) -->																																													
Buy	Kaufen
Back to menu	Zurück zum Menü
Settings	Einstellungen
Play	Spielen
Shop	Geschäft
Coins:	Münzen:
Exit	Ausfahrt
Set the level	Stellen Sie den Pegel ein
Sell All	Alles verkaufen
Details:	Einzelheiten:
Double coins!{#}(Watch Ad)	Doppelte Münzen!{#}(Anzeige ansehen)
Restart	Neu starten
Advertisement watched	Werbung angeschaut
Received coins:	Erhaltene Münzen:
Sound volume	Lautstärke
next	nächste
Tower crane	Turmdrehkran
Workshop	Werkstatt
Hydraulic fence	Hydraulischer Zaun
Sorting of details	Sortieren von Details
Waterproofing	Abdichtung
Preprocessing	Vorverarbeitung
Equipment calibration	Gerätekalibrierung
Cooling system	Kühlsystem
Magnets	Magnete
Increase field size: {#price}	Feldgröße erhöhen: {#price}
See story	Siehe Geschichte
Pause	Pause
End round	Runde beenden
Continue	Weitermachen
End saved game, and start a new one	Beenden Sie das gespeicherte Spiel und starten Sie ein neues
Tutorials	Tutorials
Basic	Basic
Fence	Zaun
Crane	Kran
Workshop	Werkstatt
Before	Vor
Now	Jetzt
Next	Nächste
Max detail:	Maximales Detail:
Bolt	Bolzen
Gear	Gang
Gear box	Getriebe
Bearing	Lager
Piston	Kolben
Engine	Motor
Moped	Moped
Motorcycle	Motorrad
Car	Auto
Pickup	Abholen
Truck	LKW
Biplane	Doppeldecker
Helicopter	Hubschrauber
Plane	Flugzeug
AN-225 Mriya	AN-225 Mriya
Rocket engine	Raketenantrieb
Soyuz	Sojus
Rocket	Rakete
<!-- Tutorials -->																																													
Hello and welcome to 'Recycling: 2048'! Are you ready for some challenge? In this tutorial you'll learn the base needed for recycling, but some features you only can find by yourself!	Hallo und willkommen bei „Recycling: 2048“! Sind Sie bereit für eine Herausforderung? In diesem Tutorial lernen Sie die für das Recycling benötigte Basis kennen, einige Funktionen können Sie jedoch nur selbst finden!
There are 4 magnets around the field (orange objects). You can activate them by swiping (move your finger on the screen). They can move any magnetic materials - perfect for the details we work with! Give it a try by moving an object (like the bolt) three times.	Um das Feld herum befinden sich 4 Magnete (orangefarbene Objekte). Sie können sie durch Wischen (Bewegen Ihres Fingers über den Bildschirm) aktivieren. Sie können alle magnetischen Materialien bewegen – perfekt für die Details, mit denen wir arbeiten! Probieren Sie es aus, indem Sie ein Objekt (z. B. den Bolzen) dreimal bewegen.
