en	el
English	Greek
lat	el
0123456789!()\/_:&*%	0123456789!()\/_:&*%
place_your_(translator)_name_here	place_your_(translator)_name_here
<!-- Basic names (objects and buttons) -->																																													
Buy	Αγορά
Back to menu	Πίσω στο μενού
Settings	Ρυθμίσεις
Play	Παίζω
Shop	Κατάστημα
Coins:	Νομίσματα:
Exit	Εξοδος
Set the level	Ρυθμίστε το επίπεδο
Sell All	Πούλησε τα όλα
Details:	Λεπτομέριες:
Double coins!{#}(Watch Ad)	Διπλά νομίσματα!{#}(Παρακολουθήστε τη διαφήμιση)
Restart	Επανεκκίνηση
Advertisement watched	Η διαφήμιση παρακολουθήθηκε
Received coins:	Λήφθηκαν νομίσματα:
Sound volume	Ενταση ήχου
next	Επόμενο
Tower crane	Πύργος γερανός
Workshop	ΕΡΓΑΣΤΗΡΙ
Hydraulic fence	Υδραυλική περίφραξη
Sorting of details	Ταξινόμηση λεπτομερειών
Waterproofing	Στεγανοποίηση
Preprocessing	Προεπεξεργασία
Equipment calibration	Βαθμονόμηση εξοπλισμού
Cooling system	Σύστημα ψύξης
Magnets	Μαγνήτες
Increase field size: {#price}	Αύξηση μεγέθους πεδίου: {#price}
See story	Δείτε την ιστορία
Pause	Παύση
End round	Τέλος γύρου
Continue	Να συνεχίσει
End saved game, and start a new one	Τερματίστε το αποθηκευμένο παιχνίδι και ξεκινήστε ένα νέο
Tutorials	Φροντιστήρια
Basic	Βασικός
Fence	Φράκτης
Crane	Γερανός
Workshop	ΕΡΓΑΣΤΗΡΙ
Before	Πριν
Now	Τώρα
Next	Επόμενο
Max detail:	Μέγιστη λεπτομέρεια:
Bolt	Μπουλόνι
Gear	Μηχανισμός
Gear box	Κιβώτιο ταχυτήτων
Bearing	Ρουλεμάν
Piston	Εμβολο
Engine	Κινητήρας
Moped	Μοτοποδήλατο
Motorcycle	Μοτοσυκλέτα
Car	Αυτοκίνητο
<!-- Tutorials -->																																													
Hello and welcome to 'Recycling: 2048'! Are you ready for some challenge? In this tutorial you'll learn the base needed for recycling, but some features you only can find by yourself!	Γεια σας και καλωσορίσατε στο 'Ανακύκλωση: 2048'! Είστε έτοιμοι για κάποια πρόκληση. Σε αυτό το σεμινάριο θα μάθετε τη βάση που απαιτείται για την ανακύκλωση, αλλά ορισμένα χαρακτηριστικά μπορείτε να βρείτε μόνοι σας!
There are 4 magnets around the field (orange objects). You can activate them by swiping (move your finger on the screen). They can move any magnetic materials - perfect for the details we work with! Give it a try by moving an object (like the bolt) three times.	Υπάρχουν 4 μαγνήτες γύρω από το πεδίο (πορτοκαλί αντικείμενα). Μπορείτε να τα ενεργοποιήσετε κάνοντας σάρωση (μετακινήστε το δάχτυλό σας στην οθόνη). Μπορούν να μετακινήσουν οποιαδήποτε μαγνητικά υλικά - τέλεια για τις λεπτομέρειες με τις οποίες δουλεύουμε! Δοκιμάστε το μετακινώντας ένα αντικείμενο (όπως το μπουλόνι) τρεις φορές.
A new detail has appeared: a bolt. While some might see it as garbage, we can recycle it into something more advanced, like a gear!	Μια νέα λεπτομέρεια εμφανίστηκε: ένα μπουλόνι. Ενώ κάποιοι μπορεί να το βλέπουν ως σκουπίδια, μπορούμε να το ανακυκλώσουμε σε κάτι πιο προηγμένο, όπως ένα εργαλείο!
Recycle two bolts into a gear by moving them together.	Ανακυκλώστε δύο μπουλόνια σε ένα γρανάζι μετακινώντας τα μαζί.
Fantastic! You've just recycled some garbage! Keep it up, and together we can reach our goal of creating a better life.	Φανταστικός! Μόλις ανακυκλώσατε μερικά σκουπίδια! Συνεχίστε έτσι και μαζί μπορούμε να πετύχουμε τον στόχο μας να δημιουργήσουμε μια καλύτερη ζωή.
Oh, no, the magnet has broken! :({#} You see, the right magnet is red now.	Α, όχι, ο μαγνήτης έχει σπάσει! :({#} Βλέπετε, ο σωστός μαγνήτης είναι κόκκινος τώρα.
Try activating the right magnet a few times and see that nothing happens. (Swipe to the right)	Δοκιμάστε να ενεργοποιήσετε τον σωστό μαγνήτη μερικές φορές και δείτε ότι δεν συμβαίνει τίποτα. (Σύρετε προς τα δεξιά)
You see, nothing happened. Now try swiping in different directions (up and down). Let's wait until the magnet repairs itself.	Βλέπετε, δεν έγινε τίποτα. Τώρα δοκιμάστε να σύρετε προς διαφορετικές κατευθύνσεις (πάνω και κάτω). Ας περιμένουμε μέχρι ο μαγνήτης να επισκευαστεί μόνος του.
Done! After several moves, all magnets will be repaired.	Εγινε! Μετά από αρκετές κινήσεις, όλοι οι μαγνήτες θα επισκευαστούν.
