en	en
English	English
lat	lat
0123456789!()\/_:&*%	0123456789!()\/_:&*%
place_your_(translator)_name_here	place_your_(translator)_name_here
<!-- Basic names (objects and buttons) -->																																													
Buy	Buy
Back to menu	Back to menu
Settings	Settings
Play	Play
Shop	Shop
Coins:	Coins:
Exit	Exit
Set the level	Set the level
Sell All	Sell All
Details:	Details:
Double coins!{#}(Watch Ad)	Double coins!{#}(Watch Ad)
Restart	Restart
Advertisement watched	Advertisement watched
Received coins:	Received coins:
Sound volume	Sound volume
next	next
Tower crane	Tower crane
Workshop	Workshop
Hydraulic fence	Hydraulic fence
Sorting of details	Sorting of details
Waterproofing	Waterproofing
Preprocessing	Preprocessing
Equipment calibration	Equipment calibration
Cooling system	Cooling system
Magnets	Magnets
Increase field size: {#price}	Increase field size: {#price}
See story	See story
Pause	Pause
End round	End round
Continue	Continue
End saved game, and start a new one	End saved game, and start a new one
Tutorials	Tutorials
Basic	Basic
Fence	Fence
Crane	Crane
Workshop	Workshop
Before	Before
Now	Now
Next	Next
Max detail:	Max detail:
Bolt	Bolt
Gear	Gear
Gear box	Gear box
Bearing	Bearing
Piston	Piston
Engine	Engine
Moped	Moped
Motorcycle	Motorcycle
Car	Car
Pickup	Pickup
Truck	Truck
Biplane	Biplane
Helicopter	Helicopter
Plane	Plane
AN-225 Mriya	AN-225 Mriya
Rocket engine	Rocket engine
Soyuz	Soyuz
Rocket	Rocket
<!-- Tutorials -->																																													
Hello and welcome to 'Recycling: 2048'! Are you ready for some challenge? In this tutorial you'll learn the base needed for recycling, but some features you only can find by yourself!	Hello and welcome to 'Recycling: 2048'! Are you ready for some challenge? In this tutorial you'll learn the base needed for recycling, but some features you only can find by yourself!
There are 4 magnets around the field (orange objects). You can activate them by swiping (move your finger on the screen). They can move any magnetic materials - perfect for the details we work with! Give it a try by moving an object (like the bolt) three times.	There are 4 magnets around the field (orange objects). You can activate them by swiping (move your finger on the screen). They can move any magnetic materials - perfect for the details we work with! Give it a try by moving an object (like the bolt) three times.
A new detail has appeared: a bolt. While some might see it as garbage, we can recycle it into something more advanced, like a gear!	A new detail has appeared: a bolt. While some might see it as garbage, we can recycle it into something more advanced, like a gear!
Recycle two bolts into a gear by moving them together.	Recycle two bolts into a gear by moving them together.
Fantastic! You've just recycled some garbage! Keep it up, and together we can reach our goal of creating a better life.	Fantastic! You've just recycled some garbage! Keep it up, and together we can reach our goal of creating a better life.
Oh, no, the magnet has broken! :({#} You see, the right magnet is red now.	Oh, no, the magnet has broken! :({#} You see, the right magnet is red now.
Try activating the right magnet a few times and see that nothing happens. (Swipe to the right)	Try activating the right magnet a few times and see that nothing happens. (Swipe to the right)
