en	es
English	Spanish
lat	lat
0123456789!()\/_:&*%	0123456789!()\/_:&*%
place_your_(translator)_name_here	coloque_su_(traductor)_nombre_aquí
<!-- Basic names (objects and buttons) -->																																													
Buy	Comprar
Back to menu	Volver al menú
Settings	Ajustes
Play	Jugar
Shop	Comercio
Coins:	Monedas:
Exit	Salida
Set the level	Establecer el nivel
Sell All	Vender todo
Details:	Detalles:
Double coins!{#}(Watch Ad)	¡Doble monedas!{#}(Ver anuncio)
Restart	Reanudar
Advertisement watched	Anuncio visto
Received coins:	Monedas recibidas:
Sound volume	Volumen de sonido
next	próximo
Tower crane	Grúa torre
Workshop	Taller
Hydraulic fence	Valla hidráulica
Sorting of details	clasificación de detalles
Waterproofing	Impermeabilización
Preprocessing	Preprocesamiento
Equipment calibration	Calibración de equipos
Cooling system	Sistema de refrigeración
Magnets	Imanes
Increase field size: {#price}	Aumentar tamaño del campo: {#price}
See story	Ver historia
Pause	Pausa
End round	Fin de ronda
Continue	Continuar
End saved game, and start a new one	Finaliza la partida guardada y comienza una nueva.
Tutorials	Tutoriales
Basic	Básico
Fence	Cerca
Crane	Grua
Workshop	Taller
Before	Antes
Now	Ahora
Next	Próximo
Max detail:	Detalle máximo:
Bolt	Tornillo
Gear	Engranaje
Gear box	Caja de cambios
Bearing	Cojinete
Piston	Pistón
Engine	Motor
Moped	Ciclomotor
Motorcycle	Motocicleta
Car	Auto
Pickup	Levantar
Truck	Camión
Biplane	Biplano
Helicopter	Helicóptero
Plane	Avión
AN-225 Mriya	AN-225 Mriya
Rocket engine	motor de cohete
Soyuz	Soyuz
Rocket	Cohete
<!-- Tutorials -->																																													
Hello and welcome to 'Recycling: 2048'! Are you ready for some challenge? In this tutorial you'll learn the base needed for recycling, but some features you only can find by yourself!	¡Hola y bienvenido a 'Reciclaje: 2048'! ¿Estás listo para algún desafío? En este tutorial aprenderás la base necesaria para el reciclaje, ¡pero algunas características solo podrás encontrarlas tú mismo!
There are 4 magnets around the field (orange objects). You can activate them by swiping (move your finger on the screen). They can move any magnetic materials - perfect for the details we work with! Give it a try by moving an object (like the bolt) three times.	Hay 4 imanes alrededor del campo (objetos de color naranja). Puedes activarlos deslizando (mueve el dedo sobre la pantalla). Pueden mover cualquier material magnético, ¡perfecto para los detalles con los que trabajamos! Pruébalo moviendo un objeto (como el perno) tres veces.
A new detail has appeared: a bolt. While some might see it as garbage, we can recycle it into something more advanced, like a gear!	Ha aparecido un nuevo detalle: un cerrojo. Si bien algunos pueden verlo como basura, podemos reciclarlo y convertirlo en algo más avanzado, ¡como un engranaje!
Recycle two bolts into a gear by moving them together.	Recicle dos pernos en un engranaje moviéndolos juntos.
Fantastic! You've just recycled some garbage! Keep it up, and together we can reach our goal of creating a better life.	¡Fantástico! ¡Acabas de reciclar un poco de basura! Sigue así y juntos podremos alcanzar nuestro objetivo de crear una vida mejor.
Oh, no, the magnet has broken! :({#} You see, the right magnet is red now.	¡Oh, no, el imán se ha roto! :({#} Verás, el imán derecho ahora es rojo.
Try activating the right magnet a few times and see that nothing happens. (Swipe to the right)	Intente activar el imán correcto unas cuantas veces y compruebe que no pasa nada. (Desliza hacia la derecha)
You see, nothing happened. Now try swiping in different directions (up and down). Let's wait until the magnet repairs itself.	Verás, no pasó nada. Ahora intenta deslizar el dedo en diferentes direcciones (arriba y abajo). Esperemos hasta que el imán se repare solo.
Done! After several moves, all magnets will be repaired.	¡Hecho! Después de varios movimientos, todos los imanes quedarán reparados.
Now, let's talk about bio garbage (the apple leftover). Try moving it.	Ahora hablemos de la biobasura (los restos de la manzana). Intenta moverlo.
Because bio garbage lacks magnetic materials, magnets can't move it.	Debido a que la biobasura carece de materiales magnéticos, los imanes no pueden moverla.
Don't forget to sort your garbage! :)	¡No olvides clasificar tu basura! :)
This is a rust garbage. It can't be recycled either. The number indicates how much time it needs to rust away and disappear.	Esta es una basura de óxido. Tampoco se puede reciclar. El número indica cuánto tiempo necesita para oxidarse y desaparecer.
Amazing! You've improved your recycling skills!	¡Asombroso! ¡Has mejorado tus habilidades de reciclaje!
Congratulations on acquiring the workshop! Let's dive into a quick tutorial on how to make the most of it.	¡Felicitaciones por adquirir el taller! Profundicemos en un tutorial rápido sobre cómo aprovecharlo al máximo.
Combine simple details instantly from all fields using the workshop. Give it a try now!	Combine detalles simples al instante de todos los campos utilizando el taller. ¡Pruébalo ahora!
It's pretty cool, right? Just keep in mind the cooldown. It takes some time, so use it wisely!	Es muy bueno, ¿verdad? Solo tenga en cuenta el tiempo de reutilización. Lleva algo de tiempo, ¡así que úsalo sabiamente!
Be cautious when there's only one detail available for the workshop. It won't be able to combine it and will just return the item back.	Ten cuidado cuando solo haya un detalle disponible para el taller. No podrá combinarlo y simplemente devolverá el artículo.
So, just use it carefully.	Así que úsalo con cuidado.
The workshop shines when you're surrounded by annoying simple details. It's the perfect tool to tidy up your space efficiently!	El taller brilla cuando estás rodeado de detalles simples y molestos. ¡Es la herramienta perfecta para ordenar tu espacio de manera eficiente!
Congratulations on purchasing the crane! Here's a brief tutorial on how to work with it.	¡Felicitaciones por la compra de la grúa! Aquí hay un breve tutorial sobre cómo trabajar con él.
To use the crane, simply tap on the icon. Now, you've entered CRANE mode.	Para utilizar la grúa, simplemente toque el icono. Ahora ha ingresado al modo GRÚA.
In CRANE mode, choose an item on the field that you'd like to interact with.	En el modo GRÚA, elija un elemento del campo con el que le gustaría interactuar.
Next, select an empty field where you want to move the chosen item.	A continuación, seleccione un campo vacío donde desea mover el elemento elegido.
Now, press on the crane once more to execute the action.	Ahora, presiona la grúa una vez más para ejecutar la acción.
As you upgrade, you'll gain the ability to change not only to empty fields but also swap them with other items.	A medida que actualices, obtendrás la capacidad de cambiar no solo a campos vacíos sino también intercambiarlos con otros elementos.
Don't be afraid to experiment! If you encounter an error, the game will provide an indication. {#}Try to cause an error (e.g., click on 2 empty cells).	¡No tengas miedo de experimentar! Si encuentra un error, el juego le dará una indicación. {#}Intenta provocar un error (por ejemplo, haz clic en 2 celdas vacías).
This is the error indication.	Esta es la indicación de error.
And last, but not least, try deselecting. To do so, press on the previously selected item, or on the crane (if you haven't selected the second cell yet).	Y por último, pero no menos importante, intenta deseleccionar. Para hacerlo, presione sobre el elemento previamente seleccionado, o sobre la grúa (si aún no ha seleccionado la segunda celda).
Congratulations on upgrading your fence! Let's see what it is capable of now.	¡Felicitaciones por mejorar su cerca! Veamos de qué es capaz ahora.
To use the fence, click on one of the blue (cyan) objects around the field.	Para usar la cerca, haga clic en uno de los objetos azules (cian) alrededor del campo.
Swipe the chosen object(s) towards the fence you've initiated.	Desliza los objetos elegidos hacia la valla que has iniciado.
Fences usually need some time before you can use them again, so plan your moves accordingly.	Las vallas normalmente necesitan algo de tiempo antes de que puedas volver a usarlas, así que planifica tus movimientos en consecuencia.
The hydraulic fence is a game-changer—it can handle all sorts of garbage, even non-magnetic ones.	La cerca hidráulica cambia las reglas del juego: puede manejar todo tipo de basura, incluso la que no es magnética.
It's your go-to tool for bio-garbage removal. Give it a shot!	Es su herramienta de referencia para la eliminación de biobasura. ¡Dale un tiro!
You just bought one upgrade, that is ~10% of waht is needed for increasing field size!	¡Acabas de comprar una actualización, es decir, aproximadamente el 10 % de lo que se necesita para aumentar el tamaño del campo!
Keep up! :D	¡Mantenga! :D
<!-- Some tips in shop -->																																													
You will recive organic waste with probabiliy of {#prob}%	Recibirás residuos orgánicos con una probabilidad del {#prob}%
You will recive rust debris with probabiliy of {#prob}%	Recibirás restos de óxido con una probabilidad del {#prob}%
The probability of obtaining an improved detail is {#prob}%	La probabilidad de obtener un detalle mejorado es {#prob}%
The probability of successfully merging two details is approximately {#prob}%	La probabilidad de fusionar dos detalles con éxito es aproximadamente {#prob}%
Magnets will break with a probability of {#prob}%	Los imanes se romperán con una probabilidad del {#prob}%
More details will drop on the field after {#move} moves	Más detalles aparecerán en el campo después de que {#move} se mueva
No Workshop	Sin taller
Collects {#cell1}. Cooldown time:	Recoge {#cell1}. Tiempo de enfriamiento:
Collects {#cell1} and {#cell2}. Cooldown time:	Recopila {#cell1} y {#cell2}. Tiempo de enfriamiento:
No Crane	Sin grúa
Move items up to {#cell3}.	Mover elementos hasta {#cell3}.
