en	et
English	Estonian
lat	lat
0123456789!()\/_:&*%	0123456789!()\/_:&*%
place_your_(translator)_name_here	asetage_oma_(tõlkija)_nimi_siia
<!-- Basic names (objects and buttons) -->																																													
Buy	Osta
Back to menu	Tagasi menüüsse
Settings	Seaded
Play	Mängi
Shop	Pood
Coins:	Mündid:
Exit	Välju
Set the level	Määra tase
Sell All	Müü kõik
Details:	Üksikasjad:
Double coins!{#}(Watch Ad)	Topeltmündid!{#}(Vaadake reklaami)
Restart	Taaskäivita
Advertisement watched	Reklaami vaadatud
Received coins:	Saadud mündid:
Sound volume	Helitugevus
next	järgmiseks
Tower crane	Tornkraana
Workshop	Töötuba
Hydraulic fence	Hüdrauliline piirdeaed
Sorting of details	Detailide sorteerimine
Waterproofing	Hüdroisolatsioon
Preprocessing	Eeltöötlus
Equipment calibration	Seadmete kalibreerimine
Cooling system	Jahutussüsteem
Magnets	Magnetid
Increase field size: {#price}	Suurenda välja suurust: {#price}
See story	Vaata lugu
Pause	Paus
End round	Lõpeta ring
Continue	Jätka
End saved game, and start a new one	Lõpetage salvestatud mäng ja alustage uut
Tutorials	Õpetused
Basic	Põhiline
Fence	Tara
Crane	Kraana
Workshop	Töötuba
Before	Enne
Now	Nüüd
Next	Edasi
Max detail:	Maksimaalne detail:
Bolt	Polt
Gear	Käik
Gear box	Käigukast
Bearing	Laager
Piston	Kolb
Engine	Mootor
Moped	Mopeed
Motorcycle	Mootorratas
Car	Auto
<!-- Tutorials -->																																													
Hello and welcome to 'Recycling: 2048'! Are you ready for some challenge? In this tutorial you'll learn the base needed for recycling, but some features you only can find by yourself!	Tere ja tere tulemast 'Taaskasutus: 2048'sse! Kas olete mõneks väljakutseks valmis? Sellest õpetusest saate teada, mis on ringlussevõtuks vajalik alus, kuid mõned funktsioonid leiate ainult ise!
There are 4 magnets around the field (orange objects). You can activate them by swiping (move your finger on the screen). They can move any magnetic materials - perfect for the details we work with! Give it a try by moving an object (like the bolt) three times.	Väljal on 4 magnetit (oranžid objektid). Saate need aktiveerida pühkides (liigutage sõrme ekraanil). Nad suudavad liigutada mis tahes magnetilisi materjale – ideaalne detailide jaoks, millega me töötame! Proovige, liigutades objekti (nt polti) kolm korda.
A new detail has appeared: a bolt. While some might see it as garbage, we can recycle it into something more advanced, like a gear!	Ilmunud on uus detail: polt. Kuigi mõned võivad seda pidada prügiks, saame selle taaskasutada millekski arenenumaks, näiteks käigukastiks!
Recycle two bolts into a gear by moving them together.	Liigutage kaks polti käigukasti, liigutades neid kokku.
Fantastic! You've just recycled some garbage! Keep it up, and together we can reach our goal of creating a better life.	Fantastiline! Olete just osa prügi taaskasutanud! Jätkake samamoodi ja koos jõuame oma eesmärgini luua parem elu.
Oh, no, the magnet has broken! :({#} You see, the right magnet is red now.	Oh ei, magnet läks katki! :({#} Näete, õige magnet on nüüd punane.
Try activating the right magnet a few times and see that nothing happens. (Swipe to the right)	Proovige paar korda õiget magnetit aktiveerida ja vaadake, et midagi ei juhtuks. (Pühkige paremale)
You see, nothing happened. Now try swiping in different directions (up and down). Let's wait until the magnet repairs itself.	Näete, midagi ei juhtunud. Nüüd proovige pühkida eri suundades (üles ja alla). Ootame, kuni magnet ennast parandab.
Done! After several moves, all magnets will be repaired.	Valmis! Pärast mitmeid liigutusi parandatakse kõik magnetid.
Now, let's talk about bio garbage (the apple leftover). Try moving it.	Räägime nüüd bioprügist (õunajääkidest). Proovige seda liigutada.
Because bio garbage lacks magnetic materials, magnets can't move it.	Kuna bioprügil puuduvad magnetmaterjalid, ei saa magnetid seda liigutada.
Don't forget to sort your garbage! :)	Ärge unustage oma prügi sorteerida! :)
This is a rust garbage. It can't be recycled either. The number indicates how much time it needs to rust away and disappear.	See on rooste prügi. Seda ei saa ka taaskasutada. Arv näitab, kui palju aega kulub roostetamiseks ja kadumiseks.
Amazing! You've improved your recycling skills!	Hämmastav! Olete parandanud oma taaskasutusoskusi!
Congratulations on acquiring the workshop! Let's dive into a quick tutorial on how to make the most of it.	Palju õnne töökoja omandamise puhul! Sukeldume kiiresse õpetusesse, kuidas seda maksimaalselt ära kasutada.
Combine simple details instantly from all fields using the workshop. Give it a try now!	Kombineerige töökoja abil koheselt kõigi valdkondade lihtsad detailid. Proovige kohe!
It's pretty cool, right? Just keep in mind the cooldown. It takes some time, so use it wisely!	See on päris lahe, eks? Pidage lihtsalt meeles jahtumist. See võtab veidi aega, nii et kasutage seda targalt!
