en	fi
English	Finnish
lat	lat
0123456789!()\/_:&*%	0123456789!()\/_:&*%
place_your_(translator)_name_here	aseta_oma_(kääntäjä)_nimi_tänne
<!-- Basic names (objects and buttons) -->																																													
Buy	Ostaa
Back to menu	Takaisin valikkoon
Settings	asetukset
Play	pelata
Shop	Myymälä
Coins:	Kolikot:
Exit	Poistu
Set the level	Aseta taso
Sell All	Myy kaikki
Details:	Yksityiskohdat:
Double coins!{#}(Watch Ad)	Tuplakolikot!{#}(Katso mainos)
Restart	Uudelleenkäynnistää
Advertisement watched	Mainos katsottu
Received coins:	Vastaanotetut kolikot:
Sound volume	Äänenvoimakkuus
next	Seuraava
Tower crane	Torninosturi
Workshop	Työpaja
Hydraulic fence	Hydraulinen aita
Sorting of details	Yksityiskohtien lajittelu
Waterproofing	Vedeneristys
Preprocessing	Esikäsittely
Equipment calibration	Laitteen kalibrointi
Cooling system	Jäähdytysjärjestelmä
Magnets	Magneetit
Increase field size: {#price}	Suurenna kentän kokoa: {#price}
See story	Katso tarina
Pause	Tauko
End round	Lopeta kierros
Continue	Jatkaa
End saved game, and start a new one	Lopeta tallennettu peli ja aloita uusi
Tutorials	Oppaat
Basic	Perus
Fence	Aita
Crane	Nosturi
Workshop	Työpaja
Before	Ennen
Now	Nyt
Next	Seuraava
Max detail:	Suurin yksityiskohta:
Bolt	Pultti
Gear	Gear
Gear box	Vaihdelaatikko
Bearing	Laakeri
Piston	Mäntä
Engine	Moottori
Moped	Mopo
Motorcycle	Moottoripyörä
Car	Auto
Pickup	Noukkia
Truck	Kuorma-auto
Biplane	Kaksitaso
Helicopter	Helikopteri
Plane	Lentokone
AN-225 Mriya	AN-225 Mriya
Rocket engine	Raketti moottori
Soyuz	Sojuz
Rocket	Raketti
<!-- Tutorials -->																																													
Hello and welcome to 'Recycling: 2048'! Are you ready for some challenge? In this tutorial you'll learn the base needed for recycling, but some features you only can find by yourself!	Hei ja tervetuloa Kierrätys: 2048:aan! Oletko valmis johonkin haasteeseen? Tässä opetusohjelmassa opit kierrätykseen tarvittavan perustan, mutta joitain ominaisuuksia voit löytää vain itse!
There are 4 magnets around the field (orange objects). You can activate them by swiping (move your finger on the screen). They can move any magnetic materials - perfect for the details we work with! Give it a try by moving an object (like the bolt) three times.	Kentän ympärillä on 4 magneettia (oranssit esineet). Voit aktivoida ne pyyhkäisemällä (liikuttamalla sormeasi näytöllä). Ne voivat siirtää mitä tahansa magneettista materiaalia - täydellinen yksityiskohtiin, joiden kanssa työskentelemme! Kokeile liikuttamalla esinettä (kuten pulttia) kolme kertaa.
A new detail has appeared: a bolt. While some might see it as garbage, we can recycle it into something more advanced, like a gear!	Uusi yksityiskohta on ilmestynyt: pultti. Vaikka jotkut saattavat nähdä sen roskana, voimme kierrättää sen joksikin edistyneemmäksi, kuten vaihteeksi!
Recycle two bolts into a gear by moving them together.	Kierrätä kaksi pulttia vaihteeseen siirtämällä niitä yhteen.
Fantastic! You've just recycled some garbage! Keep it up, and together we can reach our goal of creating a better life.	Fantastinen! Olet juuri kierrättänyt roskaa! Jatka samaan malliin, niin voimme yhdessä saavuttaa tavoitteemme luoda parempi elämä.
Oh, no, the magnet has broken! :({#} You see, the right magnet is red now.	Voi ei, magneetti on rikki! :({#} Oikea magneetti on nyt punainen.
Try activating the right magnet a few times and see that nothing happens. (Swipe to the right)	Kokeile aktivoida oikea magneetti muutaman kerran ja katso, ettei mitään tapahdu. (Pyyhkäise oikealle)
You see, nothing happened. Now try swiping in different directions (up and down). Let's wait until the magnet repairs itself.	Näettekö, mitään ei tapahtunut. Yritä nyt pyyhkäistä eri suuntiin (ylös ja alas). Odotetaan, kunnes magneetti korjaa itsensä.
Done! After several moves, all magnets will be repaired.	Tehty! Muutaman siirron jälkeen kaikki magneetit korjataan.
Now, let's talk about bio garbage (the apple leftover). Try moving it.	Nyt puhutaan biojätteistä (omenan jäännökset). Yritä siirtää sitä.
Because bio garbage lacks magnetic materials, magnets can't move it.	Koska biojätteestä puuttuu magneettisia materiaaleja, magneetit eivät voi siirtää sitä.
Don't forget to sort your garbage! :)	Älä unohda lajitella roskat! :)
This is a rust garbage. It can't be recycled either. The number indicates how much time it needs to rust away and disappear.	Tämä on ruosteista roskaa. Sitä ei myöskään voi kierrättää. Numero osoittaa, kuinka kauan se tarvitsee ruostuakseen ja katoaakseen.
Amazing! You've improved your recycling skills!	Hämmästyttävä! Olet parantanut kierrätystaitojasi!
Congratulations on acquiring the workshop! Let's dive into a quick tutorial on how to make the most of it.	Onnittelut työpajan hankinnasta! Sukellaanpa nopeaan opetusohjelmaan, jossa kerrotaan, kuinka saat siitä kaiken irti.
Combine simple details instantly from all fields using the workshop. Give it a try now!	Yhdistä yksinkertaiset yksityiskohdat välittömästi kaikilta aloilta työpajan avulla. Kokeile nyt!
It's pretty cool, right? Just keep in mind the cooldown. It takes some time, so use it wisely!	Se on aika siistiä, eikö? Muista vain jäähdytys. Se vie jonkin aikaa, joten käytä sitä viisaasti!
Be cautious when there's only one detail available for the workshop. It won't be able to combine it and will just return the item back.	Ole varovainen, kun työpajaa varten on käytettävissä vain yksi yksityiskohta. Se ei voi yhdistää sitä ja palauttaa vain tuotteen takaisin.
So, just use it carefully.	Joten käytä sitä vain huolellisesti.
The workshop shines when you're surrounded by annoying simple details. It's the perfect tool to tidy up your space efficiently!	Työpaja loistaa, kun sinua ympäröivät ärsyttävät yksinkertaiset yksityiskohdat. Se on täydellinen työkalu siivoamaan tilat tehokkaasti!
Congratulations on purchasing the crane! Here's a brief tutorial on how to work with it.	Onnittelut nosturin hankinnasta! Tässä on lyhyt opetusohjelma sen kanssa työskentelemiseen.
To use the crane, simply tap on the icon. Now, you've entered CRANE mode.	Käytä nosturia napauttamalla kuvaketta. Nyt olet siirtynyt CRANE-tilaan.
In CRANE mode, choose an item on the field that you'd like to interact with.	Valitse NOSTURI-tilassa kentältä kohde, jonka kanssa haluat olla vuorovaikutuksessa.
Next, select an empty field where you want to move the chosen item.	Valitse seuraavaksi tyhjä kenttä, johon haluat siirtää valitun kohteen.
Now, press on the crane once more to execute the action.	Paina nyt nosturia vielä kerran suorittaaksesi toiminnon.
As you upgrade, you'll gain the ability to change not only to empty fields but also swap them with other items.	Kun päivität, saat mahdollisuuden muuttaa tyhjien kenttien lisäksi ne myös muiden kohteiden kanssa.
Don't be afraid to experiment! If you encounter an error, the game will provide an indication. {#}Try to cause an error (e.g., click on 2 empty cells).	Älä pelkää kokeilla! Jos kohtaat virheen, peli antaa ilmoituksen. {#}Yritä aiheuttaa virhe (esim. napsauta kahta tyhjää solua).
This is the error indication.	Tämä on virheilmoitus.
And last, but not least, try deselecting. To do so, press on the previously selected item, or on the crane (if you haven't selected the second cell yet).	Ja viimeisenä, mutta ei vähäisimpänä, yritä poistaa valinta. Voit tehdä tämän painamalla aiemmin valittua kohdetta tai nosturia (jos et ole vielä valinnut toista solua).
