en	fil
English	Filipino
lat	lat
0123456789!()\/_:&*%	0123456789!()\/_:&*%
place_your_(translator)_name_here	ilagay_iyong_(tagasalin)_pangalan_dito
<!-- Basic names (objects and buttons) -->																																													
Buy	Bumili
Back to menu	Bumalik sa menu
Settings	Mga setting
Play	Maglaro
Shop	Mamili
Coins:	Mga barya:
Exit	Lumabas
Set the level	Itakda ang antas
Sell All	Ibenta lahat
Details:	Mga Detalye:
Double coins!{#}(Watch Ad)	Dobleng barya!{#}(Manood ng Ad)
Restart	I-restart
Advertisement watched	Napanood ang patalastas
Received coins:	Nakatanggap ng mga barya:
Sound volume	Lakas ng tunog
next	susunod
Tower crane	Tower crane
Workshop	Workshop
Hydraulic fence	Hydraulic na bakod
Sorting of details	Pag-uuri ng mga detalye
Waterproofing	Hindi tinatablan ng tubig
Preprocessing	Preprocessing
Equipment calibration	Pag-calibrate ng kagamitan
Cooling system	Sistema ng paglamig
Magnets	Mga magnet
Increase field size: {#price}	Dagdagan ang laki ng field: {#price}
See story	Tingnan ang kwento
Pause	I-pause
End round	Tapusin ang pag-ikot
Continue	Magpatuloy
End saved game, and start a new one	Tapusin ang naka-save na laro, at magsimula ng bago
Tutorials	Mga Tutorial
Basic	Basic
Fence	Bakod
Crane	Crane
Workshop	Workshop
Before	dati
Now	Ngayon
Next	Susunod
Max detail:	Max na detalye:
Bolt	Bolt
Gear	Mga gamit
Gear box	Gear box
Bearing	tindig
Piston	Piston
Engine	makina
Moped	Moped
Motorcycle	Motorsiklo
Car	kotse
<!-- Tutorials -->																																													
Hello and welcome to 'Recycling: 2048'! Are you ready for some challenge? In this tutorial you'll learn the base needed for recycling, but some features you only can find by yourself!	Kumusta at maligayang pagdating sa 'Recycling: 2048'! Handa ka na ba para sa ilang hamon? Sa tutorial na ito matututunan mo ang batayan na kailangan para sa pag-recycle, ngunit ang ilang mga tampok na ikaw lamang ang mahahanap nang mag-isa!
