en	fr
English	French
lat	lat
0123456789!()\/_:&*%	0123456789!()\/_:&*%
place_your_(translator)_name_here	place_your_(traducteur)_name_here
<!-- Basic names (objects and buttons) -->																																													
Buy	Acheter
Back to menu	Retour au menu
Settings	Paramètres
Play	Jouer
Shop	Boutique
Coins:	Pièces de monnaie:
Exit	Sortie
Set the level	Définir le niveau
Sell All	Tout vendre
Details:	Détails:
Double coins!{#}(Watch Ad)	Doublez les pièces !{#}(Regarder l'annonce)
Restart	Redémarrage
Advertisement watched	Publicité regardée
Received coins:	Pièces reçues :
Sound volume	Volume sonore
next	suivant
Tower crane	Grue à tour
Workshop	Atelier
Hydraulic fence	Clôture hydraulique
Sorting of details	Tri des détails
Waterproofing	Imperméabilisation
Preprocessing	Prétraitement
Equipment calibration	Calibrage de l'équipement
Cooling system	Système de refroidissement
Magnets	Aimants
Increase field size: {#price}	Augmenter la taille du champ : {#price}
See story	Voir l'histoire
Pause	Pause
End round	Fin du tour
Continue	Continuer
End saved game, and start a new one	Terminer la partie sauvegardée et en démarrer une nouvelle
Tutorials	Tutoriels
Basic	Basique
Fence	Clôture
Crane	Grue
Workshop	Atelier
Before	Avant
Now	Maintenant
Next	Suivant
Max detail:	Détail maximum :
Bolt	Boulon
Gear	Engrenage
Gear box	Boîte de vitesses
Bearing	Palier
Piston	Piston
Engine	Moteur
Moped	Vélomoteur
Motorcycle	Moto
Car	Voiture
Pickup	Ramasser
Truck	Camion
Biplane	Biplan
Helicopter	Hélicoptère
Plane	Avion
AN-225 Mriya	AN-225 Mriya
Rocket engine	Moteur de fusée
Soyuz	Soyouz
Rocket	Fusée
<!-- Tutorials -->																																													
Hello and welcome to 'Recycling: 2048'! Are you ready for some challenge? In this tutorial you'll learn the base needed for recycling, but some features you only can find by yourself!	Bonjour et bienvenue dans « Recyclage : 2048 » ! Êtes-vous prêt à relever un défi ? Dans ce tutoriel, vous apprendrez la base nécessaire au recyclage, mais certaines fonctionnalités que vous seul pourrez trouver par vous-même !
There are 4 magnets around the field (orange objects). You can activate them by swiping (move your finger on the screen). They can move any magnetic materials - perfect for the details we work with! Give it a try by moving an object (like the bolt) three times.	Il y a 4 aimants autour du champ (objets orange). Vous pouvez les activer en glissant (déplacez votre doigt sur l'écran). Ils peuvent déplacer n’importe quel matériau magnétique – parfait pour les détails avec lesquels nous travaillons ! Essayez-le en déplaçant un objet (comme le boulon) trois fois.
