en	hi
English	Hindi
lat	hi
0123456789!()\/_:&*%	0123456789!()\/_:&*%
place_your_(translator)_name_here	अपना_(अनुवादक)_नाम_यहां रखें
<!-- Basic names (objects and buttons) -->																																													
Buy	खरीदना
Back to menu	मैन्यू में वापस
Settings	समायोजन
Play	खेल
Shop	दुकान
Coins:	सिक्के:
Exit	बाहर निकलना
Set the level	स्तर निर्धारित करें
Sell All	सब बेच दो
Details:	विवरण:
Double coins!{#}(Watch Ad)	दोहरे सिक्के!{#}(विज्ञापन देखें)
Restart	पुनः आरंभ करें
Advertisement watched	विज्ञापन देखा
Received coins:	प्राप्त सिक्के:
Sound volume	ध्वनि आवाज़
next	अगला
Tower crane	टावर क्रेन
Workshop	कार्यशाला
Hydraulic fence	हाइड्रोलिक बाड़
Sorting of details	विवरण का वर्गीकरण
Waterproofing	waterproofing
Preprocessing	पूर्वप्रसंस्करण
Equipment calibration	उपकरण अंशांकन
Cooling system	शीतलन प्रणाली
Magnets	चुम्बक
Increase field size: {#price}	फ़ील्ड का आकार बढ़ाएँ: {#price}
See story	कहानी देखें
Pause	विराम
End round	अंत दौर
Continue	जारी रखना
End saved game, and start a new one	सहेजा गया गेम समाप्त करें, और एक नया प्रारंभ करें
Tutorials	ट्यूटोरियल
Basic	बुनियादी
Fence	बाड़
Crane	क्रेन
Workshop	कार्यशाला
Before	पहले
Now	अब
Next	अगला
Max detail:	अधिकतम विवरण:
Bolt	पेंच
Gear	गियर
Gear box	गियर बॉक्स
Bearing	सहन करना
Piston	पिस्टन
Engine	इंजन
Moped	इंजन से साइकिल
Motorcycle	मोटरसाइकिल
Car	कार
Pickup	उठाना
Truck	ट्रक
Biplane	बीप्लैन
Helicopter	हेलीकॉप्टर
Plane	विमान
AN-225 Mriya	एएन-225 मरिया
Rocket engine	रॉकेट इंजन
Soyuz	सोयुज
Rocket	राकेट
<!-- Tutorials -->																																													
Hello and welcome to 'Recycling: 2048'! Are you ready for some challenge? In this tutorial you'll learn the base needed for recycling, but some features you only can find by yourself!	नमस्ते और 'रीसाइक्लिंग: 2048' में आपका स्वागत है! क्या आप किसी चुनौती के लिए तैयार हैं? इस ट्यूटोरियल में आप रीसाइक्लिंग के लिए आवश्यक आधार सीखेंगे, लेकिन कुछ विशेषताएं आप केवल स्वयं ही पा सकते हैं!
There are 4 magnets around the field (orange objects). You can activate them by swiping (move your finger on the screen). They can move any magnetic materials - perfect for the details we work with! Give it a try by moving an object (like the bolt) three times.	क्षेत्र के चारों ओर 4 चुंबक हैं (नारंगी वस्तुएं)। आप उन्हें स्वाइप करके (स्क्रीन पर अपनी उंगली घुमाकर) सक्रिय कर सकते हैं। वे किसी भी चुंबकीय सामग्री को स्थानांतरित कर सकते हैं - जिस विवरण के साथ हम काम करते हैं उसके लिए बिल्कुल उपयुक्त! किसी वस्तु (बोल्ट की तरह) को तीन बार हिलाकर इसे आज़माएँ।
A new detail has appeared: a bolt. While some might see it as garbage, we can recycle it into something more advanced, like a gear!	एक नया विवरण सामने आया है: एक बोल्ट। हालाँकि कुछ लोग इसे कूड़े के रूप में देख सकते हैं, हम इसे गियर जैसी किसी और उन्नत चीज़ में रीसायकल कर सकते हैं!
Recycle two bolts into a gear by moving them together.	दो बोल्टों को एक साथ घुमाकर गियर में रीसायकल करें।
Fantastic! You've just recycled some garbage! Keep it up, and together we can reach our goal of creating a better life.	ज़बरदस्त! आपने अभी-अभी कुछ कचरा पुनर्चक्रित किया है! इसे जारी रखें, और साथ मिलकर हम एक बेहतर जीवन बनाने के अपने लक्ष्य तक पहुँच सकते हैं।
Oh, no, the magnet has broken! :({#} You see, the right magnet is red now.	अरे नहीं, चुम्बक टूट गया है! :({#} आप देखिए, दाहिना चुंबक अब लाल है।
Try activating the right magnet a few times and see that nothing happens. (Swipe to the right)	कुछ बार सही चुंबक को सक्रिय करने का प्रयास करें और देखें कि कुछ नहीं होता है। (दाईं ओर स्वाइप करें)
You see, nothing happened. Now try swiping in different directions (up and down). Let's wait until the magnet repairs itself.	आप देखिए, कुछ नहीं हुआ. अब अलग-अलग दिशाओं (ऊपर और नीचे) में स्वाइप करने का प्रयास करें। आइए तब तक प्रतीक्षा करें जब तक चुंबक स्वयं की मरम्मत नहीं कर लेता।
Done! After several moves, all magnets will be repaired.	हो गया! कई चालों के बाद, सभी चुम्बकों की मरम्मत की जाएगी।
Now, let's talk about bio garbage (the apple leftover). Try moving it.	अब बात करते हैं जैव कचरे (सेब का बचा हुआ हिस्सा) के बारे में। इसे स्थानांतरित करने का प्रयास करें.
Because bio garbage lacks magnetic materials, magnets can't move it.	क्योंकि जैव कचरे में चुंबकीय सामग्री का अभाव होता है, चुंबक इसे हिला नहीं सकते।
Don't forget to sort your garbage! :)	अपना कचरा छाँटना न भूलें! :)
This is a rust garbage. It can't be recycled either. The number indicates how much time it needs to rust away and disappear.	यह जंग लगा हुआ कूड़ा है. इसे रिसाइकल भी नहीं किया जा सकता. संख्या इंगित करती है कि जंग लगने और गायब होने में कितना समय लगेगा।
Amazing! You've improved your recycling skills!	अद्भुत! आपने अपने रीसाइक्लिंग कौशल में सुधार किया है!
Congratulations on acquiring the workshop! Let's dive into a quick tutorial on how to make the most of it.	कार्यशाला प्राप्त करने पर बधाई! आइए इसका अधिकतम लाभ उठाने के बारे में एक त्वरित ट्यूटोरियल देखें।
Combine simple details instantly from all fields using the workshop. Give it a try now!	कार्यशाला का उपयोग करके सभी क्षेत्रों से सरल विवरण तुरंत जोड़ें। इसे अभी आज़माएं!
It's pretty cool, right? Just keep in mind the cooldown. It takes some time, so use it wisely!	यह बहुत अच्छा है, है ना? बस कूलडाउन का ध्यान रखें. इसमें कुछ समय लगता है, इसलिए इसका बुद्धिमानी से उपयोग करें!
Be cautious when there's only one detail available for the workshop. It won't be able to combine it and will just return the item back.	जब कार्यशाला के लिए केवल एक ही विवरण उपलब्ध हो तो सतर्क रहें। यह इसे संयोजित करने में सक्षम नहीं होगा और आइटम को वापस लौटा देगा।
So, just use it carefully.	तो, बस इसे सावधानी से उपयोग करें।
The workshop shines when you're surrounded by annoying simple details. It's the perfect tool to tidy up your space efficiently!	कार्यशाला तब चमकती है जब आप कष्टप्रद सरल विवरणों से घिरे होते हैं। यह आपके स्थान को कुशलतापूर्वक साफ-सुथरा करने के लिए एकदम सही उपकरण है!
Congratulations on purchasing the crane! Here's a brief tutorial on how to work with it.	क्रेन खरीदने पर बधाई! इसके साथ कैसे काम करें, इस पर एक संक्षिप्त ट्यूटोरियल यहां दिया गया है।
To use the crane, simply tap on the icon. Now, you've entered CRANE mode.	क्रेन का उपयोग करने के लिए, बस आइकन पर टैप करें। अब, आपने क्रेन मोड में प्रवेश कर लिया है।
In CRANE mode, choose an item on the field that you'd like to interact with.	क्रेन मोड में, उस फ़ील्ड पर एक आइटम चुनें जिसके साथ आप इंटरैक्ट करना चाहते हैं।
Next, select an empty field where you want to move the chosen item.	इसके बाद, एक खाली फ़ील्ड चुनें जहां आप चुने गए आइटम को स्थानांतरित करना चाहते हैं।
Now, press on the crane once more to execute the action.	अब, कार्रवाई को अंजाम देने के लिए क्रेन को एक बार फिर दबाएं।
As you upgrade, you'll gain the ability to change not only to empty fields but also swap them with other items.	जैसे ही आप अपग्रेड करते हैं, आप न केवल खाली फ़ील्ड को बदलने की क्षमता हासिल कर लेंगे बल्कि उन्हें अन्य वस्तुओं के साथ बदलने की भी क्षमता हासिल कर लेंगे।
Don't be afraid to experiment! If you encounter an error, the game will provide an indication. {#}Try to cause an error (e.g., click on 2 empty cells).	प्रयोग करने से न डरें! यदि आपको कोई त्रुटि मिलती है, तो गेम एक संकेत प्रदान करेगा। {#}त्रुटि उत्पन्न करने का प्रयास करें (उदाहरण के लिए, 2 खाली कक्षों पर क्लिक करें)।
This is the error indication.	यह त्रुटि संकेत है.
And last, but not least, try deselecting. To do so, press on the previously selected item, or on the crane (if you haven't selected the second cell yet).	और अंतिम, लेकिन कम महत्वपूर्ण नहीं, अचयनित करने का प्रयास करें। ऐसा करने के लिए, पहले से चयनित आइटम पर, या क्रेन पर दबाएँ (यदि आपने अभी तक दूसरा सेल नहीं चुना है)।
Congratulations on upgrading your fence! Let's see what it is capable of now.	अपने बाड़ को उन्नत करने के लिए बधाई! आइए देखें कि यह अब क्या करने में सक्षम है।
To use the fence, click on one of the blue (cyan) objects around the field.	बाड़ का उपयोग करने के लिए, मैदान के चारों ओर नीली (सियान) वस्तुओं में से एक पर क्लिक करें।
Swipe the chosen object(s) towards the fence you've initiated.	चुनी गई वस्तु(वस्तुओं) को उस बाड़ की ओर स्वाइप करें जिसे आपने शुरू किया है।
Fences usually need some time before you can use them again, so plan your moves accordingly.	बाड़ों को दोबारा उपयोग करने से पहले आमतौर पर कुछ समय की आवश्यकता होती है, इसलिए तदनुसार अपनी चाल की योजना बनाएं।
The hydraulic fence is a game-changer—it can handle all sorts of garbage, even non-magnetic ones.	हाइड्रोलिक बाड़ एक गेम-चेंजर है - यह सभी प्रकार के कचरे को संभाल सकता है, यहां तक ​​कि गैर-चुंबकीय भी।
It's your go-to tool for bio-garbage removal. Give it a shot!	जैव-कचरा हटाने के लिए यह आपका उपयोगी उपकरण है। इसे मार दें!
You just bought one upgrade, that is ~10% of waht is needed for increasing field size!	आपने अभी-अभी एक अपग्रेड खरीदा है, यानी फ़ील्ड का आकार बढ़ाने के लिए आवश्यक राशि का ~10%!
Keep up! :D	लगे रहो! :D
<!-- Some tips in shop -->																																													
You will recive organic waste with probabiliy of {#prob}%	आपको {#prob}% की संभावना के साथ जैविक कचरा प्राप्त होगा
You will recive rust debris with probabiliy of {#prob}%	आपको {#prob}% की संभावना के साथ जंग का मलबा प्राप्त होगा
The probability of obtaining an improved detail is {#prob}%	बेहतर विवरण प्राप्त करने की संभावना {#prob}% है
The probability of successfully merging two details is approximately {#prob}%	दो विवरणों के सफलतापूर्वक विलय की संभावना लगभग {#prob}% है
Magnets will break with a probability of {#prob}%	चुम्बक {#prob}% की संभावना से टूटेंगे
More details will drop on the field after {#move} moves	{#move} चाल के बाद अधिक विवरण फ़ील्ड पर आ जाएंगे
No Workshop	कोई कार्यशाला नहीं
Collects {#cell1}. Cooldown time:	{#cell1} एकत्रित करता है. शांत होने का समय:
Collects {#cell1} and {#cell2}. Cooldown time:	{#cell1} और {#cell2} एकत्रित करता है। शांत होने का समय:
No Crane	कोई क्रेन नहीं
Move items up to {#cell3}.	आइटम को {#cell3} तक ले जाएं.
Move items up to {#cell6}.	आइटम को {#cell6} तक ले जाएं.
Move items up to {#cell6}, and swap them with items up to {#cell2}.	आइटम को {#cell6} तक ले जाएं, और उन्हें {#cell2} तक के आइटम के साथ स्वैप करें।
Move items up to {#cell11}, and swap them with items up to {#cell6}.	आइटम को {#cell11} तक ले जाएं, और उन्हें {#cell6} तक के आइटम के साथ स्वैप करें।
Move anything and swap it with items up to {#cell9}.	किसी भी चीज़ को स्थानांतरित करें और उसे {#cell9} तक के आइटम के साथ स्वैप करें।
Move and swap anything!	किसी भी चीज़ को हिलाएँ और बदलें!
Simple fence	साधारण बाड़
Available again after following number of moves: {#move}	निम्नलिखित संख्या में चालों के बाद पुनः उपलब्ध: {#move}
Details failed to merge!	विवरण मर्ज करने में विफल!
Warning! Languages besides English could have some errors (and English also, lol)	चेतावनी! अंग्रेजी के अलावा अन्य भाषाओं में कुछ त्रुटियाँ हो सकती हैं (और अंग्रेजी में भी, हाहाहा)
The game was saved. You can exit, and resume it later	गेम बच गया. आप बाहर निकल सकते हैं, और बाद में इसे फिर से शुरू कर सकते हैं
<!-- Description (items in shop) -->																																													
A crane is a tool that allows you to relocate objects on the field. The basic version works only by dragging light objects to an empty place. With upgrades, you can drag more complex items, and even swap two objects. To use it, click on the crane icon, select the object, and select a place, where you want to place it.	क्रेन एक उपकरण है जो आपको मैदान पर वस्तुओं को स्थानांतरित करने की अनुमति देता है। मूल संस्करण केवल हल्की वस्तुओं को किसी खाली जगह पर खींचकर काम करता है। अपग्रेड के साथ, आप अधिक जटिल वस्तुओं को खींच सकते हैं, और यहां तक ​​कि दो वस्तुओं को स्वैप भी कर सकते हैं। इसका उपयोग करने के लिए, क्रेन आइकन पर क्लिक करें, ऑब्जेक्ट का चयन करें, और एक स्थान का चयन करें, जहां आप इसे रखना चाहते हैं।
Tired of simple parts messing around with your advanced builds? Use the workshop!{#}Workshop - a small separated building where manual processing of simple parts is possible. The higher the level of the workshop, the more parts it can process. Also, the improvement allows you to use it more often.{#}To use, click on the workshop icon unless it is on cooldown.	क्या आप अपने उन्नत निर्माणों के साथ खिलवाड़ करने वाले साधारण भागों से थक गए हैं? वर्कशॉप का उपयोग करें! कार्यशाला का स्तर जितना ऊँचा होगा, वह उतने ही अधिक भागों को संसाधित कर सकता है। साथ ही, सुधार आपको इसे अधिक बार उपयोग करने की अनुमति देता है। {#}उपयोग करने के लिए, वर्कशॉप आइकन पर क्लिक करें जब तक कि यह ठंडा न हो जाए।
