en	hr
English	Croatian
lat	lat
0123456789!()\/_:&*%	0123456789!()\/_:&*%
place_your_(translator)_name_here	mjesto_vaše_(prevoditelja)_ime_ovdje
<!-- Basic names (objects and buttons) -->																																													
Buy	Kupiti
Back to menu	Povratak na izbornik
Settings	postavke
Play	igra
Shop	Dućan
Coins:	Kovanice:
Exit	Izlaz 
Set the level	Postavite razinu
Sell All	Prodati sve
Details:	detalji:
Double coins!{#}(Watch Ad)	Dupli novčići!{#}(Pogledajte oglas)
Restart	Ponovno pokretanje
Advertisement watched	Reklama pogledana
Received coins:	Primljeni novčići:
Sound volume	Glasnoća zvuka
next	Sljedeći
Tower crane	Dizalica
Workshop	Radionica
Hydraulic fence	Hidraulička ograda
Sorting of details	Razvrstavanje detalja
Waterproofing	Hidroizolacija
Preprocessing	Predobrada
Equipment calibration	Kalibracija opreme
Cooling system	Sustav hlađenja
Magnets	Magneti
Increase field size: {#price}	Povećaj veličinu polja: {#price}
See story	Vidi priču
Pause	Pauza
End round	Kraj runde
Continue	Nastaviti
End saved game, and start a new one	Završite spremljenu igru ​​i započnite novu
Tutorials	Tutoriali
Basic	Osnovni, temeljni
Fence	Ograda
Crane	Dizalica
Workshop	Radionica
Before	Prije
Now	Sada
Next	Sljedeći
Max detail:	Maksimalni detalj:
Bolt	Vijak
Gear	oprema
Gear box	Mjenjač
Bearing	Ležaj
Piston	Klip
Engine	Motor
Moped	Moped
Motorcycle	Motocikl
Car	Automobil
Pickup	Pokupiti
Truck	Kamion
Biplane	Dvokrilac
Helicopter	Helikopter
Plane	Avion
AN-225 Mriya	AN-225 Mriya
Rocket engine	Raketni motor
Soyuz	Sojuz
Rocket	Raketa
<!-- Tutorials -->																																													
Hello and welcome to 'Recycling: 2048'! Are you ready for some challenge? In this tutorial you'll learn the base needed for recycling, but some features you only can find by yourself!	Pozdrav i dobrodošli u 'Recycling: 2048'! Jeste li spremni za neki izazov? U ovom vodiču naučit ćete osnove potrebne za recikliranje, ali neke značajke možete pronaći samo sami!
There are 4 magnets around the field (orange objects). You can activate them by swiping (move your finger on the screen). They can move any magnetic materials - perfect for the details we work with! Give it a try by moving an object (like the bolt) three times.	Oko polja su 4 magneta (narančasti objekti). Možete ih aktivirati povlačenjem (pomicanjem prsta po ekranu). Mogu pomicati sve magnetske materijale - savršeno za detalje s kojima radimo! Pokušajte pomicanjem predmeta (poput zasuna) tri puta.
A new detail has appeared: a bolt. While some might see it as garbage, we can recycle it into something more advanced, like a gear!	Pojavio se novi detalj: vijak. Iako bi ga neki mogli vidjeti kao smeće, možemo ga reciklirati u nešto naprednije, poput opreme!
Recycle two bolts into a gear by moving them together.	Reciklirajte dva vijka u zupčanik pomičući ih zajedno.
Fantastic! You've just recycled some garbage! Keep it up, and together we can reach our goal of creating a better life.	Fantastičan! Upravo ste reciklirali neko smeće! Samo tako nastavite i zajedno možemo postići naš cilj stvaranja boljeg života.
