en	is
English	Icelandic
lat	lat
0123456789!()\/_:&*%	0123456789!()\/_:&*%
place_your_(translator)_name_here	setja_heiti_þitt_(þýðanda)_hér
<!-- Basic names (objects and buttons) -->																																													
Buy	Kaupa
Back to menu	Aftur í valmynd
Settings	Stillingar
Play	Leika
Shop	Verslun
Coins:	Mynt:
Exit	Hætta
Set the level	Stilltu stigið
Sell All	Selja allt
Details:	Upplýsingar:
Double coins!{#}(Watch Ad)	Tvöföld mynt!{#}(Horfa á auglýsingu)
Restart	Endurræsa
Advertisement watched	Auglýsing horft á
Received coins:	Móttekin mynt:
Sound volume	Hljóðstyrkur
next	næst
Tower crane	Turn krani
Workshop	Vinnustofa
Hydraulic fence	Vökvakerfisgirðing
Sorting of details	Flokkun á smáatriðum
Waterproofing	Vatnsheld
Preprocessing	Forvinnsla
Equipment calibration	Kvörðun búnaðar
Cooling system	Kælikerfi
Magnets	Seglar
Increase field size: {#price}	Auka stærð reits: {#price}
See story	Sjá sögu
Pause	Gera hlé
End round	Loka umferð
Continue	Halda áfram
End saved game, and start a new one	Ljúktu vistuðum leik og byrjaðu á nýjum
Tutorials	Kennsluefni
Basic	Basic
Fence	Girðing
Crane	Krani
Workshop	Vinnustofa
Before	Áður
Now	Nú
Next	Næst
Max detail:	Hámarksupplýsingar:
Bolt	Boltinn
Gear	Gír
Gear box	Gírkassi
Bearing	Bearing
Piston	Stimpill
Engine	Vél
Moped	Bifhjól
Motorcycle	Mótorhjól
Car	Bíll
Pickup	Afhending
Truck	Vörubíll
Biplane	Biplane
Helicopter	Þyrla
Plane	Flugvél
AN-225 Mriya	AN-225 Mriya
Rocket engine	Eldflaugarvél
Soyuz	Soyuz
Rocket	Eldflaug
<!-- Tutorials -->																																													
Hello and welcome to 'Recycling: 2048'! Are you ready for some challenge? In this tutorial you'll learn the base needed for recycling, but some features you only can find by yourself!	Halló og velkomin í 'Endurvinnsla: 2048'! Ertu tilbúinn í einhverja áskorun? Í þessari kennslu muntu læra grunninn sem þarf til endurvinnslu, en suma eiginleika geturðu aðeins fundið sjálfur!
There are 4 magnets around the field (orange objects). You can activate them by swiping (move your finger on the screen). They can move any magnetic materials - perfect for the details we work with! Give it a try by moving an object (like the bolt) three times.	Það eru 4 seglar í kringum sviðið (appelsínugulir hlutir). Þú getur virkjað þau með því að strjúka (hreyfðu fingrinum á skjánum). Þeir geta hreyft hvaða segulmagnaðir efni sem er - fullkomið fyrir smáatriðin sem við vinnum með! Prófaðu það með því að færa hlut (eins og boltann) þrisvar sinnum.
A new detail has appeared: a bolt. While some might see it as garbage, we can recycle it into something more advanced, like a gear!	Nýtt smáatriði hefur birst: bolti. Þó að sumir gætu litið á það sem sorp, getum við endurunnið það í eitthvað þróaðara, eins og gír!
Recycle two bolts into a gear by moving them together.	Endurnýttu tvo bolta í gír með því að færa þá saman.
Fantastic! You've just recycled some garbage! Keep it up, and together we can reach our goal of creating a better life.	Frábært! Þú ert nýbúinn að endurvinna rusl! Haltu því áfram og saman getum við náð markmiði okkar um að skapa betra líf.
Oh, no, the magnet has broken! :({#} You see, the right magnet is red now.	Ó, nei, segullinn hefur brotnað! :({#} Þú sérð, hægri segullinn er rauður núna.
Try activating the right magnet a few times and see that nothing happens. (Swipe to the right)	Prófaðu að virkja hægri segul nokkrum sinnum og sjáðu að ekkert gerist. (Strjúktu til hægri)
You see, nothing happened. Now try swiping in different directions (up and down). Let's wait until the magnet repairs itself.	Þú sérð, ekkert gerðist. Prófaðu nú að strjúka í mismunandi áttir (upp og niður). Bíðum þar til segullinn lagar sig.
Done! After several moves, all magnets will be repaired.	Búið! Eftir nokkrar hreyfingar verða allir seglar lagaðir.
Now, let's talk about bio garbage (the apple leftover). Try moving it.	Nú skulum við tala um lífrænt sorp (eplaafganginn). Prófaðu að færa það.
Because bio garbage lacks magnetic materials, magnets can't move it.	Vegna þess að lífrænt sorp skortir segulmagnaðir efni geta seglar ekki hreyft það.
Don't forget to sort your garbage! :)	Ekki gleyma að flokka sorpið þitt! :)
This is a rust garbage. It can't be recycled either. The number indicates how much time it needs to rust away and disappear.	Þetta er ryðsorp. Það er heldur ekki hægt að endurvinna það. Talan gefur til kynna hversu mikinn tíma það þarf til að ryðga og hverfa.
Amazing! You've improved your recycling skills!	Æðislegur! Þú hefur bætt endurvinnsluhæfileika þína!
Congratulations on acquiring the workshop! Let's dive into a quick tutorial on how to make the most of it.	Til hamingju með að hafa eignast verkstæðið! Við skulum kafa ofan í stutt kennsluefni um hvernig á að nýta það sem best.
Combine simple details instantly from all fields using the workshop. Give it a try now!	Sameina einfaldar upplýsingar samstundis frá öllum sviðum með því að nota verkstæðið. Prófaðu það núna!
It's pretty cool, right? Just keep in mind the cooldown. It takes some time, so use it wisely!	Það er frekar flott, ekki satt? Hafðu bara í huga kólnunina. Það tekur smá tíma, svo notaðu það skynsamlega!
Be cautious when there's only one detail available for the workshop. It won't be able to combine it and will just return the item back.	Vertu varkár þegar það er aðeins eitt smáatriði í boði fyrir verkstæðið. Það mun ekki geta sameinað það og mun bara skila hlutnum til baka.
So, just use it carefully.	Svo, notaðu það bara varlega.
The workshop shines when you're surrounded by annoying simple details. It's the perfect tool to tidy up your space efficiently!	Verkstæðið ljómar þegar þú ert umkringdur pirrandi einföldum smáatriðum. Það er hið fullkomna tæki til að snyrta rýmið þitt á skilvirkan hátt!
Congratulations on purchasing the crane! Here's a brief tutorial on how to work with it.	Til hamingju með kaupin á krananum! Hér er stutt kennsluefni um hvernig á að vinna með það.
To use the crane, simply tap on the icon. Now, you've entered CRANE mode.	Til að nota kranann skaltu einfaldlega smella á táknið. Nú hefurðu farið í CRANE ham.
In CRANE mode, choose an item on the field that you'd like to interact with.	Í CRANE ham skaltu velja hlut á reitnum sem þú vilt hafa samskipti við.
Next, select an empty field where you want to move the chosen item.	Næst skaltu velja tóman reit þar sem þú vilt færa valinn hlut.
Now, press on the crane once more to execute the action.	Nú skaltu ýta á kranann enn og aftur til að framkvæma aðgerðina.
As you upgrade, you'll gain the ability to change not only to empty fields but also swap them with other items.	Þegar þú uppfærir færðu möguleika á að breyta ekki aðeins í tóma reiti heldur einnig að skipta þeim út fyrir aðra hluti.
Don't be afraid to experiment! If you encounter an error, the game will provide an indication. {#}Try to cause an error (e.g., click on 2 empty cells).	Ekki vera hræddur við að gera tilraunir! Ef þú lendir í villu mun leikurinn gefa vísbendingu. {#}Reyndu að valda villu (smelltu t.d. á 2 tómar reiti).
This is the error indication.	Þetta er villuvísirinn.
And last, but not least, try deselecting. To do so, press on the previously selected item, or on the crane (if you haven't selected the second cell yet).	Og síðast en ekki síst, reyndu að afvelja. Til að gera það, ýttu á áður valið atriði, eða á krananum (ef þú hefur ekki valið seinni reitinn ennþá).
Congratulations on upgrading your fence! Let's see what it is capable of now.	Til hamingju með að uppfæra girðinguna! Við skulum sjá hverju það er megnugt núna.
To use the fence, click on one of the blue (cyan) objects around the field.	Til að nota girðinguna, smelltu á einn af bláu (bláu) hlutunum í kringum völlinn.
Swipe the chosen object(s) towards the fence you've initiated.	Strjúktu völdum hlut(um) í átt að girðingunni sem þú hefur sett af stað.
Fences usually need some time before you can use them again, so plan your moves accordingly.	Girðingar þurfa venjulega nokkurn tíma áður en þú getur notað þær aftur, svo skipuleggðu hreyfingar þínar í samræmi við það.
The hydraulic fence is a game-changer—it can handle all sorts of garbage, even non-magnetic ones.	Vökvagirðingin breytir leik - hún ræður við alls kyns sorp, jafnvel ekki segulmagnað.
It's your go-to tool for bio-garbage removal. Give it a shot!	Það er tólið þitt til að fjarlægja lífrænt sorp. Gefðu því tækifæri!
