en	it
English	Italian
lat	lat
0123456789!()\/_:&*%	0123456789!()\/_:&*%
place_your_(translator)_name_here	posiziona_il_tuo_(traduttore)_nome_qui
<!-- Basic names (objects and buttons) -->																																													
Buy	Acquistare
Back to menu	Torna al menu
Settings	Impostazioni
Play	Giocare
Shop	Negozio
Coins:	Monete:
Exit	Uscita
Set the level	Imposta il livello
Sell All	Vendere tutto
Details:	Dettagli:
Double coins!{#}(Watch Ad)	Monete doppie!{#}(Guarda l'annuncio)
Restart	Ricomincia
Advertisement watched	Pubblicità guardata
Received coins:	Monete ricevute:
Sound volume	Volume del suono
next	Prossimo
Tower crane	Gru
Workshop	Officina
Hydraulic fence	Recinzione idraulica
Sorting of details	Ordinamento dei dettagli
Waterproofing	Impermeabilizzazione
Preprocessing	Preelaborazione
Equipment calibration	Calibrazione dell'attrezzatura
Cooling system	Sistema di raffreddamento
Magnets	Magneti
Increase field size: {#price}	Aumenta la dimensione del campo: {#price}
See story	Vedi la storia
Pause	Pausa
End round	Fine del giro
Continue	Continua
End saved game, and start a new one	Termina la partita salvata e iniziane una nuova
Tutorials	Tutorial
Basic	Di base
Fence	Recinzione
Crane	Gru
Workshop	Officina
Before	Prima
Now	Ora
Next	Prossimo
Max detail:	Dettaglio massimo:
Bolt	Bullone
Gear	Ingranaggio
Gear box	Riduttore
Bearing	Cuscinetto
Piston	Pistone
Engine	Motore
Moped	Ciclomotore
Motorcycle	Motociclo
Car	Auto
Pickup	Raccolta
Truck	Camion
Biplane	Biplano
Helicopter	Elicottero
Plane	Aereo
AN-225 Mriya	AN-225 Mriya
Rocket engine	Motore a razzo
Soyuz	Sojuz
Rocket	Razzo
<!-- Tutorials -->																																													
Hello and welcome to 'Recycling: 2048'! Are you ready for some challenge? In this tutorial you'll learn the base needed for recycling, but some features you only can find by yourself!	Ciao e benvenuto a 'Recycling: 2048'! Sei pronto per qualche sfida? In questo tutorial imparerai le basi necessarie per il riciclaggio, ma alcune funzionalità le potrai trovare solo da solo!
There are 4 magnets around the field (orange objects). You can activate them by swiping (move your finger on the screen). They can move any magnetic materials - perfect for the details we work with! Give it a try by moving an object (like the bolt) three times.	Ci sono 4 magneti attorno al campo (oggetti arancioni). Puoi attivarli scorrendo (muovi il dito sullo schermo). Possono spostare qualsiasi materiale magnetico: perfetto per i dettagli con cui lavoriamo! Provalo spostando un oggetto (come il bullone) tre volte.
A new detail has appeared: a bolt. While some might see it as garbage, we can recycle it into something more advanced, like a gear!	È apparso un nuovo dettaglio: un bullone. Anche se alcuni potrebbero considerarlo spazzatura, possiamo riciclarlo in qualcosa di più avanzato, come un ingranaggio!
Recycle two bolts into a gear by moving them together.	Ricicla due bulloni in un ingranaggio spostandoli insieme.
Fantastic! You've just recycled some garbage! Keep it up, and together we can reach our goal of creating a better life.	Fantastico! Hai appena riciclato della spazzatura! Continuate così e insieme potremo raggiungere il nostro obiettivo di creare una vita migliore.
Oh, no, the magnet has broken! :({#} You see, the right magnet is red now.	Oh, no, il magnete si è rotto! :({#} Vedi, il magnete destro ora è rosso.
Try activating the right magnet a few times and see that nothing happens. (Swipe to the right)	Prova ad attivare il magnete giusto alcune volte e vedi che non succede nulla. (Scorri verso destra)
You see, nothing happened. Now try swiping in different directions (up and down). Let's wait until the magnet repairs itself.	Vedi, non è successo niente. Ora prova a scorrere in direzioni diverse (su e giù). Aspettiamo che il magnete si ripari da solo.
Done! After several moves, all magnets will be repaired.	Fatto! Dopo diverse mosse, tutti i magneti verranno riparati.
Now, let's talk about bio garbage (the apple leftover). Try moving it.	Ora parliamo della spazzatura biologica (gli avanzi della mela). Prova a spostarlo.
Because bio garbage lacks magnetic materials, magnets can't move it.	Poiché i rifiuti biologici sono privi di materiali magnetici, i magneti non possono spostarli.
Don't forget to sort your garbage! :)	Non dimenticare di ordinare la spazzatura! :)
This is a rust garbage. It can't be recycled either. The number indicates how much time it needs to rust away and disappear.	Questa è spazzatura arrugginita. Non può nemmeno essere riciclato. Il numero indica quanto tempo occorre perché arrugginisca e scompaia.
Amazing! You've improved your recycling skills!	Sorprendente! Hai migliorato le tue capacità di riciclaggio!
Congratulations on acquiring the workshop! Let's dive into a quick tutorial on how to make the most of it.	Congratulazioni per aver acquistato il workshop! Immergiamoci in un breve tutorial su come sfruttarlo al meglio.
Combine simple details instantly from all fields using the workshop. Give it a try now!	Combina istantaneamente semplici dettagli da tutti i campi utilizzando il workshop. Provatelo adesso!
It's pretty cool, right? Just keep in mind the cooldown. It takes some time, so use it wisely!	È davvero bello, vero? Tieni a mente il tempo di recupero. Ci vuole del tempo, quindi usalo saggiamente!
Be cautious when there's only one detail available for the workshop. It won't be able to combine it and will just return the item back.	Sii cauto quando c'è un solo dettaglio disponibile per il workshop. Non sarà in grado di combinarlo e restituirà semplicemente l'articolo.
So, just use it carefully.	Quindi, usalo con attenzione.
The workshop shines when you're surrounded by annoying simple details. It's the perfect tool to tidy up your space efficiently!	L'officina brilla quando sei circondato da fastidiosi dettagli semplici. È lo strumento perfetto per riordinare il tuo spazio in modo efficiente!
Congratulations on purchasing the crane! Here's a brief tutorial on how to work with it.	Congratulazioni per aver acquistato la gru! Ecco un breve tutorial su come lavorarci.
To use the crane, simply tap on the icon. Now, you've entered CRANE mode.	Per utilizzare la gru è sufficiente toccare l'icona. Ora sei entrato in modalità GRU.
In CRANE mode, choose an item on the field that you'd like to interact with.	In modalità GRU, scegli un oggetto sul campo con cui desideri interagire.
Next, select an empty field where you want to move the chosen item.	Successivamente, seleziona un campo vuoto in cui desideri spostare l'elemento scelto.
Now, press on the crane once more to execute the action.	Ora premi ancora una volta sulla gru per eseguire l'azione.
As you upgrade, you'll gain the ability to change not only to empty fields but also swap them with other items.	Man mano che aggiorni, acquisirai la possibilità di modificare non solo i campi vuoti, ma anche di scambiarli con altri elementi.
Don't be afraid to experiment! If you encounter an error, the game will provide an indication. {#}Try to cause an error (e.g., click on 2 empty cells).	Non aver paura di sperimentare! Se riscontri un errore, il gioco fornirà un'indicazione. {#}Prova a causare un errore (ad esempio, fai clic su 2 celle vuote).
This is the error indication.	Questa è l'indicazione dell'errore.
And last, but not least, try deselecting. To do so, press on the previously selected item, or on the crane (if you haven't selected the second cell yet).	E ultimo, ma non meno importante, prova a deselezionare. Per farlo, premi sull'oggetto selezionato in precedenza, oppure sulla gru (se non hai ancora selezionato la seconda cella).
Congratulations on upgrading your fence! Let's see what it is capable of now.	Congratulazioni per aver aggiornato la tua recinzione! Vediamo di cosa è capace adesso.
