en	ka
English	Georgian
lat	ka
0123456789!()\/_:&*%	0123456789!()\/_:&*%
place_your_(translator)_name_here	ადგილი_თქვენი_(მთარგმნელი)_სახელი_აქ
<!-- Basic names (objects and buttons) -->																																													
Buy	იყიდე
Back to menu	მენიუში დაბრუნება
Settings	პარამეტრები
Play	ითამაშეთ
Shop	Მაღაზია
Coins:	მონეტები:
Exit	გასვლა
Set the level	დააყენეთ დონე
Sell All	გაყიდე ყველა
Details:	დეტალები:
Double coins!{#}(Watch Ad)	ორმაგი მონეტები!{#}(რეკლამის ყურება)
Restart	Რესტარტი
Advertisement watched	რეკლამა უყურე
Received coins:	მიღებული მონეტები:
Sound volume	ხმის მოცულობა
next	შემდეგი
Tower crane	Ამწეკრანი
Workshop	სახელოსნო
Hydraulic fence	ჰიდრავლიკური ღობე
Sorting of details	დეტალების დახარისხება
Waterproofing	ჰიდროიზოლაცია
Preprocessing	წინასწარი დამუშავება
Equipment calibration	აღჭურვილობის კალიბრაცია
Cooling system	Გაგრილების სისტემა
Magnets	მაგნიტები
Increase field size: {#price}	ველის ზომის გაზრდა: {#price}
See story	იხილეთ ამბავი
Pause	პაუზა
End round	დასასრული რაუნდი
Continue	განაგრძეთ
End saved game, and start a new one	დაასრულეთ შენახული თამაში და დაიწყეთ ახალი
Tutorials	გაკვეთილები
Basic	ძირითადი
Fence	ღობე
Crane	ამწე
Workshop	სახელოსნო
Before	მანამდე
Now	ახლა
Next	შემდეგი
Max detail:	მაქსიმალური დეტალი:
Bolt	ბოლტი
Gear	მექანიზმი
Gear box	გადაცემათა კოლოფი
Bearing	ტარების
Piston	დგუში
Engine	ძრავი
Moped	მოპედი
Motorcycle	მოტოციკლი
Car	მანქანა
<!-- Tutorials -->																																													
Hello and welcome to 'Recycling: 2048'! Are you ready for some challenge? In this tutorial you'll learn the base needed for recycling, but some features you only can find by yourself!	მოგესალმებით და კეთილი იყოს თქვენი მობრძანება "გადამუშავებაში: 2048"! მზად ხართ რაიმე გამოწვევისთვის? ამ გაკვეთილზე თქვენ შეიტყობთ გადამუშავებისთვის საჭირო საფუძველს, მაგრამ ზოგიერთი მახასიათებლის პოვნა მხოლოდ თქვენ შეგიძლიათ!
There are 4 magnets around the field (orange objects). You can activate them by swiping (move your finger on the screen). They can move any magnetic materials - perfect for the details we work with! Give it a try by moving an object (like the bolt) three times.	ველის გარშემო არის 4 მაგნიტი (ნარინჯისფერი ობიექტები). მათი გააქტიურება შეგიძლიათ გადაფურცლით (გადაიტანეთ თითი ეკრანზე). მათ შეუძლიათ ნებისმიერი მაგნიტური მასალის გადატანა - იდეალურია იმ დეტალებისთვის, რომლებთანაც ჩვენ ვმუშაობთ! სცადეთ ობიექტის სამჯერ გადაადგილებით (როგორც ჭანჭიკი).
A new detail has appeared: a bolt. While some might see it as garbage, we can recycle it into something more advanced, like a gear!	გამოჩნდა ახალი დეტალი: ჭანჭიკი. მიუხედავად იმისა, რომ ზოგიერთმა შეიძლება მას ნაგად აღიქვას, ჩვენ შეგვიძლია მისი გადამუშავება უფრო მოწინავეში, როგორიცაა მექანიზმი!
Recycle two bolts into a gear by moving them together.	გადაამუშავეთ ორი ჭანჭიკი მექანიზმში მათი ერთად გადაადგილებით.
Fantastic! You've just recycled some garbage! Keep it up, and together we can reach our goal of creating a better life.	Ზღაპრული! თქვენ ახლახან გადაამუშავეთ ნაგავი! გააგრძელეთ ასე და ერთად ჩვენ მივაღწევთ ჩვენს მიზანს, რომ შევქმნათ უკეთესი ცხოვრება.
Oh, no, the magnet has broken! :({#} You see, the right magnet is red now.	ო, არა, მაგნიტი გატეხილია! :({#} ხედავთ, მარჯვენა მაგნიტი ახლა წითელია.
Try activating the right magnet a few times and see that nothing happens. (Swipe to the right)	სცადეთ რამდენჯერმე გაააქტიუროთ სწორი მაგნიტი და დაინახავთ, რომ არაფერი მოხდება. (გადაფურცლეთ მარჯვნივ)
You see, nothing happened. Now try swiping in different directions (up and down). Let's wait until the magnet repairs itself.	ხომ ხედავ, არაფერი მომხდარა. ახლა სცადეთ გადაფურცვლა სხვადასხვა მიმართულებით (ზემოთ და ქვევით). დაველოდოთ მაგნიტის გამოსწორებას.
Done! After several moves, all magnets will be repaired.	Შესრულებულია! რამდენიმე სვლის შემდეგ ყველა მაგნიტი შეკეთდება.
Now, let's talk about bio garbage (the apple leftover). Try moving it.	ახლა მოდით ვისაუბროთ ბიო ნაგავზე (ვაშლის ნარჩენი). სცადეთ მისი გადატანა.
Because bio garbage lacks magnetic materials, magnets can't move it.	იმის გამო, რომ ბიო ნაგავს აკლია მაგნიტური მასალები, მაგნიტები ვერ გადაადგილდებიან.
Don't forget to sort your garbage! :)	არ დაგავიწყდეთ თქვენი ნაგვის დახარისხება! :)
This is a rust garbage. It can't be recycled either. The number indicates how much time it needs to rust away and disappear.	ეს არის ჟანგის ნაგავი. მისი გადამუშავებაც არ შეიძლება. რიცხვი მიუთითებს იმაზე, თუ რამდენი დრო სჭირდება მას დაჟანგვას და გაქრობას.
Amazing! You've improved your recycling skills!	საოცარი! თქვენ გააუმჯობესეთ თქვენი გადამუშავების უნარი!
Congratulations on acquiring the workshop! Let's dive into a quick tutorial on how to make the most of it.	გილოცავთ სახელოსნოს შეძენას! მოდით ჩავუღრმავდეთ სწრაფ ინსტრუქციას, თუ როგორ უნდა გამოიყენოთ იგი მაქსიმალურად.
Combine simple details instantly from all fields using the workshop. Give it a try now!	შეუთავსეთ მარტივი დეტალები მყისიერად ყველა სფეროდან სემინარის გამოყენებით. სცადე ახლავე!
It's pretty cool, right? Just keep in mind the cooldown. It takes some time, so use it wisely!	საკმაოდ მაგარია, არა? უბრალოდ გაითვალისწინეთ გაგრილება. ამას გარკვეული დრო სჭირდება, ამიტომ გამოიყენეთ იგი გონივრულად!
Be cautious when there's only one detail available for the workshop. It won't be able to combine it and will just return the item back.	იყავით ფრთხილად, როდესაც სემინარისთვის მხოლოდ ერთი დეტალია ხელმისაწვდომი. ის ვერ შეძლებს მის გაერთიანებას და უბრალოდ დააბრუნებს ნივთს უკან.
So, just use it carefully.	ასე რომ, უბრალოდ გამოიყენეთ იგი ფრთხილად.
The workshop shines when you're surrounded by annoying simple details. It's the perfect tool to tidy up your space efficiently!	სახელოსნო ანათებს მაშინ, როცა გარშემორტყმული ხარ შემაშფოთებელი მარტივი დეტალებით. ეს არის შესანიშნავი ინსტრუმენტი თქვენი სივრცის ეფექტურად დასალაგებლად!
