en	lt
English	Lithuanian
lat	lat
0123456789!()\/_:&*%	0123456789!()\/_:&*%
place_your_(translator)_name_here	vieta_jūsų_(vertėjo)_vardas_čia
<!-- Basic names (objects and buttons) -->																																													
Buy	Pirkti
Back to menu	Atgal į meniu
Settings	Nustatymai
Play	žaisti
Shop	Parduotuvė
Coins:	Monetos:
Exit	Išeiti
Set the level	Nustatykite lygį
Sell All	Parduodu Viską
Details:	Išsami informacija:
Double coins!{#}(Watch Ad)	Dvigubos monetos!{#}(Žiūrėkite skelbimą)
Restart	Perkrauti
Advertisement watched	Reklama žiūrėta
Received coins:	Gautos monetos:
Sound volume	Garso garsumas
next	Kitas
Tower crane	Bokštinis kranas
Workshop	Seminaras
Hydraulic fence	Hidraulinė tvora
Sorting of details	Detalių rūšiavimas
Waterproofing	Hidroizoliacija
Preprocessing	Išankstinis apdorojimas
Equipment calibration	Įrangos kalibravimas
Cooling system	Vėsinimo sistema
Magnets	Magnetai
Increase field size: {#price}	Padidinti lauko dydį: {#price}
See story	Žiūrėti istoriją
Pause	Pauzė
End round	Baigti ratą
Continue	Tęsti
End saved game, and start a new one	Užbaikite išsaugotą žaidimą ir pradėkite naują
Tutorials	Pamokos
Basic	Pagrindinis
Fence	Tvora
Crane	Kranas
Workshop	Seminaras
Before	Prieš
Now	Dabar
Next	Kitas
Max detail:	Maksimali detalė:
Bolt	Varžtas
Gear	Pavara
Gear box	Pavarų dėžė
Bearing	Guolis
Piston	Stūmoklis
Engine	Variklis
Moped	Mopedas
Motorcycle	Motociklas
Car	Automobilis
<!-- Tutorials -->																																													
Hello and welcome to 'Recycling: 2048'! Are you ready for some challenge? In this tutorial you'll learn the base needed for recycling, but some features you only can find by yourself!	Sveiki ir sveiki atvykę į „Perdirbimas: 2048“! Ar esate pasiruošę kokiam nors iššūkiui? Šiame vadove sužinosite, kokie pagrindai reikalingi perdirbimui, tačiau kai kurias funkcijas galite rasti tik patys!
There are 4 magnets around the field (orange objects). You can activate them by swiping (move your finger on the screen). They can move any magnetic materials - perfect for the details we work with! Give it a try by moving an object (like the bolt) three times.	Aplink lauką yra 4 magnetai (oranžiniai objektai). Juos galite suaktyvinti braukdami (judinkite pirštą ekrane). Jie gali perkelti bet kokias magnetines medžiagas – puikiai tinka detalėms, su kuriomis dirbame! Išbandykite tris kartus perkeldami objektą (pvz., varžtą).
A new detail has appeared: a bolt. While some might see it as garbage, we can recycle it into something more advanced, like a gear!	Atsirado nauja detalė: varžtas. Nors kai kurie tai gali laikyti šiukšlėmis, galime perdirbti į kažką pažangesnio, pavyzdžiui, pavarą!
Recycle two bolts into a gear by moving them together.	Perkelkite du varžtus į pavarą, judindami juos kartu.
