en	lv
English	Latvian
lat	lat
0123456789!()\/_:&*%	0123456789!()\/_:&*%
place_your_(translator)_name_here	vieta_jūsu_(tulkotāja)_vārds_šeit
<!-- Basic names (objects and buttons) -->																																													
Buy	Pirkt
Back to menu	Atpakaļ uz izvēlni
Settings	Iestatījumi
Play	Spēlēt
Shop	Veikals
Coins:	Monētas:
Exit	Izeja
Set the level	Iestatiet līmeni
Sell All	Pārdod visu
Details:	Sīkāka informācija:
Double coins!{#}(Watch Ad)	Dubultās monētas!{#}(Skatieties reklāmu)
Restart	Restartēt
Advertisement watched	Reklāma noskatīta
Received coins:	Saņemtās monētas:
Sound volume	Skaņas skaļums
next	Nākamais
Tower crane	Torņa celtnis
Workshop	Seminārs
Hydraulic fence	Hidrauliskais žogs
Sorting of details	Detaļu šķirošana
Waterproofing	Hidroizolācija
Preprocessing	Iepriekšēja apstrāde
Equipment calibration	Iekārtas kalibrēšana
Cooling system	Dzesēšanas sistēma
Magnets	Magnēti
Increase field size: {#price}	Palielināt lauka lielumu: {#price}
See story	Skatīt stāstu
Pause	Pauze
End round	Beigt kārtu
Continue	Turpināt
End saved game, and start a new one	Pabeidziet saglabāto spēli un sāciet jaunu
Tutorials	Pamācības
Basic	Pamata
Fence	Žogs
Crane	Celtnis
Workshop	Seminārs
Before	Pirms tam
Now	Tagad
Next	Nākamais
Max detail:	Maksimālā informācija:
Bolt	Skrūve
Gear	Gear
Gear box	Ātrumkārba
Bearing	Gultnis
Piston	Virzulis
Engine	Dzinējs
Moped	Mopēds
Motorcycle	Motocikls
Car	Automašīna
Pickup	Pacelt
Truck	Smagā mašīna
Biplane	Divplāksnis
Helicopter	Helikopters
Plane	Lidmašīna
AN-225 Mriya	AN-225 Mriya
Rocket engine	Raķešu dzinējs
Soyuz	Sojuz
Rocket	Raķete
<!-- Tutorials -->																																													
Hello and welcome to 'Recycling: 2048'! Are you ready for some challenge? In this tutorial you'll learn the base needed for recycling, but some features you only can find by yourself!	Sveicināti un laipni lūgti “Otrreizējā pārstrāde: 2048”! Vai esat gatavs kādam izaicinājumam? Šajā apmācībā jūs uzzināsit, kas ir nepieciešams pārstrādei, taču dažas funkcijas varat atrast tikai pats!
There are 4 magnets around the field (orange objects). You can activate them by swiping (move your finger on the screen). They can move any magnetic materials - perfect for the details we work with! Give it a try by moving an object (like the bolt) three times.	Ap lauku ir 4 magnēti (oranži objekti). Varat tos aktivizēt, velkot (pārvietojiet pirkstu pa ekrānu). Tie var pārvietot jebkādus magnētiskus materiālus – lieliski piemēroti detaļām, ar kurām mēs strādājam! Izmēģiniet to, trīs reizes pārvietojot objektu (piemēram, skrūvi).
A new detail has appeared: a bolt. While some might see it as garbage, we can recycle it into something more advanced, like a gear!	Ir parādījusies jauna detaļa: skrūve. Lai gan daži to var uzskatīt par atkritumiem, mēs varam to pārstrādāt kaut ko modernākā veidā, piemēram, pārnesumā!
Recycle two bolts into a gear by moving them together.	Pārstrādājiet divas skrūves zobratā, pārvietojot tās kopā.
Fantastic! You've just recycled some garbage! Keep it up, and together we can reach our goal of creating a better life.	Fantastiski! Jūs tikko esat pārstrādājis atkritumus! Turpiniet tā, un kopā mēs varam sasniegt savu mērķi izveidot labāku dzīvi.
Oh, no, the magnet has broken! :({#} You see, the right magnet is red now.	Ak, nē, magnēts ir saplīsis! :({#} Redzi, īstais magnēts tagad ir sarkans.
Try activating the right magnet a few times and see that nothing happens. (Swipe to the right)	Mēģiniet dažas reizes aktivizēt pareizo magnētu un redzēt, ka nekas nenotiek. (Velciet pa labi)
You see, nothing happened. Now try swiping in different directions (up and down). Let's wait until the magnet repairs itself.	Redziet, nekas nenotika. Tagad mēģiniet vilkt dažādos virzienos (augšup un lejup). Pagaidīsim, kamēr magnēts pats salabosies.
Done! After several moves, all magnets will be repaired.	Gatavs! Pēc vairākām kustībām visi magnēti tiks salaboti.
Now, let's talk about bio garbage (the apple leftover). Try moving it.	Tagad parunāsim par bioloģiskajiem atkritumiem (ābolu pārpalikumiem). Mēģiniet to pārvietot.
Because bio garbage lacks magnetic materials, magnets can't move it.	Tā kā bioloģiskajiem atkritumiem trūkst magnētisko materiālu, magnēti nevar tos pārvietot.
Don't forget to sort your garbage! :)	Neaizmirstiet šķirot atkritumus! :)
This is a rust garbage. It can't be recycled either. The number indicates how much time it needs to rust away and disappear.	Tas ir rūsas atkritumi. To arī nevar pārstrādāt. Skaitlis norāda, cik daudz laika tam ir nepieciešams, lai tas sarūsētu un pazustu.
Amazing! You've improved your recycling skills!	Apbrīnojami! Jūs esat uzlabojis savas otrreizējās pārstrādes prasmes!
Congratulations on acquiring the workshop! Let's dive into a quick tutorial on how to make the most of it.	Apsveicam ar darbnīcas iegūšanu! Iedziļināsimies īsā pamācībā par to, kā to maksimāli izmantot.
Combine simple details instantly from all fields using the workshop. Give it a try now!	Izmantojot darbnīcu, uzreiz apvienojiet vienkāršas detaļas no visām jomām. Izmēģiniet to tūlīt!
It's pretty cool, right? Just keep in mind the cooldown. It takes some time, so use it wisely!	Tas ir diezgan forši, vai ne? Vienkārši paturiet prātā atdzišanu. Tas aizņem kādu laiku, tāpēc izmantojiet to saprātīgi!
Be cautious when there's only one detail available for the workshop. It won't be able to combine it and will just return the item back.	Esiet piesardzīgs, ja darbnīcai ir pieejama tikai viena detaļa. Tas nevarēs to apvienot un vienkārši atgriezīs preci atpakaļ.
So, just use it carefully.	Tātad, izmantojiet to uzmanīgi.
The workshop shines when you're surrounded by annoying simple details. It's the perfect tool to tidy up your space efficiently!	Darbnīca spīd, kad jūs ieskauj kaitinošas vienkāršas detaļas. Tas ir ideāls rīks, lai efektīvi sakārtotu savu telpu!
Congratulations on purchasing the crane! Here's a brief tutorial on how to work with it.	Apsveicam ar celtņa iegādi! Šeit ir īsa apmācība par to, kā ar to strādāt.
To use the crane, simply tap on the icon. Now, you've entered CRANE mode.	Lai izmantotu celtni, vienkārši pieskarieties ikonai. Tagad esat iegājis CRANE režīmā.
In CRANE mode, choose an item on the field that you'd like to interact with.	CRANE režīmā izvēlieties vienumu laukā, ar kuru vēlaties mijiedarboties.
Next, select an empty field where you want to move the chosen item.	Pēc tam atlasiet tukšu lauku, uz kuru vēlaties pārvietot izvēlēto vienumu.
Now, press on the crane once more to execute the action.	Tagad vēlreiz nospiediet celtni, lai veiktu darbību.
As you upgrade, you'll gain the ability to change not only to empty fields but also swap them with other items.	Veicot jaunināšanu, jūs iegūsit iespēju mainīt ne tikai uz tukšiem laukiem, bet arī apmainīt tos ar citiem vienumiem.
Don't be afraid to experiment! If you encounter an error, the game will provide an indication. {#}Try to cause an error (e.g., click on 2 empty cells).	Nebaidieties eksperimentēt! Ja rodas kļūda, spēle sniegs norādi. {#}Mēģiniet izraisīt kļūdu (piemēram, noklikšķiniet uz 2 tukšām šūnām).
This is the error indication.	Šī ir kļūdas indikācija.
And last, but not least, try deselecting. To do so, press on the previously selected item, or on the crane (if you haven't selected the second cell yet).	Un visbeidzot, bet ne mazāk svarīgi, mēģiniet atcelt atlasi. Lai to izdarītu, nospiediet uz iepriekš atlasītā vienuma vai uz celtņa (ja vēl neesat izvēlējies otro šūnu).
Congratulations on upgrading your fence! Let's see what it is capable of now.	Apsveicam ar žoga modernizāciju! Paskatīsimies, uz ko tas tagad ir spējīgs.
To use the fence, click on one of the blue (cyan) objects around the field.	Lai izmantotu žogu, noklikšķiniet uz viena no zilajiem (ciānzilajiem) objektiem ap lauku.
Swipe the chosen object(s) towards the fence you've initiated.	Pārvelciet izvēlēto(-os) objektu(-s) uz iniciēto žogu.
Fences usually need some time before you can use them again, so plan your moves accordingly.	Žogiem parasti ir vajadzīgs zināms laiks, pirms tos atkal var izmantot, tāpēc plānojiet savas kustības atbilstoši.
The hydraulic fence is a game-changer—it can handle all sorts of garbage, even non-magnetic ones.	Hidrauliskais žogs ir spēles mainītājs — tas var tikt galā ar visa veida atkritumiem, pat nemagnētiskiem.
