en	no
English	Norwegian
lat	lat
0123456789!()\/_:&*%	0123456789!()\/_:&*%
place_your_(translator)_name_here	plasser_navnet_ditt_(oversetter)_her
<!-- Basic names (objects and buttons) -->																																													
Buy	Kjøpe
Back to menu	Tilbake til menyen
Settings	Innstillinger
Play	Spille
Shop	Butikk
Coins:	Mynter:
Exit	Exit
Set the level	Still inn nivået
Sell All	Selg alt
Details:	Detaljer:
Double coins!{#}(Watch Ad)	Doble mynter!{#}(Se annonse)
Restart	Omstart
Advertisement watched	Annonse sett
Received coins:	Mottatte mynter:
Sound volume	Lydvolum
next	neste
Tower crane	Tårnkran
Workshop	Verksted
Hydraulic fence	Hydraulisk gjerde
Sorting of details	Sortering av detaljer
Waterproofing	Vanntetting
Preprocessing	Forbehandling
Equipment calibration	Utstyrskalibrering
Cooling system	Kjølesystem
Magnets	Magneter
Increase field size: {#price}	Øk feltstørrelsen: {#price}
See story	Se historien
Pause	Pause
End round	Avslutt runde
Continue	Fortsette
End saved game, and start a new one	Avslutt lagret spill, og start et nytt
Tutorials	Veiledninger
Basic	Grunnleggende
Fence	Gjerde
Crane	Kran
Workshop	Verksted
Before	Før
Now	Nå
Next	Neste
Max detail:	Maks detalj:
Bolt	Bolt
Gear	Utstyr
Gear box	Girkasse
Bearing	Peiling
Piston	Stempel
Engine	Motor
Moped	Moped
Motorcycle	Motorsykkel
Car	Bil
<!-- Tutorials -->																																													
Hello and welcome to 'Recycling: 2048'! Are you ready for some challenge? In this tutorial you'll learn the base needed for recycling, but some features you only can find by yourself!	Hei og velkommen til 'Recycling: 2048'! Er du klar for en utfordring? I denne opplæringen lærer du basen som trengs for resirkulering, men noen funksjoner kan du bare finne selv!
There are 4 magnets around the field (orange objects). You can activate them by swiping (move your finger on the screen). They can move any magnetic materials - perfect for the details we work with! Give it a try by moving an object (like the bolt) three times.	Det er 4 magneter rundt feltet (oransje gjenstander). Du kan aktivere dem ved å sveipe (beveg fingeren på skjermen). De kan flytte alle magnetiske materialer - perfekt for detaljene vi jobber med! Prøv det ved å flytte en gjenstand (som bolten) tre ganger.
A new detail has appeared: a bolt. While some might see it as garbage, we can recycle it into something more advanced, like a gear!	En ny detalj har dukket opp: en bolt. Selv om noen kanskje ser det som søppel, kan vi resirkulere det til noe mer avansert, som et utstyr!
Recycle two bolts into a gear by moving them together.	Resirkuler to bolter til et gir ved å flytte dem sammen.
Fantastic! You've just recycled some garbage! Keep it up, and together we can reach our goal of creating a better life.	Fantastisk! Du har nettopp resirkulert litt søppel! Fortsett med det, og sammen kan vi nå målet vårt om å skape et bedre liv.
Oh, no, the magnet has broken! :({#} You see, the right magnet is red now.	Å nei, magneten har gått i stykker! :({#} Du skjønner, høyre magnet er rød nå.
Try activating the right magnet a few times and see that nothing happens. (Swipe to the right)	Prøv å aktivere riktig magnet noen ganger og se at ingenting skjer. (Sveip til høyre)
You see, nothing happened. Now try swiping in different directions (up and down). Let's wait until the magnet repairs itself.	Du skjønner, ingenting skjedde. Prøv nå å sveipe i forskjellige retninger (opp og ned). La oss vente til magneten reparerer seg selv.
Done! After several moves, all magnets will be repaired.	Ferdig! Etter flere trekk vil alle magneter bli reparert.
Now, let's talk about bio garbage (the apple leftover). Try moving it.	La oss nå snakke om biosøppel (epleresten). Prøv å flytte den.
Because bio garbage lacks magnetic materials, magnets can't move it.	Fordi biosøppel mangler magnetiske materialer, kan ikke magneter flytte det.
Don't forget to sort your garbage! :)	Ikke glem å sortere søppelet ditt! :)
This is a rust garbage. It can't be recycled either. The number indicates how much time it needs to rust away and disappear.	Dette er rustsøppel. Den kan heller ikke resirkuleres. Tallet angir hvor lang tid den trenger på å ruste bort og forsvinne.
Amazing! You've improved your recycling skills!	Fantastisk! Du har forbedret resirkuleringsferdighetene dine!
Congratulations on acquiring the workshop! Let's dive into a quick tutorial on how to make the most of it.	Gratulerer med anskaffelsen av verkstedet! La oss dykke ned i en rask opplæring om hvordan du får mest mulig ut av den.
Combine simple details instantly from all fields using the workshop. Give it a try now!	Kombiner enkle detaljer umiddelbart fra alle felt ved å bruke verkstedet. Prøv det nå!
It's pretty cool, right? Just keep in mind the cooldown. It takes some time, so use it wisely!	Det er ganske kult, ikke sant? Bare husk nedkjølingen. Det tar litt tid, så bruk det med omhu!
Be cautious when there's only one detail available for the workshop. It won't be able to combine it and will just return the item back.	Vær forsiktig når det kun er én detalj tilgjengelig for verkstedet. Det vil ikke være i stand til å kombinere det og vil bare returnere varen.
So, just use it carefully.	Så, bare bruk den forsiktig.
The workshop shines when you're surrounded by annoying simple details. It's the perfect tool to tidy up your space efficiently!	Verkstedet skinner når du er omgitt av irriterende enkle detaljer. Det er det perfekte verktøyet for å rydde opp i plassen din effektivt!
Congratulations on purchasing the crane! Here's a brief tutorial on how to work with it.	Gratulerer med kjøpet av kranen! Her er en kort veiledning om hvordan du jobber med det.
To use the crane, simply tap on the icon. Now, you've entered CRANE mode.	For å bruke kranen, trykk ganske enkelt på ikonet. Nå har du gått inn i CRANE-modus.
In CRANE mode, choose an item on the field that you'd like to interact with.	I CRANE-modus velger du et element i feltet du vil samhandle med.
Next, select an empty field where you want to move the chosen item.	Deretter velger du et tomt felt hvor du vil flytte det valgte elementet.
Now, press on the crane once more to execute the action.	Trykk nå på kranen en gang til for å utføre handlingen.
As you upgrade, you'll gain the ability to change not only to empty fields but also swap them with other items.	Når du oppgraderer, vil du få muligheten til å endre ikke bare til tomme felt, men også bytte dem med andre elementer.
Don't be afraid to experiment! If you encounter an error, the game will provide an indication. {#}Try to cause an error (e.g., click on 2 empty cells).	Ikke vær redd for å eksperimentere! Hvis du støter på en feil, vil spillet gi en indikasjon. {#}Prøv å forårsake en feil (klikk f.eks. på to tomme celler).
This is the error indication.	Dette er feilindikasjonen.
And last, but not least, try deselecting. To do so, press on the previously selected item, or on the crane (if you haven't selected the second cell yet).	Og sist, men ikke minst, prøv å fjerne markeringen. For å gjøre det, trykk på det tidligere valgte elementet, eller på kranen (hvis du ikke har valgt den andre cellen ennå).
Congratulations on upgrading your fence! Let's see what it is capable of now.	Gratulerer med oppgraderingen av gjerdet ditt! La oss se hva den er i stand til nå.
To use the fence, click on one of the blue (cyan) objects around the field.	For å bruke gjerdet, klikk på en av de blå (cyan) objektene rundt feltet.
Swipe the chosen object(s) towards the fence you've initiated.	Sveip de valgte objektene mot gjerdet du har satt i gang.
Fences usually need some time before you can use them again, so plan your moves accordingly.	Gjerder trenger vanligvis litt tid før du kan bruke dem igjen, så planlegg bevegelsene dine deretter.
The hydraulic fence is a game-changer—it can handle all sorts of garbage, even non-magnetic ones.	Det hydrauliske gjerdet er en game-changer - det kan håndtere all slags søppel, også ikke-magnetisk.
It's your go-to tool for bio-garbage removal. Give it a shot!	Det er ditt beste verktøy for fjerning av biosøppel. Prøv det!
You just bought one upgrade, that is ~10% of waht is needed for increasing field size!	Du har nettopp kjøpt en oppgradering, det vil si ~10 % av hva som trengs for å øke feltstørrelsen!
Keep up! :D	Hold følge! :D
<!-- Some tips in shop -->																																													
You will recive organic waste with probabiliy of {#prob}%	Du vil motta organisk avfall med en sannsynlighet på {#prob}%
You will recive rust debris with probabiliy of {#prob}%	Du vil motta rustrester med en sannsynlighet på {#prob}%
The probability of obtaining an improved detail is {#prob}%	Sannsynligheten for å få en forbedret detalj er {#prob}%
The probability of successfully merging two details is approximately {#prob}%	Sannsynligheten for å slå sammen to detaljer er omtrent {#prob}%
Magnets will break with a probability of {#prob}%	Magneter vil bryte med en sannsynlighet på {#prob}%
More details will drop on the field after {#move} moves	Flere detaljer vil slippe på feltet etter at {#move} trekk
No Workshop	Ingen verksted
Collects {#cell1}. Cooldown time:	Samler inn {#celle1}. Nedkjølingstid:
Collects {#cell1} and {#cell2}. Cooldown time:	Samler inn {#cell1} og {#cell2}. Nedkjølingstid:
No Crane	Ingen kran
Move items up to {#cell3}.	Flytt elementer opp til {#cell3}.
Move items up to {#cell6}.	Flytt elementer opp til {#cell6}.
Move items up to {#cell6}, and swap them with items up to {#cell2}.	Flytt elementer opp til {#cell6}, og bytt dem med elementer opptil {#celle2}.
Move items up to {#cell11}, and swap them with items up to {#cell6}.	Flytt elementer opp til {#cell11}, og bytt dem med elementer opptil {#cell6}.
Move anything and swap it with items up to {#cell9}.	Flytt hva som helst og bytt det med elementer opptil {#cell9}.
Move and swap anything!	Flytt og bytt hva som helst!
Simple fence	Enkelt gjerde
Available again after following number of moves: {#move}	Tilgjengelig igjen etter følgende antall trekk: {#move}
Details failed to merge!	Detaljene kunne ikke slås sammen!
Warning! Langueages besides English could have some errors (and English also, lol)	Advarsel! Språk foruten engelsk kan ha noen feil (og engelsk også, lol)
The game was saved. You can exit, and resume it later	Spillet ble reddet. Du kan avslutte og fortsette senere
<!-- Description (items in shop) -->																																													
A crane is a tool that allows you to relocate objects on the field. The basic version works only by dragging light objects to an empty place. With upgrades, you can drag more complex items, and even swap two objects. To use it, click on the crane icon, select the object, and select a place, where you want to place it.	En kran er et verktøy som lar deg flytte gjenstander på åkeren. Grunnversjonen fungerer kun ved å dra lette objekter til et tomt sted. Med oppgraderinger kan du dra mer komplekse elementer, og til og med bytte to objekter. For å bruke det, klikk på kranikonet, velg objektet og velg et sted hvor du vil plassere det.
Tired of simple parts messing around with your advanced builds? Use the workshop!{#}Workshop - a small separated building where manual processing of simple parts is possible. The higher the level of the workshop, the more parts it can process. Also, the improvement allows you to use it more often.{#}To use, click on the workshop icon unless it is on cooldown.	Lei av enkle deler som roter rundt med de avanserte byggene dine? Bruk verkstedet!{#}Verksted – en liten adskilt bygning hvor manuell bearbeiding av enkle deler er mulig. Jo høyere nivå verkstedet er, jo flere deler kan det behandle. Forbedringen lar deg også bruke den oftere.{#}For å bruke, klikk på verkstedikonet med mindre den er på nedkjøling.
Did you see that thing around your field corners? How about making it useful? Improve your fence by adding the ability to open it!{#}Allows you to get rid of non-mechanical debris. Further improvements to the pumps are possible, allowing the use of the hydraulic fence more frequently.{#}To use, click on the desired section of the fence, and pull the parts in that direction. All parts in the row where the fence is open will be thrown away. Remember: safety first!	Så du den tingen rundt hjørnene dine? Hva med å gjøre det nyttig? Forbedre gjerdet ditt ved å legge til muligheten til å åpne det!{#}Lar deg bli kvitt ikke-mekanisk rusk. Ytterligere forbedringer av pumpene er mulig, noe som tillater bruk av det hydrauliske gjerdet oftere.{#}For å bruke, klikk på ønsket del av gjerdet og dra delene i den retningen. Alle deler i raden hvor gjerdet er åpent vil bli kastet. Husk: sikkerhet først!
Unfortunately, not everyone is responsible for sorting waste. Sometimes containers with garbage come across wood pieces, waste, and other ordinary garbage.{#}Install additional sorting equipment and reduce the percentage of non-mechanical debris down to zero.	Dessverre er det ikke alle som har ansvar for sortering av avfall. Noen ganger kommer containere med søppel over trebiter, avfall og annet vanlig søppel.{#}Installer ekstra sorteringsutstyr og reduser prosentandelen av ikke-mekanisk rusk ned til null.
Global climate change, and even in the desert rains have become common. Perhaps for someone, it is even useful, but some parts can rust, making it impossible to recycle them. Strengthening of waterproofing reduces the likelihood of corrosion of parts.	Globale klimaendringer, og selv i ørkenen regner har blitt vanlig. Kanskje for noen er det til og med nyttig, men noen deler kan ruste, noe som gjør det umulig å resirkulere dem. Styrking av vanntetting reduserer sannsynligheten for korrosjon av deler.
Want to speed up the recycling process? Add a pre-assembly unit to your transporter! With it installed, some dropped parts will be more advanced.{#}This upgrade is mandatory, if you want to increase the size of your field.	Vil du fremskynde gjenvinningsprosessen? Legg til en forhåndsmonteringsenhet til transportøren din! Når den er installert, vil noen mistede deler være mer avanserte.{#}Denne oppgraderingen er obligatorisk hvis du vil øke størrelsen på feltet ditt.
Nothing is perfect. It also applies to the assembly process. Have you noticed, that sometimes parts break during merging? Fortunately, I can assure you, that it affects only the assembly of engine - more complicated parts are no problem. But still annoying, right?{#}But you can make this process more reliable, by calibrating your equipment.{#}This upgrade is mandatory, if you want to increase the size of your field.	Ingenting er perfekt. Det gjelder også for monteringsprosessen. Har du lagt merke til at deler noen ganger går i stykker under sammenslåing? Heldigvis kan jeg forsikre deg om at det kun påvirker monteringen av motoren - mer kompliserte deler er ikke noe problem. Men fortsatt irriterende, ikke sant?{#}Men du kan gjøre denne prosessen mer pålitelig ved å kalibrere utstyret ditt.{#}Denne oppgraderingen er obligatorisk hvis du vil øke størrelsen på feltet ditt.
Pros of stacking items in deserts - they don't rust much in dry environments. Cons - it can be really hot here.{#}The more you work, the more time you need to wait between each recycling, allowing your equipment to return to an appropriate temperature. It leads to more items accumulating between your moves. You can upgrade the cooling system, providing yourself a longer time for recycling.{#}This upgrade is mandatory, if you want to increase the size of your field.	Fordeler med å stable gjenstander i ørkener - de ruster ikke mye i tørre omgivelser. Ulemper - det kan være veldig varmt her.{#}Jo mer du jobber, jo mer tid trenger du å vente mellom hver resirkulering, slik at utstyret ditt kan gå tilbake til en passende temperatur. Det fører til at flere gjenstander samler seg mellom bevegelsene dine. Du kan oppgradere kjølesystemet, og gi deg selv lengre tid til resirkulering.{#}Denne oppgraderingen er obligatorisk hvis du vil øke størrelsen på feltet ditt.
DIY electromagnets can sometimes fail. Improve them, to reduce malfunctions.{#}This upgrade is mandatory, if you want to increase the size of your field.	DIY-elektromagneter kan noen ganger mislykkes. Forbedre dem for å redusere funksjonsfeil.{#}Denne oppgraderingen er obligatorisk hvis du vil øke størrelsen på feltet ditt.
Have you ever asked yourself, why do I have so small field? Isn't it inconvenient to work with big builds? The solution is simple - expand your field size! {#}Note, that before expanding, you need to make sure that the following upgrades are fully purchased: {#equipment_calibration}, {#magnets}, {#preprocessing_of_details} and {#cooling_system}.	Har du noen gang spurt deg selv hvorfor jeg har så lite felt? Er det ikke upraktisk å jobbe med store bygg? Løsningen er enkel - utvid feltstørrelsen din! {#}Merk at før du utvider, må du forsikre deg om at følgende oppgraderinger er fullt kjøpt: {#equipment_calibration}, {#magnets}, {#preprocessing_of_details} og {#cooling_system}.
<!-- And some more texts -->																																													
The level size you're have selected in main manu, is differ form your saved game. You can end seved game and start a new one, if you want.{#}What do you want to do with the saved game?	Nivåstørrelsen du har valgt i hovedmanuen, er forskjellig fra det lagrede spillet. Du kan avslutte seved spill og starte et nytt, hvis du vil.{#}Hva vil du gjøre med det lagrede spillet?
A junkyard in the middle of a desert. You could say it's the perfect place to store metal scraps - lots of free space and dry weather. Though not anymore. In the year 2048 the weather has gone really mad.{#}I didn't choose to spend my life here. I'm not rich, and the borders are closed for people like me. When I was a child, I dreamt of conquering space. And now, I find myself stuck in the middle of nowhere.{#}So the only option is to work. And I never refuse help, I'm happy to find you here. With you I know, someday I will make it to space.{#}So, how about this: we work together, recycle as many parts as we can, and help each other make our lives better. Deal?	En søppelplass midt i en ørken. Du kan si at det er det perfekte stedet å lagre metallrester - mye ledig plass og tørt vær. Skjønt ikke lenger. I år 2048 har været blitt veldig galt.{#}Jeg valgte ikke å tilbringe livet mitt her. Jeg er ikke rik, og grensene er stengt for folk som meg. Da jeg var barn drømte jeg om å erobre verdensrommet. Og nå sitter jeg fast i midten av ingensteds.{#}Så det eneste alternativet er å jobbe. Og jeg nekter aldri hjelp, jeg er glad for å finne deg her. Med deg, jeg vet, en dag kommer jeg til verdensrommet.{#}Så, hva med dette: vi jobber sammen, resirkulerer så mange deler vi kan og hjelper hverandre med å gjøre livene våre bedre. Avtale?
You just finished the game!{#}Usaly developers place here a long list of workers' names. But this game was developed only by me (Gleb The Polar Citizen).{#}I want to thank my wife, give a special thank to Anna M. for the asweme car, and to all the translators!!{#}If you want, you can continue playing this game or look for other games I developed!{#}Stay strong!	Du har nettopp fullført spillet!{#}Vanlige utviklere plasserer her en lang liste med arbeidernavn. Men dette spillet ble utviklet kun av meg (Gleb The Polar Citizen).{#}Jeg vil takke min kone, gi en spesiell takk til Anna M. for den flotte bilen, og til alle oversetterne!!{#}Hvis du vil , kan du fortsette å spille dette spillet eller se etter andre spill jeg har utviklet!{#}Hold deg sterk!
<!-- Yet unused texts (could be used in the future) -->																																													
No ads	Ingen annonser
You can buy this upgrade for the removal of basic ads.{#}It will not affect revard ads!{#}The button for doubling scores will still be available. So it will affect only ads, that are appearing after the game.{#}Also, I you just searching for a way to support me, better consider visiting buymeacoffe — the heart button, located with media buttons.	Du kan kjøpe denne oppgraderingen for fjerning av grunnleggende annonser.{#}Det vil ikke påvirke reklameannonser!{#}Knappen for å doble poengsummen vil fortsatt være tilgjengelig. Så det vil bare påvirke annonser som vises etter kampen.{#}Også, hvis du bare leter etter en måte å støtte meg på, bør du vurdere å besøke buymeacoffe – hjerteknappen, som ligger med medieknapper.
<!-- Warning! Spoilers below! For safety reasons, I will protect them with some comments, so you will not spoil the game for yourself unless you want so (thank Ehloi for helping to keep all spoilers out) -->																																													
<!-- Spoilers in 20 rows-->																																													
<!-- Spoilers in 19 rows-->																																													
<!-- Spoilers in 18 rows-->																																													
<!-- Spoilers in 17 rows-->																																													
<!-- Spoilers in 16 rows-->																																													
<!-- Spoilers in 15 rows-->																																													
<!-- Spoilers in 14 rows-->																																													
<!-- Spoilers in 13 rows-->																																													
<!-- Spoilers in 12 rows-->																																													
<!-- Spoilers in 11 rows-->																																													
<!-- Spoilers in 10 rows-->																																													
<!-- Spoilers in 9 rows-->																																													
<!-- Spoilers in 8 rows-->																																													
<!-- Spoilers in 7 rows-->																																													
<!-- Spoilers in 6 rows-->																																													
<!-- Spoilers in 5 rows-->																																													
<!-- Spoilers in 4 rows-->																																													
<!-- Spoilers in 3 rows-->																																													
<!-- Spoilers in 2 rows-->																																													
<!-- Spoilers in 1 row -->																																													
<!-- SPOILERS!!!! -->																																													
Pickup	Plukke opp
Truck	Lastebil
Biplane	Biplan
Helicopter	Helikopter
Plane	Fly
AN-225 Mriya	AN-225 Mriya
Rocket engine	Rakettmotor
Soyuz	Sojus
Rocket	Rakett
