en	pl
English	Polish
lat	lat
0123456789!()\/_:&*%	0123456789!()\/_:&*%
place_your_(translator)_name_here	miejsce_twój_(tłumacz)_nazwa_tutaj
<!-- Basic names (objects and buttons) -->																																													
Buy	Kupić
Back to menu	Powrót do menu
Settings	Ustawienia
Play	Grać
Shop	Sklep
Coins:	Monety:
Exit	Wyjście
Set the level	Ustaw poziom
Sell All	Sprzedaj wszystko
Details:	Detale:
Double coins!{#}(Watch Ad)	Podwójne monety!{#}(Obejrzyj reklamę)
Restart	Uruchom ponownie
Advertisement watched	Reklama obejrzana
Received coins:	Otrzymane monety:
Sound volume	Głośność dźwięku
next	Następny
Tower crane	Żuraw wieżowy
Workshop	Warsztat
Hydraulic fence	Ogrodzenie hydrauliczne
Sorting of details	Sortowanie szczegółów
Waterproofing	Hydroizolacja
Preprocessing	Przetwarzanie wstępne
Equipment calibration	Kalibracja sprzętu
Cooling system	System chłodzenia
Magnets	Magnesy
Increase field size: {#price}	Zwiększ rozmiar pola: {#price}
See story	Zobacz historię
Pause	Pauza
End round	Zakończ rundę
Continue	Kontynuować
End saved game, and start a new one	Zakończ zapisaną grę i rozpocznij nową
Tutorials	Poradniki
Basic	Podstawowy
Fence	Ogrodzenie
Crane	Dźwig
Workshop	Warsztat
Before	Zanim
Now	Teraz
Next	Następny
Max detail:	Maksymalna szczegółowość:
Bolt	Śruba
Gear	Bieg
Gear box	Skrzynia biegów
Bearing	Łożysko
Piston	Tłok
Engine	Silnik
Moped	Motorower
Motorcycle	Motocykl
Car	Samochód
<!-- Tutorials -->																																													
Hello and welcome to 'Recycling: 2048'! Are you ready for some challenge? In this tutorial you'll learn the base needed for recycling, but some features you only can find by yourself!	Witamy w „Recyklingu: 2048”! Czy jesteś gotowy na jakieś wyzwanie? W tym samouczku poznasz podstawy potrzebne do recyklingu, ale niektóre funkcje możesz znaleźć tylko sam!
There are 4 magnets around the field (orange objects). You can activate them by swiping (move your finger on the screen). They can move any magnetic materials - perfect for the details we work with! Give it a try by moving an object (like the bolt) three times.	Wokół pola znajdują się 4 magnesy (obiekty pomarańczowe). Można je aktywować przesuwając (poruszając palcem po ekranie). Potrafią przenosić dowolne materiały magnetyczne - idealne do detali, z którymi pracujemy! Spróbuj, przesuwając obiekt (np. śrubę) trzy razy.
A new detail has appeared: a bolt. While some might see it as garbage, we can recycle it into something more advanced, like a gear!	Pojawił się nowy szczegół: śruba. Chociaż niektórzy mogą uznać to za śmieci, możemy je poddać recyklingowi w coś bardziej zaawansowanego, na przykład koło zębate!
Recycle two bolts into a gear by moving them together.	Przekształć dwie śruby w koło zębate, przesuwając je razem.
