en	pt
English	Portuguese
lat	lat
0123456789!()\/_:&*%	0123456789!()\/_:&*%
place_your_(translator)_name_here	coloque_seu_(tradutor)_nome_aqui
<!-- Basic names (objects and buttons) -->																																													
Buy	Comprar
Back to menu	Voltar ao menu
Settings	Configurações
Play	Jogar
Shop	Comprar
Coins:	Moedas:
Exit	Saída
Set the level	Defina o nível
Sell All	Vender tudo
Details:	Detalhes:
Double coins!{#}(Watch Ad)	Moedas duplas!{#}(Assistir ao anúncio)
Restart	Reiniciar
Advertisement watched	Anúncio assistido
Received coins:	Moedas recebidas:
Sound volume	Volume do som
next	próximo
Tower crane	Guindaste de torre
Workshop	Oficina
Hydraulic fence	Cerca hidráulica
Sorting of details	Classificação de detalhes
Waterproofing	Impermeabilização
Preprocessing	Pré-processando
Equipment calibration	Calibração de equipamentos
Cooling system	Sistema de refrigeração
Magnets	Ímãs
Increase field size: {#price}	Aumentar o tamanho do campo: {#price}
See story	Ver história
Pause	Pausa
End round	Fim da rodada
Continue	Continuar
End saved game, and start a new one	Encerre o jogo salvo e comece um novo
Tutorials	Tutoriais
Basic	Básico
Fence	Cerca
Crane	Guindaste
Workshop	Oficina
Before	Antes
Now	Agora
Next	Próximo
Max detail:	Detalhe máximo:
Bolt	Parafuso
Gear	Engrenagem
Gear box	Caixa de velocidade
Bearing	Consequência
Piston	Pistão
Engine	Motor
Moped	Ciclomotor
Motorcycle	Motocicleta
Car	Carro
Pickup	Escolher
Truck	Caminhão
Biplane	Biplano
Helicopter	Helicóptero
Plane	Avião
AN-225 Mriya	AN-225 Mriya
Rocket engine	Motor de foguete
Soyuz	União
Rocket	Foguete
<!-- Tutorials -->																																													
Hello and welcome to 'Recycling: 2048'! Are you ready for some challenge? In this tutorial you'll learn the base needed for recycling, but some features you only can find by yourself!	Olá e bem-vindo ao 'Reciclagem: 2048'! Você está pronto para algum desafio? Neste tutorial você aprenderá a base necessária para a reciclagem, mas alguns recursos você só encontrará sozinho!
