en	ro
English	Romanian
lat	lat
0123456789!()\/_:&*%	0123456789!()\/_:&*%
place_your_(translator)_name_here	plasați_numele_(traducătorului)_aici
<!-- Basic names (objects and buttons) -->																																													
Buy	Cumpără
Back to menu	Inapoi la meniu
Settings	Setări
Play	Joaca
Shop	Magazin
Coins:	Monede:
Exit	Ieșire
Set the level	Setați nivelul
Sell All	Vinde tot
Details:	Detalii:
Double coins!{#}(Watch Ad)	Monede duble!{#}(Urmăriți anunțul)
Restart	Repornire
Advertisement watched	Reclamă urmărită
Received coins:	Monede primite:
Sound volume	Volumul sunetului
next	Următorul
Tower crane	Macara turn
Workshop	Atelier
Hydraulic fence	Gard hidraulic
Sorting of details	Sortarea detaliilor
Waterproofing	Hidroizolarea
Preprocessing	Preprocesare
Equipment calibration	Calibrarea echipamentului
Cooling system	Sistem de răcire
Magnets	Magneți
Increase field size: {#price}	Măriți dimensiunea câmpului: {#price}
See story	Vezi povestea
Pause	Pauză
End round	Sfârșitul rundei
Continue	Continua
End saved game, and start a new one	Încheiați jocul salvat și începeți unul nou
Tutorials	Tutoriale
Basic	De bază
Fence	Gard
Crane	Macara
Workshop	Atelier
Before	Inainte de
Now	Acum
Next	Următorul
Max detail:	Detaliu maxim:
Bolt	Bolt
Gear	Angrenaj
Gear box	Cutie de viteze
Bearing	Ținând
Piston	Piston
Engine	Motor
Moped	ciclomotor
Motorcycle	Motocicletă
Car	Mașină
Pickup	Ridica
Truck	Camion
Biplane	Biplan
Helicopter	Elicopter
Plane	Avion
AN-225 Mriya	AN-225 Mriya
Rocket engine	Motor rachetă
Soyuz	Soyuz
Rocket	Rachetă
<!-- Tutorials -->																																													
Hello and welcome to 'Recycling: 2048'! Are you ready for some challenge? In this tutorial you'll learn the base needed for recycling, but some features you only can find by yourself!	Bună ziua și bun venit la „Reciclare: 2048”! Ești pregătit pentru o provocare? În acest tutorial veți învăța baza necesară pentru reciclare, dar câteva caracteristici pe care le puteți găsi doar singur!
There are 4 magnets around the field (orange objects). You can activate them by swiping (move your finger on the screen). They can move any magnetic materials - perfect for the details we work with! Give it a try by moving an object (like the bolt) three times.	Există 4 magneți în jurul câmpului (obiecte portocalii). Le puteți activa glisând (mișcați degetul pe ecran). Pot muta orice materiale magnetice - perfecte pentru detaliile cu care lucram! Încercați mutând un obiect (cum ar fi șurubul) de trei ori.
A new detail has appeared: a bolt. While some might see it as garbage, we can recycle it into something more advanced, like a gear!	A apărut un nou detaliu: un șurub. În timp ce unii l-ar putea vedea ca un gunoi, îl putem recicla în ceva mai avansat, cum ar fi un angrenaj!
Recycle two bolts into a gear by moving them together.	Reciclați două șuruburi într-un angrenaj mutându-le împreună.
Fantastic! You've just recycled some garbage! Keep it up, and together we can reach our goal of creating a better life.	Fantastic! Tocmai ai reciclat niște gunoi! Ține-o tot așa și împreună ne putem atinge obiectivul de a ne crea o viață mai bună.
Oh, no, the magnet has broken! :({#} You see, the right magnet is red now.	Oh, nu, magnetul s-a rupt! :({#} Vedeți, magnetul potrivit este roșu acum.
Try activating the right magnet a few times and see that nothing happens. (Swipe to the right)	Încercați să activați magnetul potrivit de câteva ori și să vedeți că nu se întâmplă nimic. (Glisează spre dreapta)
You see, nothing happened. Now try swiping in different directions (up and down). Let's wait until the magnet repairs itself.	Vezi tu, nu s-a întâmplat nimic. Acum încercați să glisați în direcții diferite (în sus și în jos). Să așteptăm până când magnetul se repară singur.
Done! After several moves, all magnets will be repaired.	Terminat! După mai multe mișcări, toți magneții vor fi reparați.
Now, let's talk about bio garbage (the apple leftover). Try moving it.	Acum, să vorbim despre gunoiul bio (restul de măr). Încercați să-l mutați.
