en	ru
English	Russian
lat	kir
0123456789!()\/_:&*%	0123456789!()\/_:&*%
place_your_(translator)_name_here	место_ваше_(переводчик)_имя_здесь
<!-- Basic names (objects and buttons) -->																																													
Buy	Купить
Back to menu	Назад к меню
Settings	Настройки
Play	Играть
Shop	Магазин
Coins:	Монеты:
Exit	Выход
Set the level	Установите уровень
Sell All	Продать все
Details:	Подробности:
Double coins!{#}(Watch Ad)	Двойные монеты!{#}(Смотреть рекламу)
Restart	Перезапуск
Advertisement watched	Реклама просмотрена
Received coins:	Получено монет:
Sound volume	Громкость
next	следующий
Tower crane	Башенный кран
Workshop	мастерская
Hydraulic fence	Гидравлический забор
Sorting of details	Сортировка деталей
Waterproofing	Гидроизоляция
Preprocessing	Предварительная обработка
Equipment calibration	Калибровка оборудования
Cooling system	Система охлаждения
Magnets	Магниты
Increase field size: {#price}	Увеличить размер поля: {#price}
See story	Посмотреть историю
Pause	Пауза
End round	Конец раунда
Continue	Продолжать
End saved game, and start a new one	Завершить сохраненную игру и начать новую
Tutorials	Учебники
Basic	Базовый
Fence	Изгородь
Crane	Кран
Workshop	мастерская
Before	До
Now	Сейчас
Next	Следующий
Max detail:	Максимальная детализация:
Bolt	Болт
Gear	Механизм
Gear box	Коробка передач
Bearing	Несущий
Piston	Поршень
Engine	Двигатель
Moped	Мопед
Motorcycle	Мотоцикл
Car	Машина
<!-- Tutorials -->																																													
Hello and welcome to 'Recycling: 2048'! Are you ready for some challenge? In this tutorial you'll learn the base needed for recycling, but some features you only can find by yourself!	Здравствуйте и добро пожаловать в «Recycling: 2048»! Готовы ли вы принять вызов? В этом уроке вы узнаете основы, необходимые для переработки, но некоторые функции вы сможете найти только сами!
There are 4 magnets around the field (orange objects). You can activate them by swiping (move your finger on the screen). They can move any magnetic materials - perfect for the details we work with! Give it a try by moving an object (like the bolt) three times.	Вокруг поля расположены 4 магнита (оранжевые предметы). Вы можете активировать их свайпом (двигая пальцем по экрану). Они могут перемещать любые магнитные материалы — идеально подходят для деталей, с которыми мы работаем! Попробуйте, переместив объект (например, болт) три раза.
A new detail has appeared: a bolt. While some might see it as garbage, we can recycle it into something more advanced, like a gear!	Появилась новая деталь: болт. Хотя некоторые могут счесть это мусором, мы можем переработать его во что-то более совершенное, например, в механизм!
Recycle two bolts into a gear by moving them together.	Вставьте два болта в шестерню, сдвинув их вместе.
Fantastic! You've just recycled some garbage! Keep it up, and together we can reach our goal of creating a better life.	Фантастика! Вы только что переработали мусор! Продолжайте в том же духе, и вместе мы сможем достичь нашей цели – создать лучшую жизнь.
Oh, no, the magnet has broken! :({#} You see, the right magnet is red now.	О нет, магнит сломался! :({#} Видите, правый магнит теперь красный.
Try activating the right magnet a few times and see that nothing happens. (Swipe to the right)	Попробуйте несколько раз активировать правый магнит и убедитесь, что ничего не происходит. (Проведите пальцем вправо)
You see, nothing happened. Now try swiping in different directions (up and down). Let's wait until the magnet repairs itself.	Видите ли, ничего не произошло. Теперь попробуйте провести пальцем в разные стороны (вверх и вниз). Подождем, пока магнит отремонтируется сам.
Done! After several moves, all magnets will be repaired.	Сделанный! После нескольких ходов все магниты будут восстановлены.
Now, let's talk about bio garbage (the apple leftover). Try moving it.	Теперь давайте поговорим о биологическом мусоре (остатках яблока). Попробуйте переместить его.
Because bio garbage lacks magnetic materials, magnets can't move it.	Поскольку в биологическом мусоре нет магнитных материалов, магниты не могут его переместить.
Don't forget to sort your garbage! :)	Не забывайте сортировать мусор! :)
This is a rust garbage. It can't be recycled either. The number indicates how much time it needs to rust away and disappear.	Это ржавый мусор. Его также нельзя переработать. Число указывает, сколько времени ему нужно, чтобы проржаветь и исчезнуть.
Amazing! You've improved your recycling skills!	Удивительный! Вы улучшили свои навыки переработки!
Congratulations on acquiring the workshop! Let's dive into a quick tutorial on how to make the most of it.	Поздравляем с приобретением мастерской! Давайте углубимся в краткое руководство о том, как максимально эффективно использовать его.
Combine simple details instantly from all fields using the workshop. Give it a try now!	Мгновенно комбинируйте простые детали из всех областей с помощью мастерской. Попробуйте прямо сейчас!
It's pretty cool, right? Just keep in mind the cooldown. It takes some time, so use it wisely!	Это довольно круто, правда? Просто помните о времени восстановления. Это занимает некоторое время, поэтому используйте его с умом!
