en	sk
English	Slovak
lat	lat
0123456789!()\/_:&*%	0123456789!()\/_:&*%
place_your_(translator)_name_here	umiestnite_vaše_(prekladateľ)_meno_tu
<!-- Basic names (objects and buttons) -->																																													
Buy	Kúpiť
Back to menu	Späť do menu
Settings	nastavenie
Play	hrať
Shop	Obchod
Coins:	Mince:
Exit	VÝCHOD
Set the level	Nastavte úroveň
Sell All	Predať všetko
Details:	Podrobnosti:
Double coins!{#}(Watch Ad)	Dvojité mince!{#}(Pozrite si reklamu)
Restart	Reštart
Advertisement watched	Reklama sledovaná
Received coins:	Prijaté mince:
Sound volume	Hlasitosť zvuku
next	Ďalšie
Tower crane	Vežový žeriav
Workshop	Dielňa
Hydraulic fence	Hydraulický plot
Sorting of details	Triedenie detailov
Waterproofing	Vodeodolný
Preprocessing	Predspracovanie
Equipment calibration	Kalibrácia zariadenia
Cooling system	Chladiaci systém
Magnets	Magnety
Increase field size: {#price}	Zväčšiť veľkosť poľa: {#price}
See story	Pozri príbeh
Pause	Pauza
End round	Koniec kola
Continue	ďalej
End saved game, and start a new one	Ukončite uloženú hru a začnite novú
Tutorials	Návody
Basic	Základné
Fence	Plot
Crane	Žeriav
Workshop	Dielňa
Before	Predtým
Now	Teraz
Next	Ďalšie
Max detail:	Maximálny detail:
Bolt	Bolt
Gear	Výbava
Gear box	Prevodovka
Bearing	Ložisko
Piston	Piest
Engine	Motor
Moped	Moped
Motorcycle	Motocykel
Car	Auto
<!-- Tutorials -->																																													
Hello and welcome to 'Recycling: 2048'! Are you ready for some challenge? In this tutorial you'll learn the base needed for recycling, but some features you only can find by yourself!	Dobrý deň a vitajte v 'Recycling: 2048'! Si pripravený na nejakú výzvu? V tomto návode sa naučíte základ potrebný na recykláciu, ale niektoré funkcie môžete nájsť iba sami!
There are 4 magnets around the field (orange objects). You can activate them by swiping (move your finger on the screen). They can move any magnetic materials - perfect for the details we work with! Give it a try by moving an object (like the bolt) three times.	Okolo poľa sú 4 magnety (oranžové predmety). Môžete ich aktivovať potiahnutím prstom (pohybom prsta po obrazovke). Môžu pohybovať akýmkoľvek magnetickým materiálom - ideálne pre detaily, s ktorými pracujeme! Skúste to tak, že trikrát pohnete objektom (napríklad skrutkou).
A new detail has appeared: a bolt. While some might see it as garbage, we can recycle it into something more advanced, like a gear!	Objavil sa nový detail: skrutka. Zatiaľ čo niektorí to môžu považovať za odpad, môžeme to recyklovať na niečo pokročilejšie, ako napríklad výstroj!
Recycle two bolts into a gear by moving them together.	Recyklujte dve skrutky na ozubené koleso tak, že ich posuniete dohromady.
