en	sl
English	Slovenian
lat	lat
0123456789!()\/_:&*%	0123456789!()\/_:&*%
place_your_(translator)_name_here	postavite_svoje_(prevajalsko)_ime_sem
<!-- Basic names (objects and buttons) -->																																													
Buy	Nakup
Back to menu	Nazaj v meni
Settings	nastavitve
Play	Igraj
Shop	Trgovina
Coins:	kovanci:
Exit	Izhod
Set the level	Nastavite nivo
Sell All	Prodaj vse
Details:	podrobnosti:
Double coins!{#}(Watch Ad)	Dvojni kovanci!{#}(Oglejte si oglas)
Restart	Ponovni zagon
Advertisement watched	Ogledan oglas
Received coins:	Prejeti kovanci:
Sound volume	Glasnost zvoka
next	Naslednji
Tower crane	Stolpni žerjav
Workshop	Delavnica
Hydraulic fence	Hidravlična ograja
Sorting of details	Razvrščanje podrobnosti
Waterproofing	Hidroizolacija
Preprocessing	Predobdelava
Equipment calibration	Kalibracija opreme
Cooling system	Hladilni sistem
Magnets	Magneti
Increase field size: {#price}	Povečaj velikost polja: {#price}
See story	Glej zgodbo
Pause	Pavza
End round	Konec kroga
Continue	Nadaljuj
End saved game, and start a new one	Končajte shranjeno igro in začnite novo
Tutorials	Vadnice
Basic	Osnovno
Fence	Ograja
Crane	Žerjav
Workshop	Delavnica
Before	prej
Now	zdaj
Next	Naslednji
Max detail:	Največ podrobnosti:
Bolt	Vijak
Gear	Gear
Gear box	Menjalnik
Bearing	Ležaj
Piston	Bat
Engine	Motor
Moped	Moped
Motorcycle	Motorno kolo
Car	avto
<!-- Tutorials -->																																													
Hello and welcome to 'Recycling: 2048'! Are you ready for some challenge? In this tutorial you'll learn the base needed for recycling, but some features you only can find by yourself!	Pozdravljeni in dobrodošli v 'Recycling: 2048'! Ste pripravljeni na kakšen izziv? V tej vadnici boste izvedeli, kaj je potrebno za recikliranje, nekatere funkcije pa lahko najdete le sami!
There are 4 magnets around the field (orange objects). You can activate them by swiping (move your finger on the screen). They can move any magnetic materials - perfect for the details we work with! Give it a try by moving an object (like the bolt) three times.	Okoli polja so 4 magneti (oranžni predmeti). Aktivirate jih lahko s potegom (premikanjem prsta po zaslonu). Lahko premikajo vse magnetne materiale – kot nalašč za podrobnosti, s katerimi delamo! Poskusite tako, da trikrat premaknete predmet (na primer zapah).
A new detail has appeared: a bolt. While some might see it as garbage, we can recycle it into something more advanced, like a gear!	Pojavil se je nov detajl: vijak. Čeprav bi ga nekateri morda videli kot smeti, ga lahko recikliramo v nekaj bolj naprednega, kot je orodje!
