en	sr
English	Serbian
lat	kir
0123456789!()\/_:&*%	0123456789!()\/_:&*%
place_your_(translator)_name_here	место_ваше_(преводиоца)_име_овде
<!-- Basic names (objects and buttons) -->																																													
Buy	Купи
Back to menu	Назад на мени
Settings	Подешавања
Play	Игра
Shop	Схоп
Coins:	новчићи:
Exit	Изађи
Set the level	Подесите ниво
Sell All	Продати све
Details:	Детаљи:
Double coins!{#}(Watch Ad)	Двоструки новчићи!{#}(Погледајте оглас)
Restart	Поново покренути
Advertisement watched	Реклама гледана
Received coins:	Примљени новчићи:
Sound volume	Јачина звука
next	следећи
Tower crane	Кула кран
Workshop	Радионица
Hydraulic fence	Хидраулична ограда
Sorting of details	Разврставање детаља
Waterproofing	Хидроизолација
Preprocessing	Претходна обрада
Equipment calibration	Калибрација опреме
Cooling system	Систем хлађења
Magnets	Магнети
Increase field size: {#price}	Повећај величину поља: {#price}
See story	Види причу
Pause	Пауза
End round	Крај рунде
Continue	Настави
End saved game, and start a new one	Завршите сачувану игру и започните нову
Tutorials	Туториали
Basic	Басиц
Fence	Ограда
Crane	Цране
Workshop	Радионица
Before	пре него што
Now	Сада
Next	Следећи
Max detail:	Максимални детаљи:
Bolt	Завртањ
Gear	Геар
Gear box	Мењач
Bearing	Беаринг
Piston	Клип
Engine	Мотор
Moped	Мопед
Motorcycle	Мотоцикл
Car	Ауто
Pickup	Покупи
Truck	Камион
Biplane	Двокрилац
Helicopter	Хеликоптер
Plane	Авион
AN-225 Mriya	АН-225 Мрија
Rocket engine	Ракетни мотор
Soyuz	Соиуз
Rocket	Ракета
<!-- Tutorials -->																																													
Hello and welcome to 'Recycling: 2048'! Are you ready for some challenge? In this tutorial you'll learn the base needed for recycling, but some features you only can find by yourself!	Здраво и добродошли у 'Рециклажа: 2048'! Да ли сте спремни за неки изазов? У овом водичу ћете научити основе потребне за рециклажу, али неке функције можете пронаћи само сами!
There are 4 magnets around the field (orange objects). You can activate them by swiping (move your finger on the screen). They can move any magnetic materials - perfect for the details we work with! Give it a try by moving an object (like the bolt) three times.	Око поља су 4 магнета (наранџасти објекти). Можете их активирати превлачењем (померањем прста по екрану). Могу да померају било који магнетни материјал - савршено за детаље са којима радимо! Пробајте тако што ћете померити предмет (као што је вијак) три пута.
A new detail has appeared: a bolt. While some might see it as garbage, we can recycle it into something more advanced, like a gear!	Појавио се нови детаљ: вијак. Иако би неки то могли да виде као смеће, можемо да га рециклирамо у нешто напредније, као што је опрема!
Recycle two bolts into a gear by moving them together.	Рециклирајте два вијка у зупчаник тако што ћете их померити заједно.
Fantastic! You've just recycled some garbage! Keep it up, and together we can reach our goal of creating a better life.	Фантастичан! Управо сте рециклирали мало смећа! Само тако наставите и заједно можемо постићи наш циљ стварања бољег живота.
Oh, no, the magnet has broken! :({#} You see, the right magnet is red now.	О, не, магнет се покварио! :({#} Видите, десни магнет је сада црвен.
Try activating the right magnet a few times and see that nothing happens. (Swipe to the right)	Покушајте да активирате прави магнет неколико пута и видите да се ништа не дешава. (Превуците удесно)
You see, nothing happened. Now try swiping in different directions (up and down). Let's wait until the magnet repairs itself.	Видите, ништа се није догодило. Сада покушајте да превучете прстом у различитим правцима (горе и доле). Сачекајмо док се магнет не поправи.
Done! After several moves, all magnets will be repaired.	Готово! Након неколико потеза, сви магнети ће бити поправљени.
Now, let's talk about bio garbage (the apple leftover). Try moving it.	Сада, хајде да причамо о био смећу (остатку јабуке). Покушајте да га померите.
Because bio garbage lacks magnetic materials, magnets can't move it.	Пошто био смећу недостају магнетни материјали, магнети га не могу померити.
Don't forget to sort your garbage! :)	Не заборавите да сортирате своје смеће! :)
