en	sw
English	Swahili
lat	lat
0123456789!()\/_:&*%	0123456789!()\/_:&*%
place_your_(translator)_name_here	weka_yako_(mtafsiri)_jina_hapa
<!-- Basic names (objects and buttons) -->																																													
Buy	Nunua
Back to menu	Rudi kwenye menyu
Settings	Mipangilio
Play	Cheza
Shop	Duka
Coins:	Sarafu:
Exit	Utgång
Set the level	Weka kiwango
Sell All	Uza Yote
Details:	Maelezo:
Double coins!{#}(Watch Ad)	Sarafu mbili!{#}(Tazama Tangazo)
Restart	Anzisha tena
Advertisement watched	Tangazo lilitazamwa
Received coins:	Sarafu zilizopokelewa:
Sound volume	Kiasi cha sauti
next	ijayo
Tower crane	Crane ya mnara
Workshop	Warsha
Hydraulic fence	Uzio wa majimaji
Sorting of details	Upangaji wa maelezo
Waterproofing	Kuzuia maji
Preprocessing	Inachakata mapema
Equipment calibration	Urekebishaji wa vifaa
Cooling system	Mfumo wa baridi
Magnets	Sumaku
Increase field size: {#price}	Ongeza ukubwa wa sehemu: {#price}
See story	Tazama hadithi
Pause	Sitisha
End round	Mwisho wa raundi
Continue	Endelea
End saved game, and start a new one	Maliza mchezo uliohifadhiwa, na uanze mpya
Tutorials	Mafunzo
Basic	Msingi
Fence	Uzio
Crane	Crane
Workshop	Warsha
Before	Kabla
Now	Sasa
Next	Inayofuata
Max detail:	Maelezo ya juu zaidi:
Bolt	Bolt
Gear	Gia
Gear box	Sanduku la gia
Bearing	Kuzaa
Piston	Pistoni
Engine	Injini
Moped	Moped
Motorcycle	Pikipiki
Car	Gari
<!-- Tutorials -->																																													
Hello and welcome to 'Recycling: 2048'! Are you ready for some challenge? In this tutorial you'll learn the base needed for recycling, but some features you only can find by yourself!	Hujambo na karibu kwenye 'Recycling: 2048'! Je, uko tayari kwa changamoto fulani? Katika somo hili utajifunza msingi unaohitajika kwa kuchakata tena, lakini baadhi ya vipengele unaweza kupata peke yako!
There are 4 magnets around the field (orange objects). You can activate them by swiping (move your finger on the screen). They can move any magnetic materials - perfect for the details we work with! Give it a try by moving an object (like the bolt) three times.	Kuna sumaku 4 kuzunguka shamba (vitu vya machungwa). Unaweza kuziamilisha kwa kutelezesha kidole (sogeza kidole chako kwenye skrini). Wanaweza kuhamisha nyenzo zozote za sumaku - kamili kwa maelezo tunayofanyia kazi! Ijaribu kwa kusogeza kitu (kama bolt) mara tatu.
A new detail has appeared: a bolt. While some might see it as garbage, we can recycle it into something more advanced, like a gear!	Maelezo mapya yameonekana: bolt. Ingawa wengine wanaweza kuiona kama takataka, tunaweza kuitumia tena kuwa kitu cha hali ya juu zaidi, kama gia!
Recycle two bolts into a gear by moving them together.	Sandika tena boliti mbili kwenye gia kwa kuzisogeza pamoja.
Fantastic! You've just recycled some garbage! Keep it up, and together we can reach our goal of creating a better life.	Ajabu! Umechakachua takataka! Endelea hivyo, na kwa pamoja tunaweza kufikia lengo letu la kuunda maisha bora.
Oh, no, the magnet has broken! :({#} You see, the right magnet is red now.	Lo, hapana, sumaku imevunjika! :({#} Unaona, sumaku ya kulia ni nyekundu sasa.
Try activating the right magnet a few times and see that nothing happens. (Swipe to the right)	Jaribu kuwasha sumaku sahihi mara chache na uone kuwa hakuna kinachotokea. (Telezesha kidole kulia)
