en	th
English	Thai
lat	th
0123456789!()\/_:&*%	0123456789!()\/_:&*%
place_your_(translator)_name_here	place_your_(นักแปล)_name_here
<!-- Basic names (objects and buttons) -->																																													
Buy	ซื้อ
Back to menu	กลับไปที่เมนู
Settings	การตั้งค่า
Play	เล่น
Shop	ร้านค้า
Coins:	เหรียญ:
Exit	ออก
Set the level	ตั้งระดับ
Sell All	ขายทั้งหมด
Details:	รายละเอียด:
Double coins!{#}(Watch Ad)	เหรียญสองเท่า!{#}(ดูโฆษณา)
Restart	เริ่มต้นใหม่
Advertisement watched	ดูโฆษณาแล้ว
Received coins:	เหรียญที่ได้รับ:
Sound volume	ระดับเสียง
next	ต่อไป
Tower crane	ทาวเวอร์เครน
Workshop	การประชุมเชิงปฏิบัติการ
Hydraulic fence	รั้วไฮดรอลิค
Sorting of details	การเรียงลำดับรายละเอียด
Waterproofing	กันซึม
Preprocessing	กำลังประมวลผลล่วงหน้า
Equipment calibration	การสอบเทียบอุปกรณ์
Cooling system	ระบบทำความเย็น
Magnets	แม่เหล็ก
Increase field size: {#price}	เพิ่มขนาดช่อง: {#price}
See story	ดูเรื่องราว
Pause	หยุดชั่วคราว
End round	จบรอบ
Continue	ดำเนินการต่อ
End saved game, and start a new one	จบเกมที่บันทึกไว้ และเริ่มเกมใหม่
Tutorials	บทช่วยสอน
Basic	ขั้นพื้นฐาน
Fence	รั้ว
Crane	เครน
Workshop	การประชุมเชิงปฏิบัติการ
Before	ก่อน
Now	ตอนนี้
Next	ต่อไป
Max detail:	รายละเอียดสูงสุด:
Bolt	สายฟ้า
Gear	เกียร์
Gear box	กล่องเกียร์
Bearing	การแบก
Piston	ลูกสูบ
Engine	เครื่องยนต์
Moped	จักรยานยนต์
Motorcycle	รถจักรยานยนต์
Car	รถ
Pickup	หยิบ
Truck	รถบรรทุก
Biplane	เครื่องบินปีกสองชั้น
Helicopter	เฮลิคอปเตอร์
Plane	เครื่องบิน
AN-225 Mriya	AN-225 มริยา
Rocket engine	เครื่องยนต์จรวด
Soyuz	โซยุซ
Rocket	จรวด
<!-- Tutorials -->																																													
Hello and welcome to 'Recycling: 2048'! Are you ready for some challenge? In this tutorial you'll learn the base needed for recycling, but some features you only can find by yourself!	สวัสดีและยินดีต้อนรับสู่ 'Recycling: 2048'! คุณพร้อมสำหรับความท้าทายแล้วหรือยัง? ในบทช่วยสอนนี้ คุณจะได้เรียนรู้พื้นฐานที่จำเป็นสำหรับการรีไซเคิล แต่คุณสมบัติบางอย่างคุณจะพบได้ด้วยตัวเองเท่านั้น!
There are 4 magnets around the field (orange objects). You can activate them by swiping (move your finger on the screen). They can move any magnetic materials - perfect for the details we work with! Give it a try by moving an object (like the bolt) three times.	มีแม่เหล็ก 4 อันอยู่รอบสนาม (วัตถุสีส้ม) คุณสามารถเปิดใช้งานได้โดยการปัด (เลื่อนนิ้วของคุณบนหน้าจอ) พวกเขาสามารถเคลื่อนย้ายวัสดุแม่เหล็กใดๆ ได้ เหมาะสำหรับรายละเอียดที่เราทำงานด้วย! ลองใช้โดยขยับวัตถุ (เช่น สลักเกลียว) สามครั้ง
