en	tr
English	Turkish
lat	lat
0123456789!()\/_:&*%	0123456789!()\/_:&*%
place_your_(translator)_name_here	place_your_(çevirmen)_name_here
<!-- Basic names (objects and buttons) -->																																													
Buy	Satın almak
Back to menu	Menüye dön
Settings	Ayarlar
Play	Oynamak
Shop	Mağaza
Coins:	Madeni paralar:
Exit	çıkış
Set the level	Seviyeyi ayarlayın
Sell All	Hepsini sat
Details:	Detaylar:
Double coins!{#}(Watch Ad)	Çift para!{#}(Reklamı İzle)
Restart	Tekrar başlat
Advertisement watched	Reklam izlendi
Received coins:	Alınan paralar:
Sound volume	Ses seviyesi
next	Sonraki
Tower crane	Kule vinci
Workshop	Atölye
Hydraulic fence	Hidrolik çit
Sorting of details	Ayrıntıların sıralanması
Waterproofing	Su Yalıtımı
Preprocessing	Ön işleme
Equipment calibration	Ekipman kalibrasyonu
Cooling system	Soğutma sistemi
Magnets	Mıknatıslar
Increase field size: {#price}	Alan boyutunu artırın: {#price}
See story	Hikayeye bakın
Pause	Duraklat
End round	Turu bitir
Continue	Devam etmek
End saved game, and start a new one	Kaydedilen oyunu sonlandırın ve yeni bir oyuna başlayın
Tutorials	Öğreticiler
Basic	Temel
Fence	Çit
Crane	Vinç
Workshop	Atölye
Before	Önce
Now	Şimdi
Next	Sonraki
Max detail:	Maksimum ayrıntı:
Bolt	cıvata
Gear	Vites
Gear box	Dişli kutusu
Bearing	Rulman
Piston	Piston
Engine	Motor
Moped	Moped
Motorcycle	Motosiklet
Car	Araba
Pickup	Toplamak
Truck	Kamyon
Biplane	Çift kanatlı
Helicopter	Helikopter
Plane	Uçak
AN-225 Mriya	AN-225 Mriya
Rocket engine	Roket motoru
Soyuz	Soyuz
Rocket	Roket
<!-- Tutorials -->																																													
Hello and welcome to 'Recycling: 2048'! Are you ready for some challenge? In this tutorial you'll learn the base needed for recycling, but some features you only can find by yourself!	Merhaba, 'Geri Dönüşüm: 2048'e hoş geldiniz! Biraz meydan okumaya hazır mısın? Bu eğitimde geri dönüşüm için gereken temel bilgileri öğreneceksiniz, ancak bazı özellikleri yalnızca kendi başınıza bulabilirsiniz!
