en	vi
English	Vietnamese
lat	vi
0123456789!()\/_:&*%	0123456789!()\/_:&*%
place_your_(translator)_name_here	place_your_(người phiên dịch)_name_here
<!-- Basic names (objects and buttons) -->																																													
Buy	Mua
Back to menu	Quay lại trình đơn
Settings	Cài đặt
Play	Chơi
Shop	Cửa hàng
Coins:	Đồng xu:
Exit	Lối ra
Set the level	Đặt mức độ
Sell All	Bán tất cả
Details:	Chi tiết:
Double coins!{#}(Watch Ad)	Nhân đôi số xu!{#}(Xem quảng cáo)
Restart	Khởi động lại
Advertisement watched	Quảng cáo đã xem
Received coins:	Đã nhận được xu:
Sound volume	Âm lượng
next	Kế tiếp
Tower crane	Cẩu tháp
Workshop	Xưởng
Hydraulic fence	Hàng rào thủy lực
Sorting of details	Sắp xếp chi tiết
Waterproofing	chống thấm
Preprocessing	Sơ chế
Equipment calibration	Hiệu chuẩn thiết bị
Cooling system	Hệ thống làm mát
Magnets	Nam châm
Increase field size: {#price}	Tăng kích thước trường: {#price}
See story	Xem câu chuyện
Pause	Tạm ngừng
End round	Kết thúc vòng đấu
Continue	Tiếp tục
End saved game, and start a new one	Kết thúc trò chơi đã lưu và bắt đầu trò chơi mới
Tutorials	Hướng dẫn
Basic	Nền tảng
Fence	Hàng rào
Crane	Máy trục
Workshop	Xưởng
Before	Trước
Now	Hiện nay
Next	Kế tiếp
Max detail:	Chi tiết tối đa:
Bolt	Chớp
Gear	Bánh răng
Gear box	Hộp số
Bearing	Ổ đỡ trục
Piston	pít tông
Engine	Động cơ
Moped	xe gắn máy
Motorcycle	Xe máy
Car	Xe hơi
<!-- Tutorials -->																																													
Hello and welcome to 'Recycling: 2048'! Are you ready for some challenge? In this tutorial you'll learn the base needed for recycling, but some features you only can find by yourself!	Xin chào và chào mừng đến với 'Tái chế: 2048'! Bạn đã sẵn sàng cho một số thử thách? Trong hướng dẫn này, bạn sẽ tìm hiểu cơ sở cần thiết để tái chế, nhưng một số tính năng bạn chỉ có thể tự mình tìm thấy!
There are 4 magnets around the field (orange objects). You can activate them by swiping (move your finger on the screen). They can move any magnetic materials - perfect for the details we work with! Give it a try by moving an object (like the bolt) three times.	Có 4 nam châm xung quanh sân (vật màu cam). Bạn có thể kích hoạt chúng bằng cách vuốt (di chuyển ngón tay trên màn hình). Chúng có thể di chuyển bất kỳ vật liệu từ tính nào - hoàn hảo cho các chi tiết mà chúng tôi xử lý! Hãy thử bằng cách di chuyển một vật thể (chẳng hạn như chốt) ba lần.
A new detail has appeared: a bolt. While some might see it as garbage, we can recycle it into something more advanced, like a gear!	Một chi tiết mới đã xuất hiện: một cái chốt. Mặc dù một số người có thể coi nó là rác, nhưng chúng ta có thể tái chế nó thành thứ gì đó cao cấp hơn, chẳng hạn như một thiết bị!
Recycle two bolts into a gear by moving them together.	Tái chế hai bu lông thành một bánh răng bằng cách di chuyển chúng lại với nhau.
Fantastic! You've just recycled some garbage! Keep it up, and together we can reach our goal of creating a better life.	Tuyệt vời! Bạn vừa tái chế một số rác! Hãy tiếp tục và cùng nhau chúng ta có thể đạt được mục tiêu tạo ra một cuộc sống tốt đẹp hơn.
Oh, no, the magnet has broken! :({#} You see, the right magnet is red now.	Ôi không, nam châm hỏng rồi! :({#} Bạn thấy đấy, nam châm bên phải hiện có màu đỏ.
Try activating the right magnet a few times and see that nothing happens. (Swipe to the right)	Hãy thử kích hoạt đúng nam châm vài lần và thấy không có gì xảy ra. (Vuốt sang phải)
You see, nothing happened. Now try swiping in different directions (up and down). Let's wait until the magnet repairs itself.	Bạn thấy đấy, không có gì xảy ra cả. Bây giờ hãy thử vuốt theo các hướng khác nhau (lên và xuống). Hãy đợi cho đến khi nam châm tự sửa chữa.
Done! After several moves, all magnets will be repaired.	Xong! Sau vài lần di chuyển, tất cả nam châm sẽ được sửa chữa.
Now, let's talk about bio garbage (the apple leftover). Try moving it.	Bây giờ hãy nói về rác sinh học (quả táo còn sót lại). Hãy thử di chuyển nó.
Because bio garbage lacks magnetic materials, magnets can't move it.	Vì rác sinh học thiếu vật liệu từ tính nên nam châm không thể di chuyển được.
Don't forget to sort your garbage! :)	Đừng quên phân loại rác của bạn! :)
This is a rust garbage. It can't be recycled either. The number indicates how much time it needs to rust away and disappear.	Đây là một thứ rác rỉ sét. Nó cũng không thể được tái chế. Con số cho biết cần bao nhiêu thời gian để nó rỉ sét và biến mất.
Amazing! You've improved your recycling skills!	Tuyệt vời! Bạn đã cải thiện kỹ năng tái chế của mình!
Congratulations on acquiring the workshop! Let's dive into a quick tutorial on how to make the most of it.	Chúc mừng bạn đã mua được xưởng! Hãy đi sâu vào hướng dẫn nhanh về cách tận dụng tối đa tính năng này.
Combine simple details instantly from all fields using the workshop. Give it a try now!	Kết hợp các chi tiết đơn giản ngay lập tức từ tất cả các lĩnh vực bằng cách sử dụng hội thảo. Thử xem sao!
