en	zh-CN
English	简体字
lat	zh-CN
0123456789!()\/_:&*%	0123456789!()\/_:&*%
place_your_(translator)_name_here	place_your_（译者）_name_here
<!-- Basic names (objects and buttons) -->																																													
Buy	买
Back to menu	返回菜单
Settings	设置
Play	玩
Shop	店铺
Coins:	硬币：
Exit	出口
Set the level	设置级别
Sell All	全部出售
Details:	细节：
Double coins!{#}(Watch Ad)	双倍硬币！{#}（观看广告）
Restart	重新开始
Advertisement watched	已观看广告
Received coins:	收到金币：
Sound volume	音量
next	下一个
Tower crane	塔式起重机
Workshop	作坊
Hydraulic fence	液压围栏
Sorting of details	细节排序
Waterproofing	防水
Preprocessing	预处理
Equipment calibration	设备校准
Cooling system	冷却系统
Magnets	磁铁
Increase field size: {#price}	增加字段大小：{#price}
See story	看故事
Pause	暂停
End round	结束回合
Continue	继续
End saved game, and start a new one	结束已保存的游戏并开始新的游戏
Tutorials	教程
Basic	基本的
Fence	栅栏
Crane	起重机
Workshop	作坊
Before	前
Now	现在
Next	下一个
Max detail:	最大细节：
Bolt	螺栓
Gear	齿轮
Gear box	齿轮箱
Bearing	轴承
Piston	活塞
Engine	引擎
Moped	轻便摩托车
Motorcycle	摩托车
Car	车
Pickup	捡起
Truck	卡车
Biplane	双翼飞机
Helicopter	直升机
Plane	飞机
AN-225 Mriya	AN-225 米里亚
Rocket engine	火箭发动机
Soyuz	联盟号
Rocket	火箭
<!-- Tutorials -->																																													
Hello and welcome to 'Recycling: 2048'! Are you ready for some challenge? In this tutorial you'll learn the base needed for recycling, but some features you only can find by yourself!	您好，欢迎来到“回收：2048”！你准备好迎接挑战了吗？在本教程中，您将学习回收所需的基础知识，但有些功能您只能自己找到！
There are 4 magnets around the field (orange objects). You can activate them by swiping (move your finger on the screen). They can move any magnetic materials - perfect for the details we work with! Give it a try by moving an object (like the bolt) three times.	磁场周围有 4 个磁铁（橙色物体）。您可以通过滑动（在屏幕上移动手指）来激活它们。它们可以移动任何磁性材料 - 非常适合我们处理的细节！移动一个物体（如螺栓）三次来尝试一下。
A new detail has appeared: a bolt. While some might see it as garbage, we can recycle it into something more advanced, like a gear!	出现了一个新的细节：一个螺栓。虽然有些人可能将其视为垃圾，但我们可以将其回收成更高级的东西，例如齿轮！
Recycle two bolts into a gear by moving them together.	将两个螺栓移动到一起，将它们回收为齿轮。
Fantastic! You've just recycled some garbage! Keep it up, and together we can reach our goal of creating a better life.	极好的！您刚刚回收了一些垃圾！坚持下去，我们就能共同实现创造更美好生活的目标。
Oh, no, the magnet has broken! :({#} You see, the right magnet is red now.	哦，不，磁铁坏了！ :({#} 你看，右边的磁铁现在是红色的。
Try activating the right magnet a few times and see that nothing happens. (Swipe to the right)	尝试激活右侧磁铁几次，看看没有任何反应。 （向右滑动）
You see, nothing happened. Now try swiping in different directions (up and down). Let's wait until the magnet repairs itself.	你看，什么也没发生。现在尝试向不同方向（向上和向下）滑动。让我们等待磁铁自行修复。
Done! After several moves, all magnets will be repaired.	完毕！经过几次移动后，所有磁铁都会被修复。
Now, let's talk about bio garbage (the apple leftover). Try moving it.	现在，我们来谈谈生物垃圾（苹果剩菜）。尝试移动它。
Because bio garbage lacks magnetic materials, magnets can't move it.	由于生物垃圾缺乏磁性材料，磁铁无法移动它。
Don't forget to sort your garbage! :)	别忘了对垃圾进行分类！ :)
This is a rust garbage. It can't be recycled either. The number indicates how much time it needs to rust away and disappear.	这是铁锈垃圾。它也无法回收。该数字表示它需要多长时间生锈并消失。
Amazing! You've improved your recycling skills!	惊人的！您的回收技能得到了提高！
Congratulations on acquiring the workshop! Let's dive into a quick tutorial on how to make the most of it.	恭喜您获得工作室！让我们深入了解如何充分利用它的快速教程。
Combine simple details instantly from all fields using the workshop. Give it a try now!	使用研讨会立即组合来自各个领域的简单细节。现在就尝试一下吧！
It's pretty cool, right? Just keep in mind the cooldown. It takes some time, so use it wisely!	很酷，对吧？只要记住冷却时间即可。这需要一些时间，所以明智地使用它！
Be cautious when there's only one detail available for the workshop. It won't be able to combine it and will just return the item back.	当研讨会只有一个细节可用时要小心。它无法将其合并，只会将物品退回。
So, just use it carefully.	所以，请小心使用。
