en	zh-TW
English	繁体字
lat	zh-TW
0123456789!()\/_:&*%	0123456789!()\/_:&*%
place_your_(translator)_name_here	place_your_（譯者）_name_here
<!-- Basic names (objects and buttons) -->																																													
Buy	買
Back to menu	返回選單
Settings	設定
Play	玩
Shop	店鋪
Coins:	硬幣：
Exit	出口
Set the level	設定等級
Sell All	全部出售
Details:	細節：
Double coins!{#}(Watch Ad)	雙倍硬幣！
Restart	重新開始
Advertisement watched	已觀看廣告
Received coins:	收到金幣：
Sound volume	音量
next	下一個
Tower crane	塔式起重機
Workshop	作坊
Hydraulic fence	油壓圍欄
Sorting of details	細節排序
Waterproofing	防水
Preprocessing	預處理
Equipment calibration	設備校準
Cooling system	冷卻系統
Magnets	磁鐵
Increase field size: {#price}	增加欄位大小：{#price}
See story	看故事
Pause	暫停
End round	結束回合
Continue	繼續
End saved game, and start a new one	結束已儲存的遊戲並開始新的遊戲
Tutorials	教學
Basic	基本的
Fence	柵欄
Crane	起重機
Workshop	作坊
Before	前
Now	現在
Next	下一個
Max detail:	最大細節：
Bolt	螺栓
Gear	齒輪
Gear box	齒輪箱
Bearing	軸承
Piston	活塞
Engine	引擎
Moped	輕型機車
Motorcycle	摩托車
Car	車
<!-- Tutorials -->																																													
Hello and welcome to 'Recycling: 2048'! Are you ready for some challenge? In this tutorial you'll learn the base needed for recycling, but some features you only can find by yourself!	您好，歡迎來到「回收：2048」！你準備好迎接挑戰了嗎？在本教程中，您將學習回收所需的基礎知識，但有些功能您只能自己找到！
There are 4 magnets around the field (orange objects). You can activate them by swiping (move your finger on the screen). They can move any magnetic materials - perfect for the details we work with! Give it a try by moving an object (like the bolt) three times.	磁場周圍有 4 個磁鐵（橘色物體）。您可以透過滑動（在螢幕上移動手指）來啟動它們。它們可以移動任何磁性材料 - 非常適合我們處理的細節！移動一個物體（如螺栓）三次來嘗試。
A new detail has appeared: a bolt. While some might see it as garbage, we can recycle it into something more advanced, like a gear!	出現了一個新的細節：一個螺栓。雖然有些人可能會將其視為垃圾，但我們可以將其回收成更高級的東西，例如齒輪！
Recycle two bolts into a gear by moving them together.	將兩個螺栓移到一起，將它們回收為齒輪。
Fantastic! You've just recycled some garbage! Keep it up, and together we can reach our goal of creating a better life.	極好的！您剛剛回收了一些垃圾！堅持下去，我們就能共同實現創造更美好生活的目標。
Oh, no, the magnet has broken! :({#} You see, the right magnet is red now.	哦，不，磁鐵壞了！ :({#} 你看，右邊的磁鐵現在是紅色的。
Try activating the right magnet a few times and see that nothing happens. (Swipe to the right)	嘗試啟動右側磁鐵幾次，看看沒有任何反應。 （向右滑）
You see, nothing happened. Now try swiping in different directions (up and down). Let's wait until the magnet repairs itself.	你看，什麼事也沒發生。現在嘗試向不同方向（向上和向下）滑動。讓我們等待磁鐵自行修復。
Done! After several moves, all magnets will be repaired.	完畢！經過幾次移動後，所有磁鐵都會被修復。
Now, let's talk about bio garbage (the apple leftover). Try moving it.	現在，我們來談談生物垃圾（蘋果剩菜）。嘗試移動它。
Because bio garbage lacks magnetic materials, magnets can't move it.	由於生物垃圾缺乏磁性材料，磁鐵無法移動它。
Don't forget to sort your garbage! :)	別忘了將垃圾分類！ :)
This is a rust garbage. It can't be recycled either. The number indicates how much time it needs to rust away and disappear.	這是鐵鏽垃圾。它也無法回收。該數字表示它需要多長時間生鏽並消失。
Amazing! You've improved your recycling skills!	驚人的！您的回收技能得到了提升！
Congratulations on acquiring the workshop! Let's dive into a quick tutorial on how to make the most of it.	恭喜您獲得工作室！讓我們深入了解如何充分利用它的快速教學。
Combine simple details instantly from all fields using the workshop. Give it a try now!	使用研討會立即組合來自各個領域的簡單細節。現在就嘗試一下吧！
It's pretty cool, right? Just keep in mind the cooldown. It takes some time, so use it wisely!	很酷，對吧？只要記得冷卻時間即可。這需要一些時間，所以明智地使用它！
Be cautious when there's only one detail available for the workshop. It won't be able to combine it and will just return the item back.	當研討會只有一個細節可用時要小心。它無法將其合併，只會將物品退回。
So, just use it carefully.	所以，請小心使用。
The workshop shines when you're surrounded by annoying simple details. It's the perfect tool to tidy up your space efficiently!	當你被煩人的簡單細節包圍時，研討會就會閃閃發光。它是高效能整理空間的完美工具！
Congratulations on purchasing the crane! Here's a brief tutorial on how to work with it.	恭喜您購買起重機！這是有關如何使用它的簡短教程。
To use the crane, simply tap on the icon. Now, you've entered CRANE mode.	要使用起重機，只需點擊圖示即可。現在，您已進入起重機模式。
In CRANE mode, choose an item on the field that you'd like to interact with.	在起重機模式下，選擇您想要與之互動的欄位上的項目。
Next, select an empty field where you want to move the chosen item.	接下來，選擇一個要將所選項目移至的空白欄位。
Now, press on the crane once more to execute the action.	現在，再次按下起重機來執行該操作。
As you upgrade, you'll gain the ability to change not only to empty fields but also swap them with other items.	當您升級時，您不僅能夠更改空白字段，還能夠將它們與其他項目交換。
Don't be afraid to experiment! If you encounter an error, the game will provide an indication. {#}Try to cause an error (e.g., click on 2 empty cells).	不要害怕嘗試！如果您遇到錯誤，遊戲會提供指示。 {#}嘗試引發錯誤（例如，點擊 2 個空白儲存格）。
This is the error indication.	這是錯誤指示。
