en	zu
English	Zulu
lat	lat
0123456789!()\/_:&*%	0123456789!()\/_:&*%
place_your_(translator)_name_here	beka_lakho_(umhumushi)_igama_lapha
<!-- Basic names (objects and buttons) -->																																													
Buy	Thenga
Back to menu	Buyela kumenyu
Settings	Izilungiselelo
Play	Dlala
Shop	Thenga
Coins:	Izinhlamvu zemali:
Exit	Phuma
Set the level	Setha izinga
Sell All	Thengisa Konke
Details:	Imininingwane:
Double coins!{#}(Watch Ad)	Izinhlamvu zemali ezimbili!{#}(Buka Isikhangiso)
Restart	Qala kabusha
Advertisement watched	Isikhangiso sibukiwe
Received coins:	Izinhlamvu zemali ezitholiwe:
Sound volume	Ivolumu yomsindo
next	Olandelayo
Tower crane	Umbhoshongo crane
Workshop	Indawo yokusebenzela
Hydraulic fence	Ucingo lwe-hydraulic
Sorting of details	Ukuhlunga imininingwane
Waterproofing	Ukuvimbela amanzi
Preprocessing	Iyacubungula
Equipment calibration	Ukulinganiswa kwezisetshenziswa
Cooling system	Isistimu yokupholisa
Magnets	Omazibuthe
Increase field size: {#price}	Nyusa usayizi wenkundla: {#price}
See story	Bona indaba
Pause	Misa isikhashana
End round	Qeda umzuliswano
Continue	Qhubeka
End saved game, and start a new one	Qeda igeyimu elondoloziwe, bese uqala entsha
Tutorials	Okokufundisa
Basic	Okuyisisekelo
Fence	Uthango
Crane	I-Crane
Workshop	Indawo yokusebenzela
Before	Ngaphambili
Now	Manje
Next	Olandelayo
Max detail:	Imininingwane eminingi:
Bolt	Ibholidi
Gear	Igiya
Gear box	Ibhokisi legiya
Bearing	Ukuzala
Piston	I-Piston
Engine	Injini
Moped	I-Moped
Motorcycle	Isithuthuthu
Car	Imoto
Pickup	Phakamisa
Truck	Iloli
Biplane	I-Biplane
Helicopter	Indiza engujekamanzi
Plane	Indiza
AN-225 Mriya	AN-225 Mriya
Rocket engine	Injini yerokhethi
Soyuz	Soyuz
Rocket	Irokhethi
<!-- Tutorials -->																																													
Hello and welcome to 'Recycling: 2048'! Are you ready for some challenge? In this tutorial you'll learn the base needed for recycling, but some features you only can find by yourself!	Sawubona futhi wamukelekile ku-'Recycling: 2048'! Ingabe uyilungele inselele ethile? Kulesi sifundo uzofunda isisekelo esidingekayo sokugaywa kabusha, kodwa ezinye izici ungazithola wedwa!
There are 4 magnets around the field (orange objects). You can activate them by swiping (move your finger on the screen). They can move any magnetic materials - perfect for the details we work with! Give it a try by moving an object (like the bolt) three times.	Kukhona omazibuthe aba-4 ebaleni (izinto eziwolintshi). Ungawenza asebenze ngokuswayipha (hambisa umunwe wakho esikrinini). Bangakwazi ukuhambisa noma yiziphi izinto ezisetshenziswa kazibuthe - zilungele imininingwane esisebenza ngayo! Izame ngokuhambisa into (njengebhawodi) kathathu.
A new detail has appeared: a bolt. While some might see it as garbage, we can recycle it into something more advanced, like a gear!	Kuvele imininingwane entsha: ibhawudi. Nakuba abanye bengase bakubone njengodoti, singase sikusebenzise kabusha siye kokuthile okuthuthuke kakhulu, njengegiya!
Recycle two bolts into a gear by moving them together.	Sebenzisa kabusha amabhawodi amabili egiyeni ngokuwahambisa ndawonye.
Fantastic! You've just recycled some garbage! Keep it up, and together we can reach our goal of creating a better life.	Kumnandi! Usanda kuvuselela udoti othile! Qhubeka, futhi ngokubambisana singafinyelela umgomo wethu wokudala impilo engcono.
Oh, no, the magnet has broken! :({#} You see, the right magnet is red now.	Hhayi, umazibuthe uphukile! :({#} Uyabona, uzibuthe ongakwesokudla ubomvu manje.
Try activating the right magnet a few times and see that nothing happens. (Swipe to the right)	Zama ukwenza kusebenze uzibuthe ofanele izikhathi ezimbalwa futhi ubone ukuthi akwenzeki lutho. (Swayiphela kwesokudla)
You see, nothing happened. Now try swiping in different directions (up and down). Let's wait until the magnet repairs itself.	Uyabona, akwenzekanga lutho. Manje zama ukuswayipha ngezindlela ezihlukene (phezulu naphansi). Ake silinde uze uzilungise uzibuthe.
Done! After several moves, all magnets will be repaired.	Kwenziwe! Ngemuva kokunyakaza okuningana, wonke amamagnethi azolungiswa.
Now, let's talk about bio garbage (the apple leftover). Try moving it.	Manje, ake sikhulume ngodoti we-bio (i-apula esele). Zama ukuyihambisa.
Because bio garbage lacks magnetic materials, magnets can't move it.	Ngenxa yokuthi udoti we-bio awunazo izinto ezinozibuthe, omazibuthe abakwazi ukuwuhambisa.
Don't forget to sort your garbage! :)	Ungakhohlwa ukuhlunga udoti wakho! :)
This is a rust garbage. It can't be recycled either. The number indicates how much time it needs to rust away and disappear.	Lona udoti wokugqwala. Ayikwazi ukugaywa kabusha futhi. Inombolo ikhombisa ukuthi singakanani isikhathi esidinga ukugqwala nokunyamalala.
Amazing! You've improved your recycling skills!	Kuyamangalisa! Uthuthukise amakhono akho okugaya kabusha!
Congratulations on acquiring the workshop! Let's dive into a quick tutorial on how to make the most of it.	Siyakuhalalisela ngokuthola i-workshop! Ake singene esifundweni esisheshayo sokuthi ungakwenza kanjani ngokugcwele.
Combine simple details instantly from all fields using the workshop. Give it a try now!	Hlanganisa imininingwane elula ngokushesha kuzo zonke izinkambu usebenzisa i-workshop. Izame manje!
